model,policy,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mse_skill_vs_full_mean,reassigned_mse,reassignment_mse_relative_change
neural,recent3y,2020,0.0011112357013774133,0.03333520213494157,0.5652173913043478,0.15830293577352134,0.0082114634927772,46,0.5535714285714286,0.5652173913043478,0.012906825231370544,0.0082114634927772,0.0,0.011927798415382385,0.0010449585887452842,-0.05964271355750761
ridge,full,2018,0.001222941477773762,0.03497058017496653,0.4897959183673469,0.03520475514684028,0.016579551515124406,49,0.49404761904761907,0.5306122448979592,-0.2574471226503128,0.016579551515124406,0.0,-0.2574471226503128,0.0010417580907579823,-0.1481537672150961
ridge,full,2019,0.000963211658474766,0.031035651410511202,0.6304347826086957,0.04636096982611148,0.01695622273268713,46,0.6145833333333333,0.5869565217391305,-0.36805505474542866,0.01695622273268713,0.0,-0.36805505474542866,0.0007107799460150518,-0.26207294132988046
ridge,full,2020,0.0012288875507567567,0.03505549244778565,0.5,0.029856800429959685,0.011740313449402897,46,0.46031746031746035,0.6739130434782609,-0.09268414097124444,0.011740313449402897,0.0,-0.09268414097124444,0.0012952380972924482,0.05399236609959335
ridge,disjoint0,2018,0.003195795205019409,0.056531364789994314,0.4897959183673469,-0.04017153060930943,0.04659944000633651,49,0.4880952380952381,0.4897959183673469,-2.2882783720192976,0.04659944000633651,0.0,-2.285965484175632,0.0032278256155673134,0.01002267307291671
ridge,disjoint0,2019,0.0018586280616765,0.043111808842549164,0.43478260869565216,0.02614247505387527,0.0350927780757663,46,0.40625,0.5652173913043478,-1.637797008389673,0.0350927780757663,0.0,-1.6398201187624508,0.001796613384793071,-0.03336583481231381
ridge,disjoint0,2020,0.002394817814017745,0.04893687580973825,0.43478260869565216,-0.09459260484899634,0.03229894632432502,46,0.4464285714285714,0.43478260869565216,-1.125907715428891,0.03229894632432502,0.0,-1.1293888478902598,0.001949120515366528,-0.1861090626779155
ridge,disjoint1,2018,0.0033676434159235734,0.0580314002581669,0.46938775510204084,-0.03398510439467022,0.0480724643501528,49,0.47023809523809523,0.5102040816326531,-2.4808648663857773,0.0480724643501528,0.0,-2.4626624416845186,0.002911187795566297,-0.13554155353829056
ridge,disjoint1,2019,0.0027721542850846492,0.052651251505397755,0.5652173913043478,-0.09071478370070299,0.04334605506642227,46,0.55,0.5652173913043478,-2.937381139963345,0.04334605506642227,0.0,-2.9373066645077452,0.0026289583079860874,-0.05165512535468031
ridge,disjoint1,2020,0.0034051837123983287,0.0583539519861194,0.5217391304347826,-0.10813270183315511,0.044382905596611164,46,0.498015873015873,0.6086956521739131,-2.0266186742691903,0.044382905596611164,0.0,-2.02777112302908,0.0032575820597037226,-0.0433461643074311
ridge,disjoint2,2018,0.0033056832040692583,0.05749507112848247,0.42857142857142855,-0.04428738970272515,0.045249326013482936,49,0.44047619047619047,0.5918367346938775,-2.486816163474325,0.045249326013482936,0.0,-2.398954004665241,0.002797384731523977,-0.15376502863903352
ridge,disjoint2,2019,0.002186855411190766,0.04676382588273511,0.5652173913043478,0.07784052752959252,0.04099748426717262,46,0.5645833333333333,0.5217391304347826,-2.021533721044369,0.04099748426717262,-2.220446049250313e-16,-2.106003309816974,0.0025051345623359335,0.14554192724239634
ridge,disjoint2,2020,0.003000974286936464,0.054781149010736024,0.5434782608695652,0.06607091239033774,0.04283991004664893,46,0.5059523809523809,0.6739130434782609,-1.633235030834407,0.04283991004664893,0.0,-1.6683621367786352,0.003154519985279189,0.05116528289200084
ridge,quarter_equal,2018,0.0013001920577905778,0.03605817601863103,0.4489795918367347,0.026055250853491408,0.018059435804960867,49,0.45833333333333337,0.5714285714285714,-0.29803005830629425,0.018059435804960867,0.0,-0.3368773499593445,0.0011141102288550343,-0.14311872451501761
ridge,quarter_equal,2019,0.000966336870048211,0.03108595937152674,0.6304347826086957,0.050195504246464365,0.01738760720130165,46,0.6145833333333333,0.5869565217391305,-0.40187588157926757,0.01738760720130165,0.0,-0.3724938107058482,0.0007004381558463204,-0.2751615119359203
ridge,quarter_equal,2020,0.0012382234981678458,0.0351884000512647,0.5217391304347826,0.03452489241959176,0.012306144657855206,46,0.4781746031746032,0.6956521739130435,-0.10781635366095044,0.012306144657855206,0.0,-0.10098534124848424,0.001321859679693741,0.0675453031295632
ridge,recent3y,2018,0.0017017957728551166,0.041252827452856085,0.5510204081632653,0.01675988917382622,0.025366985689172256,49,0.5714285714285714,0.6326530612244898,-0.7256046285059368,0.025366985689172256,0.0,-0.7498124291365362,0.0019380783178423863,0.1388430672799572
ridge,recent3y,2019,0.0013485741415345525,0.03672293753956173,0.43478260869565216,-0.1861738302125198,0.01983608273732598,46,0.42083333333333334,0.5217391304347826,-0.8573839585905534,0.01983608273732598,0.0,-0.9153876043680118,0.00094405329165081,-0.29996189117450767
ridge,recent3y,2020,0.0014613763071906535,0.038227951909442566,0.6521739130434783,-0.04573499135096612,0.01689943598727521,46,0.6448412698412699,0.5652173913043478,-0.2981175612054523,0.01689943598727521,-2.220446049250313e-16,-0.29940507076909917,0.0014406943785009896,-0.014152363486323871
