policy,accuracy,rmse,mse_skill_vs_full_neural,mse_skill_vs_own_mean,mse_skill_vs_common_mean,own_mean_rmse,full_mean_rmse,ridge_rmse,mse_skill_vs_matched_ridge,seeds_better_than_own_mean,beats_full_neural,beats_own_mean,beats_common_full_mean,at_least_two_seeds_beat_own_mean,descriptive_screen_pass
full,0.5957446808510638,0.030399191507489386,0.0,0.0112088643707694,0.0112088643707694,0.030571007467916456,0.030571007467916456,0.03376605959234914,0.189480810541244,1,False,True,True,False,False
disjoint0,0.5460992907801419,0.03148862741866644,-0.07295965935016269,-0.06032120490937998,-0.06093300005319979,0.030579825784814784,0.030571007467916456,0.04998244197587324,0.6031078405731602,0,False,False,False,False,False
disjoint1,0.524822695035461,0.0329534687324605,-0.17510914214326223,-0.16397010586085492,-0.16193750314812716,0.03054430323221202,0.030571007467916456,0.05644127527853333,0.6591144157358362,0,False,False,False,False,False
disjoint2,0.524822695035461,0.032243304673082215,-0.12500648882501575,-0.10907449016667159,-0.11239644367554069,0.030616757115096812,0.030571007467916456,0.05330353620947085,0.6340960894109644,0,False,False,False,False,False
quarter_equal,0.5177304964539007,0.030991119594942673,-0.03932282546277932,-0.024343007111246928,-0.02767319687472214,0.030620661072494348,0.030571007467916456,0.03422072572708663,0.17984469008305504,0,False,False,False,False,False
recent3y,0.48936170212765956,0.03267592199084463,-0.15539806131171097,-0.12763267433672332,-0.142447361148218,0.030771171080099538,0.030571007467916456,0.038834593183647924,0.29202457785152214,0,False,False,False,False,False
