cutoff,grouping,period,rows,sample_share,mean_loss_share,fitted_loss_share,fitted_auxiliary_loss_share,mean_return,return_sd,fitted_mse,fitted_ensemble_mse
2017-12-31,year,2010,113,0.06734207389749702,0.1099213277748141,0.11239952777505009,0.09927014298351182,0.006305594806622824,0.03764632697027564,0.0013237069833261007,0.0012955201818141708
2017-12-31,year,2011,244,0.14541120381406436,0.13976578988573424,0.1431298962479573,0.14104156668443882,-0.0057620099162216,0.027979715571685056,0.0007806319944398271,0.0007585326164618382
2017-12-31,year,2012,243,0.14481525625744934,0.12393159687843733,0.12918963676228443,0.1285828550322382,0.002014422590285939,0.02742718524759224,0.0007075012645322283,0.0006824103729331864
2017-12-31,year,2013,238,0.14183551847437426,0.15979867553421098,0.15403882033117902,0.1533375450946604,-0.0018482816269202256,0.031219384683022298,0.000861309116151327,0.0008358786473411066
2017-12-31,year,2014,245,0.14600715137067938,0.1686960733107004,0.1599241246759887,0.14751219604702412,0.00996529634962806,0.030886530714989813,0.0008686677831533183,0.0008522041851926704
2017-12-31,year,2015,113,0.06734207389749702,0.14778532057373162,0.14911707140846647,0.13491797952973467,0.006989657619375303,0.043649584869582626,0.0017561222245663114,0.0017406144198621786
2017-12-31,year,2016,244,0.14541120381406436,0.12122700170398407,0.11999107962348979,0.14173786799561625,8.524799772013811e-05,0.026994664514631957,0.0006544326395598135,0.0006358207139837077
2017-12-31,year,2017,238,0.14183551847437426,0.028874214338387317,0.03220984317558429,0.0535998466327757,0.003945356413283874,0.013251179027204107,0.0001801015581480662,0.00016241514759105145
2017-12-31,quarter,2010Q3,52,0.03098927294398093,0.04715549670646679,0.05049361442050632,0.035848491867595346,0.013115756289552376,0.03487903472458859,0.0012922273617587308,0.0012798589418947241
2017-12-31,quarter,2010Q4,61,0.03635280095351609,0.06276583106834728,0.06190591335454374,0.06342165111591644,0.0005002112474041898,0.03892422663030598,0.001350542070563858,0.0013088707469914038
2017-12-31,quarter,2011Q1,58,0.03456495828367104,0.030410253440671095,0.03131754226659564,0.02993478068540303,0.004544989910882386,0.02770298484431519,0.0007185640665819573,0.000693667533110703
2017-12-31,quarter,2011Q2,61,0.03635280095351609,0.02491830065762837,0.026039299331782097,0.02610011157251283,-0.004862434724661683,0.023534277501035535,0.0005680744751179073,0.0005352186168131337
2017-12-31,quarter,2011Q3,65,0.03873659117997616,0.0403763484494244,0.04122239006699546,0.04185899732053224,-0.01259463527935694,0.02645540795304626,0.0008439673170242219,0.0008256424860824253
2017-12-31,quarter,2011Q4,60,0.03575685339690107,0.04406088733801039,0.0445506645825841,0.04314767710599071,-0.009238000383778089,0.03089168103764465,0.0009881178698799588,0.000975569071255149
2017-12-31,quarter,2012Q1,58,0.03456495828367104,0.02658513594152999,0.024716697831995933,0.03681962774734427,0.006512604856358185,0.02562695222707476,0.0005671112616516026,0.000543783207450946
2017-12-31,quarter,2012Q2,59,0.035160905840286055,0.020403224913462678,0.024803465666639518,0.02338524031070102,-0.0014358845886548763,0.02230424237373707,0.0005594563043312838,0.0005198809006030911
2017-12-31,quarter,2012Q3,65,0.03873659117997616,0.03700585123908584,0.03977114565256951,0.030523083465393463,-0.004446999650953107,0.028225907882191335,0.0008142552393693629,0.0007892782047613365
2017-12-31,quarter,2012Q4,61,0.03635280095351609,0.03993738478435882,0.039898327611079434,0.03785490350879945,0.007959766816611447,0.03052093255436784,0.0008704236326390844,0.000857544887631806
2017-12-31,quarter,2013Q1,56,0.033373063170441,0.0383467596694396,0.03911319026231678,0.03579139460625024,-0.0014055427026336623,0.03158543720556282,0.0009294820998020353,0.000907455557117006
2017-12-31,quarter,2013Q2,57,0.03396901072705602,0.05873171296853457,0.05168527992730158,0.049442441617484054,-0.009227507908687552,0.03729856400175236,0.0012066958911759638,0.0011846291522900857
2017-12-31,quarter,2013Q3,64,0.03814064362336114,0.03699656642686605,0.037643055123387795,0.04127489175893819,0.008799594200155964,0.028424624309429755,0.000782727705764893,0.0007551272759893789
2017-12-31,quarter,2013Q4,61,0.03635280095351609,0.02572363646937077,0.02559729501817284,0.02682881711198794,-0.0065309297356445865,0.023393829454200855,0.000558431689985553,0.0005290098282750149
2017-12-31,quarter,2014Q1,58,0.03456495828367104,0.02667809400991607,0.029460991426112977,0.027781745827421354,-0.002334353654553435,0.025664451560652234,0.0006759665118186539,0.0006575034281946226
2017-12-31,quarter,2014Q2,61,0.03635280095351609,0.013680687700005835,0.014073360661728736,0.016667661469511073,-0.00048227158546752607,0.01800175148215457,0.0003070250420025187,0.0002897766765416657
2017-12-31,quarter,2014Q3,65,0.03873659117997616,0.023012679662246124,0.02606968249126613,0.026039594190353604,0.009834217022282456,0.02150837034612869,0.0005337380960218264,0.0005208478907112645
2017-12-31,quarter,2014Q4,61,0.03635280095351609,0.10532461193853236,0.09032009009688084,0.07702319455973808,0.03224728816210056,0.04048175813142953,0.0019704269735001424,0.00195284157986299
2017-12-31,quarter,2015Q1,48,0.028605482717520857,0.0533857174586872,0.051144298724740446,0.054268815883396694,0.010141745287491314,0.0396995710222688,0.0014179529078268442,0.001400134092406081
2017-12-31,quarter,2015Q3,4,0.0023837902264600714,0.007846376630408557,0.008352850308504241,0.009684570864642006,0.051559637316583876,0.021177485917510105,0.0027789486638181015,0.0027266739168693545
2017-12-31,quarter,2015Q4,61,0.03635280095351609,0.08655322648463586,0.08961992237522177,0.07096459278169599,0.001586704720057226,0.04574504699311228,0.0019551520843447915,0.0019438737269091297
