cutoff,policy,quarter,rows,weight_mass,weighted_mean_loss_share
2017-12-31,quarter_equal,2013Q1,56,0.03448275862068965,0.037181079101211975
2017-12-31,quarter_equal,2013Q2,57,0.03448275862068964,0.05663152900010834
2017-12-31,quarter_equal,2013Q3,64,0.03448275862068964,0.030228637485619034
2017-12-31,quarter_equal,2013Q4,61,0.03448275862068966,0.02372476984072997
2017-12-31,quarter_equal,2014Q1,58,0.03448275862068965,0.02526229344879137
2017-12-31,quarter_equal,2014Q2,61,0.03448275862068966,0.012421831621233939
2017-12-31,quarter_equal,2014Q3,65,0.034482758620689655,0.018111922659186992
2017-12-31,quarter_equal,2014Q4,61,0.03448275862068966,0.08884979077815532
2017-12-31,quarter_equal,2015Q1,48,0.034482758620689655,0.058653695444776006
2017-12-31,quarter_equal,2015Q3,4,0.03448275862068965,0.09907540342232891
2017-12-31,quarter_equal,2015Q4,61,0.03448275862068966,0.0761105329645876
2017-12-31,quarter_equal,2016Q1,59,0.034482758620689655,0.06909334636092113
2017-12-31,quarter_equal,2016Q2,61,0.03448275862068966,0.017753705982109846
2017-12-31,quarter_equal,2016Q3,64,0.03448275862068964,0.01206733534060228
2017-12-31,quarter_equal,2016Q4,60,0.03448275862068965,0.010696680735370659
2017-12-31,quarter_equal,2017Q1,59,0.034482758620689655,0.0036619761070192805
2017-12-31,quarter_equal,2017Q2,60,0.03448275862068965,0.008741655208094891
2017-12-31,quarter_equal,2017Q3,65,0.034482758620689655,0.0042704983039384015
2017-12-31,quarter_equal,2017Q4,54,0.034482758620689655,0.009232285913195495
2017-12-31,recent3y,2015Q1,48,0.08067226890756303,0.17800455163687914
2017-12-31,recent3y,2015Q3,4,0.0067226890756302525,0.025625982698572147
2017-12-31,recent3y,2015Q4,61,0.10252100840336134,0.29104279519094367
2017-12-31,recent3y,2016Q1,59,0.09915966386554621,0.2543446490648659
2017-12-31,recent3y,2016Q2,61,0.10252100840336134,0.0669990780580507
2017-12-31,recent3y,2016Q3,64,0.10756302521008404,0.04836136586751606
2017-12-31,recent3y,2016Q4,60,0.10084033613445378,0.03987249716205411
2017-12-31,recent3y,2017Q1,59,0.09915966386554621,0.013684434836098382
2017-12-31,recent3y,2017Q2,60,0.10084033613445378,0.032876060180746514
2017-12-31,recent3y,2017Q3,65,0.1092436974789916,0.017934573884458453
2017-12-31,recent3y,2017Q4,54,0.0907563025210084,0.031254011419814855
2018-12-31,full,2010Q3,52,0.02706923477355544,0.04174647320138553
2018-12-31,full,2010Q4,61,0.031754294638209266,0.0545791533852745
2018-12-31,full,2011Q1,58,0.03019260801665799,0.026675098257118057
2018-12-31,full,2011Q2,61,0.031754294638209266,0.02124690679471008
2018-12-31,full,2011Q3,65,0.0338365434669443,0.03410420638337219
2018-12-31,full,2011Q4,60,0.031233732431025507,0.037624161443918426
2018-12-31,full,2012Q1,58,0.03019260801665799,0.023474490759014977
2018-12-31,full,2012Q2,59,0.03071317022384175,0.017560901617499507
2018-12-31,full,2012Q3,65,0.0338365434669443,0.03177420013072622
2018-12-31,full,2012Q4,61,0.031754294638209266,0.03521952974180971
2018-12-31,full,2013Q1,56,0.029151483602290473,0.03319898998041094
2018-12-31,full,2013Q2,57,0.029672045809474232,0.05043778568634406
2018-12-31,full,2013Q3,64,0.03331598125976054,0.0327417059760231
2018-12-31,full,2013Q4,61,0.031754294638209266,0.021831923101244485
2018-12-31,full,2014Q1,58,0.03019260801665799,0.0229691627239143
2018-12-31,full,2014Q2,61,0.031754294638209266,0.011766220765300662
2018-12-31,full,2014Q3,65,0.0338365434669443,0.020649249669942936
2018-12-31,full,2014Q4,61,0.031754294638209266,0.09385296842371975
2018-12-31,full,2015Q1,48,0.024986985944820406,0.04695629449677902
2018-12-31,full,2015Q3,4,0.002082248828735034,0.007060993710931706
2018-12-31,full,2015Q4,61,0.031754294638209266,0.07536948209391973
2018-12-31,full,2016Q1,59,0.03071317022384175,0.06522362379354389
2018-12-31,full,2016Q2,61,0.031754294638209266,0.016994387304495297
2018-12-31,full,2016Q3,64,0.03331598125976054,0.012645731813917644
2018-12-31,full,2016Q4,60,0.031233732431025507,0.010272767974587545
2018-12-31,full,2017Q1,59,0.03071317022384175,0.0037778615739411446
2018-12-31,full,2017Q2,60,0.031233732431025507,0.008660507109570517
2018-12-31,full,2017Q3,65,0.0338365434669443,0.005108138773600109
2018-12-31,full,2017Q4,60,0.031233732431025507,0.009966213467759959
2018-12-31,full,2018Q1,59,0.03071317022384175,0.03594501641472026
2018-12-31,full,2018Q2,60,0.031233732431025507,0.024373930236738974
2018-12-31,full,2018Q3,64,0.03331598125976054,0.03689994088710302
2018-12-31,full,2018Q4,54,0.028110359187922956,0.029291982306661767
2018-12-31,disjoint0,2010Q3,8,0.025806451612903226,0.017546368071439312
2018-12-31,disjoint0,2010Q4,10,0.03225806451612903,0.05081174248190533
2018-12-31,disjoint0,2011Q1,10,0.03225806451612903,0.0289293593737787
2018-12-31,disjoint0,2011Q2,10,0.03225806451612903,0.026594735561315738
2018-12-31,disjoint0,2011Q3,11,0.035483870967741936,0.057000199630022334
2018-12-31,disjoint0,2011Q4,10,0.03225806451612903,0.03065347644841715
2018-12-31,disjoint0,2012Q1,9,0.02903225806451613,0.021184994374608752
2018-12-31,disjoint0,2012Q2,9,0.02903225806451613,0.02568296223399278
2018-12-31,disjoint0,2012Q3,11,0.035483870967741936,0.02768501730887641
2018-12-31,disjoint0,2012Q4,10,0.03225806451612903,0.03099624814025014
2018-12-31,disjoint0,2013Q1,9,0.02903225806451613,0.04491378656489829
2018-12-31,disjoint0,2013Q2,7,0.02258064516129032,0.021334600433605595
2018-12-31,disjoint0,2013Q3,11,0.035483870967741936,0.02438707924053711
2018-12-31,disjoint0,2013Q4,10,0.03225806451612903,0.013284788108678431
2018-12-31,disjoint0,2014Q1,10,0.03225806451612903,0.034301973112874126
2018-12-31,disjoint0,2014Q2,8,0.025806451612903226,0.0018621056238117323
2018-12-31,disjoint0,2014Q3,11,0.035483870967741936,0.022162858602761865
2018-12-31,disjoint0,2014Q4,10,0.03225806451612903,0.08316770532339533
2018-12-31,disjoint0,2015Q1,8,0.025806451612903226,0.0749025989371912
2018-12-31,disjoint0,2015Q4,10,0.03225806451612903,0.062230269873727526
2018-12-31,disjoint0,2016Q1,10,0.03225806451612903,0.09260229443513383
2018-12-31,disjoint0,2016Q2,9,0.02903225806451613,0.015806510276299156
2018-12-31,disjoint0,2016Q3,11,0.035483870967741936,0.011114718971700483
2018-12-31,disjoint0,2016Q4,10,0.03225806451612903,0.015362735526526162
2018-12-31,disjoint0,2017Q1,10,0.03225806451612903,0.0065167794694252455
2018-12-31,disjoint0,2017Q2,9,0.02903225806451613,0.006315374229612236
2018-12-31,disjoint0,2017Q3,11,0.035483870967741936,0.0037841361764645886
2018-12-31,disjoint0,2017Q4,10,0.03225806451612903,0.008536212610019987
2018-12-31,disjoint0,2018Q1,10,0.03225806451612903,0.050859394376655744
2018-12-31,disjoint0,2018Q2,9,0.02903225806451613,0.027291702586930353
2018-12-31,disjoint0,2018Q3,10,0.03225806451612903,0.03174606903485657
2018-12-31,disjoint0,2018Q4,9,0.02903225806451613,0.030431202860287904
2018-12-31,disjoint1,2010Q3,9,0.028938906752411574,0.011437567986855668
2018-12-31,disjoint1,2010Q4,10,0.03215434083601286,0.07868890959905814
2018-12-31,disjoint1,2011Q1,10,0.03215434083601286,0.0366910724366473
2018-12-31,disjoint1,2011Q2,10,0.03215434083601286,0.023099723948469836
2018-12-31,disjoint1,2011Q3,10,0.03215434083601286,0.025080270653426506
2018-12-31,disjoint1,2011Q4,10,0.03215434083601286,0.023300620075546605
2018-12-31,disjoint1,2012Q1,9,0.028938906752411574,0.012101136085556869
2018-12-31,disjoint1,2012Q2,7,0.022508038585209004,0.011557325943141822
2018-12-31,disjoint1,2012Q3,11,0.03536977491961415,0.037453262023117884
2018-12-31,disjoint1,2012Q4,10,0.03215434083601286,0.03999544882235678
2018-12-31,disjoint1,2013Q1,8,0.02572347266881029,0.0408635530032881
2018-12-31,disjoint1,2013Q2,9,0.028938906752411574,0.028969593607230986
2018-12-31,disjoint1,2013Q3,11,0.03536977491961415,0.0395074349871713
2018-12-31,disjoint1,2013Q4,10,0.03215434083601286,0.015837395061961416
2018-12-31,disjoint1,2014Q1,9,0.028938906752411574,0.017869469582403683
2018-12-31,disjoint1,2014Q2,10,0.03215434083601286,0.009290127161280418
2018-12-31,disjoint1,2014Q3,10,0.03215434083601286,0.019046525697943437
2018-12-31,disjoint1,2014Q4,11,0.03536977491961415,0.1268163076660788
2018-12-31,disjoint1,2015Q1,8,0.02572347266881029,0.04078457251419065
2018-12-31,disjoint1,2015Q3,1,0.003215434083601286,0.005090303702958793
2018-12-31,disjoint1,2015Q4,10,0.03215434083601286,0.09419420503893067
2018-12-31,disjoint1,2016Q1,9,0.028938906752411574,0.055352166899457225
2018-12-31,disjoint1,2016Q2,9,0.028938906752411574,0.026962192574065715
2018-12-31,disjoint1,2016Q3,10,0.03215434083601286,0.008794599440694786
2018-12-31,disjoint1,2016Q4,10,0.03215434083601286,0.0062603544572480034
2018-12-31,disjoint1,2017Q1,10,0.03215434083601286,0.0044071332627296685
2018-12-31,disjoint1,2017Q2,10,0.03215434083601286,0.008417718951058929
2018-12-31,disjoint1,2017Q3,11,0.03536977491961415,0.0050224864518858894
2018-12-31,disjoint1,2017Q4,10,0.03215434083601286,0.003883888297149944
2018-12-31,disjoint1,2018Q1,9,0.028938906752411574,0.053089539159401865
2018-12-31,disjoint1,2018Q2,10,0.03215434083601286,0.02111336426364788
2018-12-31,disjoint1,2018Q3,11,0.03536977491961415,0.036663813535846156
2018-12-31,disjoint1,2018Q4,9,0.028938906752411574,0.032357917109198366
2018-12-31,disjoint2,2010Q3,8,0.02564102564102564,0.02968762007113279
2018-12-31,disjoint2,2010Q4,10,0.03205128205128205,0.05119584133288703
2018-12-31,disjoint2,2011Q1,9,0.028846153846153848,0.025779555851794544
2018-12-31,disjoint2,2011Q2,11,0.035256410256410256,0.02768972560660299
2018-12-31,disjoint2,2011Q3,10,0.03205128205128205,0.040334737011914146
2018-12-31,disjoint2,2011Q4,10,0.03205128205128205,0.02585023070538616
2018-12-31,disjoint2,2012Q1,10,0.03205128205128205,0.018931703023140036
2018-12-31,disjoint2,2012Q2,9,0.028846153846153848,0.02176721580517655
2018-12-31,disjoint2,2012Q3,11,0.035256410256410256,0.025900941116160245
2018-12-31,disjoint2,2012Q4,10,0.03205128205128205,0.04954843831609867
2018-12-31,disjoint2,2013Q1,8,0.02564102564102564,0.036857368712246895
2018-12-31,disjoint2,2013Q2,9,0.028846153846153848,0.04925429523731395
2018-12-31,disjoint2,2013Q3,10,0.03205128205128205,0.03022226768544152
2018-12-31,disjoint2,2013Q4,11,0.035256410256410256,0.032260224321513244
2018-12-31,disjoint2,2014Q1,9,0.028846153846153848,0.01810172298779354
2018-12-31,disjoint2,2014Q2,10,0.03205128205128205,0.008726686862109633
2018-12-31,disjoint2,2014Q3,11,0.035256410256410256,0.020189447480730614
2018-12-31,disjoint2,2014Q4,10,0.03205128205128205,0.10700554121178074
2018-12-31,disjoint2,2015Q1,8,0.02564102564102564,0.04568183391135829
2018-12-31,disjoint2,2015Q3,1,0.003205128205128205,0.016853226249200385
2018-12-31,disjoint2,2015Q4,10,0.03205128205128205,0.06275630920048328
2018-12-31,disjoint2,2016Q1,10,0.03205128205128205,0.07777753627153333
2018-12-31,disjoint2,2016Q2,9,0.028846153846153848,0.023163071416375924
2018-12-31,disjoint2,2016Q3,10,0.03205128205128205,0.014384374697467657
2018-12-31,disjoint2,2016Q4,10,0.03205128205128205,0.008438551817481106
2018-12-31,disjoint2,2017Q1,10,0.03205128205128205,0.003611266628239166
2018-12-31,disjoint2,2017Q2,10,0.03205128205128205,0.007738306555428486
2018-12-31,disjoint2,2017Q3,10,0.03205128205128205,0.007519599777572208
2018-12-31,disjoint2,2017Q4,10,0.03205128205128205,0.005123728139911676
2018-12-31,disjoint2,2018Q1,10,0.03205128205128205,0.03212029022070708
2018-12-31,disjoint2,2018Q2,9,0.028846153846153848,0.021765513506715548
2018-12-31,disjoint2,2018Q3,10,0.03205128205128205,0.025992982500378042
2018-12-31,disjoint2,2018Q4,9,0.028846153846153848,0.02776984576792445
2018-12-31,quarter_equal,2010Q3,52,0.03030303030303031,0.04234322706489739
2018-12-31,quarter_equal,2010Q4,61,0.030303030303030293,0.0485088495746914
2018-12-31,quarter_equal,2011Q1,58,0.030303030303030307,0.02461522790526129
2018-12-31,quarter_equal,2011Q2,61,0.030303030303030293,0.01947233394343175
2018-12-31,quarter_equal,2011Q3,65,0.030303030303030304,0.02974111794974092
2018-12-31,quarter_equal,2011Q4,60,0.030303030303030314,0.03495907806901923
2018-12-31,quarter_equal,2012Q1,58,0.030303030303030307,0.021445117544685605
2018-12-31,quarter_equal,2012Q2,59,0.030303030303030307,0.016408111749464875
2018-12-31,quarter_equal,2012Q3,65,0.030303030303030304,0.027030888300859993
2018-12-31,quarter_equal,2012Q4,61,0.030303030303030293,0.030642198938007525
2018-12-31,quarter_equal,2013Q1,56,0.030303030303030307,0.03236608961581567
2018-12-31,quarter_equal,2013Q2,57,0.030303030303030304,0.04889717215902367
2018-12-31,quarter_equal,2013Q3,64,0.030303030303030304,0.027005978220341998
2018-12-31,quarter_equal,2013Q4,61,0.030303030303030293,0.02014898221631484
2018-12-31,quarter_equal,2014Q1,58,0.030303030303030307,0.0218123863942644
2018-12-31,quarter_equal,2014Q2,61,0.030303030303030293,0.010653876678650054
2018-12-31,quarter_equal,2014Q3,65,0.030303030303030304,0.016423594241559848
2018-12-31,quarter_equal,2014Q4,61,0.030303030303030293,0.08031158315682209
2018-12-31,quarter_equal,2015Q1,48,0.030303030303030307,0.05211079439774901
2018-12-31,quarter_equal,2015Q3,4,0.030303030303030307,0.09073752621420561
2018-12-31,quarter_equal,2015Q4,61,0.030303030303030293,0.06683380401538144
2018-12-31,quarter_equal,2016Q1,59,0.030303030303030307,0.060283394578461665
2018-12-31,quarter_equal,2016Q2,61,0.030303030303030293,0.015319585233423845
2018-12-31,quarter_equal,2016Q3,64,0.030303030303030304,0.010590354043768053
2018-12-31,quarter_equal,2016Q4,60,0.030303030303030314,0.009287901264217633
2018-12-31,quarter_equal,2017Q1,59,0.030303030303030307,0.003272040806461087
2018-12-31,quarter_equal,2017Q2,60,0.030303030303030314,0.007685193889383244
2018-12-31,quarter_equal,2017Q3,65,0.030303030303030304,0.003917768208201074
2018-12-31,quarter_equal,2017Q4,60,0.030303030303030314,0.008703103060963651
2018-12-31,quarter_equal,2018Q1,59,0.030303030303030307,0.03358375916322326
2018-12-31,quarter_equal,2018Q2,60,0.030303030303030314,0.02318362716580764
2018-12-31,quarter_equal,2018Q3,64,0.030303030303030304,0.031684359891276014
2018-12-31,quarter_equal,2018Q4,54,0.030303030303030297,0.030020974344624186
2018-12-31,recent3y,2016Q1,59,0.08137931034482758,0.2511195654880027
2018-12-31,recent3y,2016Q2,61,0.08413793103448276,0.06535486390771178
2018-12-31,recent3y,2016Q3,64,0.08827586206896551,0.05028271450914902
2018-12-31,recent3y,2016Q4,60,0.08275862068965517,0.0404032880885989
2018-12-31,recent3y,2017Q1,59,0.08137931034482758,0.01627070767363771
2018-12-31,recent3y,2017Q2,60,0.08275862068965517,0.03488176105861206
2018-12-31,recent3y,2017Q3,65,0.0896551724137931,0.0223371530235528
2018-12-31,recent3y,2017Q4,60,0.08275862068965517,0.04071537204017296
2018-12-31,recent3y,2018Q1,59,0.08137931034482758,0.1369868272282167
2018-12-31,recent3y,2018Q2,60,0.08275862068965517,0.08928839486157202
2018-12-31,recent3y,2018Q3,64,0.08827586206896551,0.14117691783329234
2018-12-31,recent3y,2018Q4,54,0.07448275862068965,0.11118243428748104
2019-12-31,full,2010Q3,52,0.02401847575057737,0.03716148661201229
2019-12-31,full,2010Q4,61,0.02817551963048499,0.04910917385483148
2019-12-31,full,2011Q1,58,0.02678983833718245,0.023873408805995706
2019-12-31,full,2011Q2,61,0.02817551963048499,0.019340565114031073
2019-12-31,full,2011Q3,65,0.03002309468822171,0.031226194987652955
2019-12-31,full,2011Q4,60,0.02771362586605081,0.03422379119568522
2019-12-31,full,2012Q1,58,0.02678983833718245,0.02092531819845679
2019-12-31,full,2012Q2,59,0.02725173210161663,0.015894026707526245
2019-12-31,full,2012Q3,65,0.03002309468822171,0.02880490066783708
2019-12-31,full,2012Q4,61,0.02817551963048499,0.03142191031881268
2019-12-31,full,2013Q1,56,0.025866050808314087,0.02994840981980506
2019-12-31,full,2013Q2,57,0.026327944572748268,0.04572485892254967
2019-12-31,full,2013Q3,64,0.02956120092378753,0.02914883972711968
2019-12-31,full,2013Q4,61,0.02817551963048499,0.019929282998824533
2019-12-31,full,2014Q1,58,0.02678983833718245,0.02078711706866449
2019-12-31,full,2014Q2,61,0.02817551963048499,0.010651529668255512
2019-12-31,full,2014Q3,65,0.03002309468822171,0.018230126664417715
2019-12-31,full,2014Q4,61,0.02817551963048499,0.08322840119830498
2019-12-31,full,2015Q1,48,0.022170900692840646,0.04196255477343251
2019-12-31,full,2015Q3,4,0.0018475750577367205,0.006225249121376078
2019-12-31,full,2015Q4,61,0.02817551963048499,0.06776163326323564
2019-12-31,full,2016Q1,59,0.02725173210161663,0.0588245558773132
2019-12-31,full,2016Q2,61,0.02817551963048499,0.015364894828356918
2019-12-31,full,2016Q3,64,0.02956120092378753,0.01131367686175172
2019-12-31,full,2016Q4,60,0.02771362586605081,0.009231855688051571
2019-12-31,full,2017Q1,59,0.02725173210161663,0.0033074663988605204
2019-12-31,full,2017Q2,60,0.02771362586605081,0.007723764094353436
2019-12-31,full,2017Q3,65,0.03002309468822171,0.004434781317374507
2019-12-31,full,2017Q4,60,0.02771362586605081,0.008835849509131587
2019-12-31,full,2018Q1,59,0.02725173210161663,0.032549699548422045
2019-12-31,full,2018Q2,60,0.02771362586605081,0.022374384039435077
2019-12-31,full,2018Q3,64,0.02956120092378753,0.033372619634608525
2019-12-31,full,2018Q4,60,0.02771362586605081,0.02747045089049164
2019-12-31,full,2019Q1,58,0.02678983833718245,0.04570316095832647
