cutoff,policy,quarter,rows,weight_mass,weighted_mean_loss_share
2017-12-31,full,2010Q3,52,0.03098927294398093,0.04715549670646679
2017-12-31,full,2010Q4,61,0.03635280095351609,0.06276583106834728
2017-12-31,full,2011Q1,58,0.03456495828367104,0.030410253440671095
2017-12-31,full,2011Q2,61,0.03635280095351609,0.02491830065762837
2017-12-31,full,2011Q3,65,0.03873659117997616,0.0403763484494244
2017-12-31,full,2011Q4,60,0.03575685339690107,0.04406088733801039
2017-12-31,full,2012Q1,58,0.03456495828367104,0.02658513594152999
2017-12-31,full,2012Q2,59,0.035160905840286055,0.020403224913462678
2017-12-31,full,2012Q3,65,0.03873659117997616,0.03700585123908584
2017-12-31,full,2012Q4,61,0.03635280095351609,0.03993738478435882
2017-12-31,full,2013Q1,56,0.033373063170441,0.0383467596694396
2017-12-31,full,2013Q2,57,0.03396901072705602,0.05873171296853457
2017-12-31,full,2013Q3,64,0.03814064362336114,0.03699656642686605
2017-12-31,full,2013Q4,61,0.03635280095351609,0.02572363646937077
2017-12-31,full,2014Q1,58,0.03456495828367104,0.02667809400991607
2017-12-31,full,2014Q2,61,0.03635280095351609,0.013680687700005835
2017-12-31,full,2014Q3,65,0.03873659117997616,0.023012679662246124
2017-12-31,full,2014Q4,61,0.03635280095351609,0.10532461193853236
2017-12-31,full,2015Q1,48,0.028605482717520857,0.0533857174586872
2017-12-31,full,2015Q3,4,0.0023837902264600714,0.007846376630408557
2017-12-31,full,2015Q4,61,0.03635280095351609,0.08655322648463586
2017-12-31,full,2016Q1,59,0.035160905840286055,0.07529665576568409
2017-12-31,full,2016Q2,61,0.03635280095351609,0.019711105078000238
2017-12-31,full,2016Q3,64,0.03814064362336114,0.014417468058323089
2017-12-31,full,2016Q4,60,0.03575685339690107,0.011801772801976664
2017-12-31,full,2017Q1,59,0.035160905840286055,0.0041630149765500895
2017-12-31,full,2017Q2,60,0.03575685339690107,0.009825876697593543
2017-12-31,full,2017Q3,65,0.03873659117997616,0.005545678254140724
2017-12-31,full,2017Q4,54,0.03218116805721097,0.00933964441010296
2017-12-31,disjoint0,2010Q3,8,0.02952029520295203,0.020367368436050606
2017-12-31,disjoint0,2010Q4,10,0.03690036900369004,0.0592387274590481
2017-12-31,disjoint0,2011Q1,10,0.03690036900369004,0.03349680954570306
2017-12-31,disjoint0,2011Q2,10,0.03690036900369004,0.031355951327617135
2017-12-31,disjoint0,2011Q3,11,0.04059040590405904,0.06890055952784296
2017-12-31,disjoint0,2011Q4,10,0.03690036900369004,0.03682710921903539
2017-12-31,disjoint0,2012Q1,9,0.033210332103321034,0.024626661980965116
2017-12-31,disjoint0,2012Q2,9,0.033210332103321034,0.029925826851936257
2017-12-31,disjoint0,2012Q3,11,0.04059040590405904,0.033375674867953745
2017-12-31,disjoint0,2012Q4,10,0.03690036900369004,0.03579682608794372
2017-12-31,disjoint0,2013Q1,9,0.033210332103321034,0.053272605389415154
2017-12-31,disjoint0,2013Q2,7,0.025830258302583026,0.025043329779110838
2017-12-31,disjoint0,2013Q3,11,0.04059040590405904,0.02744058819074643
2017-12-31,disjoint0,2013Q4,10,0.03690036900369004,0.016665101898948504
2017-12-31,disjoint0,2014Q1,10,0.03690036900369004,0.040131594341457695
2017-12-31,disjoint0,2014Q2,8,0.02952029520295203,0.0022662432098537787
2017-12-31,disjoint0,2014Q3,11,0.04059040590405904,0.025046991027240558
2017-12-31,disjoint0,2014Q4,10,0.03690036900369004,0.09426812589747958
2017-12-31,disjoint0,2015Q1,8,0.02952029520295203,0.08665305101540999
2017-12-31,disjoint0,2015Q4,10,0.03690036900369004,0.07177304277180069
2017-12-31,disjoint0,2016Q1,10,0.03690036900369004,0.1086708163964946
2017-12-31,disjoint0,2016Q2,9,0.033210332103321034,0.01886398654757572
2017-12-31,disjoint0,2016Q3,11,0.04059040590405904,0.012717678740638411
2017-12-31,disjoint0,2016Q4,10,0.03690036900369004,0.018018300371728302
2017-12-31,disjoint0,2017Q1,10,0.03690036900369004,0.00731500139393966
2017-12-31,disjoint0,2017Q2,9,0.033210332103321034,0.007123934420614907
2017-12-31,disjoint0,2017Q3,11,0.04059040590405904,0.004342296835823333
2017-12-31,disjoint0,2017Q4,9,0.033210332103321034,0.006475796467625787
2017-12-31,disjoint1,2010Q3,9,0.033210332103321034,0.01305000055871863
2017-12-31,disjoint1,2010Q4,10,0.03690036900369004,0.09262065506278833
2017-12-31,disjoint1,2011Q1,10,0.03690036900369004,0.0425070099175982
2017-12-31,disjoint1,2011Q2,10,0.03690036900369004,0.027356237408518568
2017-12-31,disjoint1,2011Q3,10,0.03690036900369004,0.029569242440497363
2017-12-31,disjoint1,2011Q4,10,0.03690036900369004,0.028368301457742662
2017-12-31,disjoint1,2012Q1,9,0.033210332103321034,0.014446078062499042
2017-12-31,disjoint1,2012Q2,7,0.025830258302583026,0.013593028314646526
2017-12-31,disjoint1,2012Q3,11,0.04059040590405904,0.04398115741779359
2017-12-31,disjoint1,2012Q4,10,0.03690036900369004,0.04642022797035815
2017-12-31,disjoint1,2013Q1,8,0.02952029520295203,0.048088431732093546
2017-12-31,disjoint1,2013Q2,9,0.033210332103321034,0.034468129970468296
2017-12-31,disjoint1,2013Q3,11,0.04059040590405904,0.04575331747127784
2017-12-31,disjoint1,2013Q4,10,0.03690036900369004,0.01894531233235663
2017-12-31,disjoint1,2014Q1,9,0.033210332103321034,0.021358368678233836
2017-12-31,disjoint1,2014Q2,10,0.03690036900369004,0.010944165349953327
2017-12-31,disjoint1,2014Q3,10,0.03690036900369004,0.021943076961371488
2017-12-31,disjoint1,2014Q4,11,0.04059040590405904,0.14631852295493722
2017-12-31,disjoint1,2015Q1,8,0.02952029520295203,0.04706814018584468
2017-12-31,disjoint1,2015Q3,1,0.0036900369003690036,0.0057564129014916
2017-12-31,disjoint1,2015Q4,10,0.03690036900369004,0.11055298325491453
2017-12-31,disjoint1,2016Q1,9,0.033210332103321034,0.06487682194009818
2017-12-31,disjoint1,2016Q2,9,0.033210332103321034,0.03185960063566279
2017-12-31,disjoint1,2016Q3,10,0.03690036900369004,0.010431956426079287
2017-12-31,disjoint1,2016Q4,10,0.03690036900369004,0.0070129262337228805
2017-12-31,disjoint1,2017Q1,10,0.03690036900369004,0.005004354284754136
2017-12-31,disjoint1,2017Q2,10,0.03690036900369004,0.00969710105742422
2017-12-31,disjoint1,2017Q3,11,0.04059040590405904,0.005576585170536116
2017-12-31,disjoint1,2017Q4,9,0.033210332103321034,0.002431853847618216
2017-12-31,disjoint2,2010Q3,8,0.029304029304029304,0.0327935063655439
2017-12-31,disjoint2,2010Q4,10,0.03663003663003663,0.05770237412262246
2017-12-31,disjoint2,2011Q1,9,0.03296703296703297,0.02882367713273746
2017-12-31,disjoint2,2011Q2,11,0.040293040293040296,0.031637526349125256
2017-12-31,disjoint2,2011Q3,10,0.03663003663003663,0.046477466086338355
2017-12-31,disjoint2,2011Q4,10,0.03663003663003663,0.029512741654716866
2017-12-31,disjoint2,2012Q1,10,0.03663003663003663,0.02085526295512532
2017-12-31,disjoint2,2012Q2,9,0.03296703296703297,0.024746780175476064
2017-12-31,disjoint2,2012Q3,11,0.040293040293040296,0.02938255863645294
2017-12-31,disjoint2,2012Q4,10,0.03663003663003663,0.05483452455542971
2017-12-31,disjoint2,2013Q1,8,0.029304029304029304,0.04126482301995486
2017-12-31,disjoint2,2013Q2,9,0.03296703296703297,0.055582400539071576
2017-12-31,disjoint2,2013Q3,10,0.03663003663003663,0.03364176398146483
2017-12-31,disjoint2,2013Q4,11,0.040293040293040296,0.03678762058721356
2017-12-31,disjoint2,2014Q1,9,0.03296703296703297,0.020379948920461667
2017-12-31,disjoint2,2014Q2,10,0.03663003663003663,0.009877728102455631
2017-12-31,disjoint2,2014Q3,11,0.040293040293040296,0.02196221695132311
2017-12-31,disjoint2,2014Q4,10,0.03663003663003663,0.11843813654006698
2017-12-31,disjoint2,2015Q1,8,0.029304029304029304,0.05102846683327438
2017-12-31,disjoint2,2015Q3,1,0.003663003663003663,0.018510916312358714
2017-12-31,disjoint2,2015Q4,10,0.03663003663003663,0.07045223061919298
2017-12-31,disjoint2,2016Q1,10,0.03663003663003663,0.08798381583122707
2017-12-31,disjoint2,2016Q2,9,0.03296703296703297,0.02618964829718016
2017-12-31,disjoint2,2016Q3,10,0.03663003663003663,0.015702912027515722
2017-12-31,disjoint2,2016Q4,10,0.03663003663003663,0.009577597417325338
2017-12-31,disjoint2,2017Q1,10,0.03663003663003663,0.0039267656680473705
2017-12-31,disjoint2,2017Q2,10,0.03663003663003663,0.008427806194839335
2017-12-31,disjoint2,2017Q3,10,0.03663003663003663,0.007929557264640322
2017-12-31,disjoint2,2017Q4,9,0.03296703296703297,0.005569226858818168
2017-12-31,quarter_equal,2010Q3,52,0.03448275862068965,0.047299927553443186
2017-12-31,quarter_equal,2010Q4,61,0.03448275862068966,0.05537100191470379
2017-12-31,quarter_equal,2011Q1,58,0.03448275862068965,0.027869184333275693
2017-12-31,quarter_equal,2011Q2,61,0.03448275862068966,0.022815093782736603
2017-12-31,quarter_equal,2011Q3,65,0.034482758620689655,0.03513927482394851
2017-12-31,quarter_equal,2011Q4,60,0.03448275862068965,0.040788189257853984
2017-12-31,quarter_equal,2012Q1,58,0.03448275862068965,0.024099861630751243
2017-12-31,quarter_equal,2012Q2,59,0.034482758620689655,0.019043294112044536
2017-12-31,quarter_equal,2012Q3,65,0.034482758620689655,0.03137235115439491
2017-12-31,quarter_equal,2012Q4,61,0.03448275862068966,0.03443285171886603
