cutoff,first,second,shared_anchors,union_anchors
2017-12-31,disjoint0,disjoint1,0,542
2017-12-31,disjoint0,disjoint2,0,544
2017-12-31,disjoint1,disjoint2,0,544
2018-12-31,disjoint0,disjoint1,0,621
2018-12-31,disjoint0,disjoint2,0,622
2018-12-31,disjoint1,disjoint2,0,623
2019-12-31,disjoint0,disjoint1,0,699
2019-12-31,disjoint0,disjoint2,0,701
2019-12-31,disjoint1,disjoint2,0,700
