cutoff,incumbent_cutoff,triggered,ready,reason,next_n,incumbent_next_brier,fresh_next_brier,fresh_minus_incumbent_brier,incumbent_next_excess_brier,incumbent_correct,fresh_correct,diagnostic_only
2021-03-31,2020-12-31,False,False,warmup,13,0.2544817646804025,0.24534173558950542,-0.009140029090897093,-0.012182220834676032,7,6,True
2021-06-30,2020-12-31,False,True,no_persistent_underperformance,13,0.2430229443894949,0.24187318952296752,-0.0011497548665273633,-0.005870033255565875,9,10,True
2021-09-30,2020-12-31,False,True,no_persistent_underperformance,13,0.3124043664284214,0.2938617167888853,-0.018542649639536148,0.05462588484835175,6,7,True
2022-03-31,2021-12-31,False,False,warmup,12,0.3090738048638471,0.264254762739691,-0.04481904212415614,0.06461174124525593,4,4,True
2022-06-30,2021-12-31,True,True,persistent_underperformance,14,0.32096129779234417,0.29542507673974694,-0.025536221052597223,0.042672408645853914,7,4,True
2022-09-30,2022-06-30,False,False,warmup,12,0.24598367295925613,0.2598425840911443,0.013858911131888191,-0.005030399194654353,6,5,True
2023-03-31,2022-12-31,False,False,warmup,12,0.26239670579759233,0.2517898596129542,-0.010606846184638112,0.010940847782060887,5,7,True
2023-06-30,2022-12-31,True,True,persistent_underperformance,12,0.24768310118370343,0.2435116578103572,-0.00417144337334627,-0.0032902644138516853,7,7,True
2023-09-30,2023-06-30,False,False,warmup,12,0.2718242031353557,0.22137983986376308,-0.05044436327159258,0.01723376119567465,3,9,True
2024-03-31,2023-12-31,False,False,warmup,11,0.24007879953347258,0.29707435984696956,0.05699556031349693,-0.010604670788801953,6,4,True
2024-06-30,2023-12-31,False,True,no_persistent_underperformance,13,0.2163493466757152,0.224462457301312,0.008113110625596807,-0.03384785494837011,9,9,True
2024-09-30,2023-12-31,False,True,no_persistent_underperformance,12,0.22460875252039547,0.22622325543750246,0.0016145029171069972,-0.025397414972258347,10,9,True
2025-03-31,2024-12-31,False,False,warmup,11,0.2552406680377864,0.27345891270120143,0.01821824466341499,0.0020043620057574522,5,4,True
2025-06-30,2024-12-31,True,True,persistent_underperformance,13,0.29153008887629367,0.28606504653866427,-0.005465042337629387,0.03025704346424174,6,4,True
2025-09-30,2025-06-30,False,False,warmup,12,0.25969527929925085,0.24108280351385203,-0.018612475785398833,-0.0011460365097637852,5,7,True
2026-03-31,2025-12-31,False,False,warmup,11,0.2738386400154027,0.28924773869422715,0.015409098678824413,0.010217302509755333,3,2,True
2026-06-30,2025-12-31,False,True,no_persistent_underperformance,8,0.2602349110598242,0.29414472200789965,0.03390981094807545,0.02017003367780122,3,2,True
