cutoff,row_index,date,joint_completed
2021-03-31,2533,2021-07-02,2021-07-12
2021-03-31,2538,2021-07-09,2021-07-19
2021-03-31,2543,2021-07-16,2021-07-26
2021-03-31,2548,2021-07-23,2021-08-02
2021-03-31,2553,2021-07-30,2021-08-09
2021-03-31,2558,2021-08-06,2021-08-16
2021-03-31,2563,2021-08-13,2021-08-23
2021-03-31,2568,2021-08-20,2021-08-30
2021-03-31,2573,2021-08-27,2021-09-06
2021-03-31,2578,2021-09-03,2021-09-13
2021-03-31,2583,2021-09-10,2021-09-22
2021-03-31,2588,2021-09-17,2021-09-28
2021-03-31,2591,2021-09-24,2021-10-11
2021-03-31,2596,2021-10-08,2021-10-18
2021-03-31,2601,2021-10-15,2021-10-25
2021-03-31,2606,2021-10-22,2021-11-01
2021-03-31,2611,2021-10-29,2021-11-08
2021-03-31,2616,2021-11-05,2021-11-15
2021-03-31,2621,2021-11-12,2021-11-22
2021-03-31,2626,2021-11-19,2021-11-29
2021-03-31,2631,2021-11-26,2021-12-06
2021-03-31,2636,2021-12-03,2021-12-13
2021-03-31,2641,2021-12-10,2021-12-20
2021-03-31,2646,2021-12-17,2021-12-27
2021-03-31,2651,2021-12-24,2022-01-04
2021-03-31,2656,2021-12-31,2022-01-10
2021-06-30,2596,2021-10-08,2021-10-18
2021-06-30,2601,2021-10-15,2021-10-25
2021-06-30,2606,2021-10-22,2021-11-01
2021-06-30,2611,2021-10-29,2021-11-08
2021-06-30,2616,2021-11-05,2021-11-15
2021-06-30,2621,2021-11-12,2021-11-22
2021-06-30,2626,2021-11-19,2021-11-29
2021-06-30,2631,2021-11-26,2021-12-06
2021-06-30,2636,2021-12-03,2021-12-13
2021-06-30,2641,2021-12-10,2021-12-20
2021-06-30,2646,2021-12-17,2021-12-27
2021-06-30,2651,2021-12-24,2022-01-04
2021-06-30,2656,2021-12-31,2022-01-10
2022-03-31,2774,2022-07-01,2022-07-11
2022-03-31,2779,2022-07-08,2022-07-18
2022-03-31,2784,2022-07-15,2022-07-25
2022-03-31,2789,2022-07-22,2022-08-01
2022-03-31,2794,2022-07-29,2022-08-08
2022-03-31,2799,2022-08-05,2022-08-15
2022-03-31,2804,2022-08-12,2022-08-22
2022-03-31,2809,2022-08-19,2022-08-29
2022-03-31,2814,2022-08-26,2022-09-05
2022-03-31,2819,2022-09-02,2022-09-13
2022-03-31,2824,2022-09-09,2022-09-19
2022-03-31,2828,2022-09-16,2022-09-26
2022-03-31,2833,2022-09-23,2022-10-10
2022-03-31,2838,2022-09-30,2022-10-17
