decision_cutoff,row_index,date,joint_completed,cutoff,prediction_probability,frequency_probability,actual_up,block,excess_brier
2021-03-31,2418,2021-01-08,2021-01-18,2020-12-31,0.5001109789678101,0.5577557755775577,0,warmup,-0.06098051390598158
2021-03-31,2423,2021-01-15,2021-01-25,2020-12-31,0.35551204281105386,0.5577557755775577,1,warmup,0.21978477292657342
2021-03-31,2428,2021-01-22,2021-02-01,2020-12-31,0.3798623603077121,0.5577557755775577,0,warmup,-0.1667960924115769
2021-03-31,2433,2021-01-29,2021-02-08,2020-12-31,0.4201105418958859,0.5577557755775577,1,warmup,0.14069182958527562
2021-03-31,2438,2021-02-05,2021-02-22,2020-12-31,0.504404005233663,0.5577557755775577,1,warmup,0.050035435993427635
2021-03-31,2443,2021-02-19,2021-03-01,2020-12-31,0.42599869993369827,0.5577557755775577,0,warmup,-0.12961661284492187
2021-03-31,2448,2021-02-26,2021-03-08,2020-12-31,0.5082594510159223,0.5577557755775577,0,warmup,-0.052763835643116264
2021-03-31,2453,2021-03-05,2021-03-15,2020-12-31,0.4347503669388922,0.5577557755775577,0,warmup,-0.12208362363662156
2021-03-31,2458,2021-03-12,2021-03-22,2020-12-31,0.4053025953194051,0.5577557755775577,0,warmup,-0.1468213114174775
2021-03-31,2463,2021-03-19,2021-03-29,2020-12-31,0.5402439465622171,0.5577557755775577,1,warmup,0.01579567463767803
2021-06-30,2453,2021-03-05,2021-03-15,2020-12-31,0.4347503669388922,0.5577557755775577,0,older8,-0.12208362363662156
2021-06-30,2458,2021-03-12,2021-03-22,2020-12-31,0.4053025953194051,0.5577557755775577,0,older8,-0.1468213114174775
2021-06-30,2463,2021-03-19,2021-03-29,2020-12-31,0.5402439465622171,0.5577557755775577,1,older8,0.01579567463767803
2021-06-30,2468,2021-03-26,2021-04-06,2020-12-31,0.5450683950610348,0.5577557755775577,1,older8,0.011382811137335275
2021-06-30,2473,2021-04-02,2021-04-12,2020-12-31,0.5939565973257132,0.5577557755775577,0,older8,0.041692934316616415
2021-06-30,2477,2021-04-09,2021-04-19,2020-12-31,0.6399401089653198,0.5577557755775577,0,older8,0.09843183787242243
2021-06-30,2482,2021-04-16,2021-04-26,2020-12-31,0.5667835261923418,0.5577557755775577,1,older8,-0.00790344085666611
2021-06-30,2487,2021-04-23,2021-05-06,2020-12-31,0.6460898518291928,0.5577557755775577,0,older8,0.10634059144654529
2021-06-30,2492,2021-04-30,2021-05-12,2020-12-31,0.6264560679312086,0.5577557755775577,0,recent8,0.08135569985770802
2021-06-30,2494,2021-05-07,2021-05-17,2020-12-31,0.6880829136272375,0.5577557755775577,1,recent8,-0.09828768526373409
2021-06-30,2499,2021-05-14,2021-05-24,2020-12-31,0.5431524131139366,0.5577557755775577,1,recent8,0.013129763608611789
2021-06-30,2504,2021-05-21,2021-05-31,2020-12-31,0.6195824746570046,0.5577557755775577,1,recent8,-0.05086246044691889
2021-06-30,2509,2021-05-28,2021-06-07,2020-12-31,0.5496184120327744,0.5577557755775577,0,recent8,-0.009011106344694375
2021-06-30,2514,2021-06-04,2021-06-15,2020-12-31,0.41165456928956967,0.5577557755775577,0,recent8,-0.14163202077314185
2021-06-30,2519,2021-06-11,2021-06-21,2020-12-31,0.3253630552252414,0.5577557755775577,0,recent8,-0.20523038748461947
2021-06-30,2523,2021-06-18,2021-06-28,2020-12-31,0.375090920981986,0.5577557755775577,1,recent8,0.19493140300413506
2021-09-30,2514,2021-06-04,2021-06-15,2020-12-31,0.41165456928956967,0.5577557755775577,0,older8,-0.14163202077314185
2021-09-30,2519,2021-06-11,2021-06-21,2020-12-31,0.3253630552252414,0.5577557755775577,0,older8,-0.20523038748461947
2021-09-30,2523,2021-06-18,2021-06-28,2020-12-31,0.375090920981986,0.5577557755775577,1,older8,0.19493140300413506
2021-09-30,2528,2021-06-25,2021-07-05,2020-12-31,0.36023257126899333,0.5577557755775577,0,older8,-0.1813239997870526
2021-09-30,2533,2021-07-02,2021-07-12,2020-12-31,0.4477770399740965,0.5577557755775577,1,older8,0.10937024354476307
2021-09-30,2538,2021-07-09,2021-07-19,2020-12-31,0.4043511725914635,0.5577557755775577,0,older8,-0.14759163441403145
2021-09-30,2543,2021-07-16,2021-07-26,2020-12-31,0.3831343843139412,0.5577557755775577,0,older8,-0.16429954874650016
2021-09-30,2548,2021-07-23,2021-08-02,2020-12-31,0.47403532351160904,0.5577557755775577,0,older8,-0.08638201725336711
2021-09-30,2553,2021-07-30,2021-08-09,2020-12-31,0.5158397070401711,0.5577557755775577,1,recent8,0.03883123524393986
2021-09-30,2558,2021-08-06,2021-08-16,2020-12-31,0.5221641914912023,0.5577557755775577,1,recent8,0.032747105858248915
2021-09-30,2563,2021-08-13,2021-08-23,2020-12-31,0.6330592332697833,0.5577557755775577,0,recent8,0.08967248763800295
