cutoff,previous_model_cutoff,selected_model_cutoff,mandatory,available_mature_weeks,ready,older8_excess,recent8_excess,refit,reason
2020-12-31,,2020-12-31,True,0,False,,,True,annual
2021-03-31,2020-12-31,2020-12-31,False,10,False,,,False,warmup
2021-06-30,2020-12-31,2020-12-31,False,23,True,-0.0003955658125209677,-0.026950849230331725,False,no_persistent_underperformance
2021-09-30,2020-12-31,2020-12-31,False,36,True,-0.0777697452387268,0.03289571283637259,False,no_persistent_underperformance
2021-12-31,2020-12-31,2021-12-31,True,48,False,,,True,annual
2022-03-31,2021-12-31,2021-12-31,False,10,False,,,False,warmup
2022-06-30,2021-12-31,2022-06-30,False,22,True,0.06922376946317335,0.03569534443396663,True,persistent_underperformance
2022-09-30,2022-06-30,2022-06-30,False,12,False,,,False,warmup
2022-12-31,2022-06-30,2022-12-31,True,24,False,,,True,annual
2023-03-31,2022-12-31,2022-12-31,False,10,False,,,False,warmup
2023-06-30,2022-12-31,2023-06-30,False,22,True,0.026809806186492435,0.02867405270032111,True,persistent_underperformance
2023-09-30,2023-06-30,2023-06-30,False,11,False,,,False,warmup
2023-12-31,2023-06-30,2023-12-31,True,22,False,,,True,annual
2024-03-31,2023-12-31,2023-12-31,False,9,False,,,False,warmup
2024-06-30,2023-12-31,2023-12-31,False,20,True,-0.04265946414595593,-0.014371797029498218,False,no_persistent_underperformance
2024-09-30,2023-12-31,2023-12-31,False,34,True,-0.005898478877781339,-0.04089264119883754,False,no_persistent_underperformance
2024-12-31,2023-12-31,2024-12-31,True,46,False,,,True,annual
2025-03-31,2024-12-31,2024-12-31,False,11,False,,,False,warmup
2025-06-30,2024-12-31,2025-06-30,False,22,True,0.026295762398454846,0.01183742938125475,True,persistent_underperformance
2025-09-30,2025-06-30,2025-06-30,False,12,False,,,False,warmup
2025-12-31,2025-06-30,2025-12-31,True,24,False,,,True,annual
2026-03-31,2025-12-31,2025-12-31,False,10,False,,,False,warmup
2026-06-30,2025-12-31,2025-12-31,False,21,True,-0.007115613951705218,0.014239151413122039,False,no_persistent_underperformance
