cutoff,active_model,mature_weeks,ready,triggered,future_label_probability_invariant,other_model_errors_excluded
2021-03-31,2020-12-31,10,False,False,True,True
2021-06-30,2020-12-31,23,True,False,True,True
2021-09-30,2020-12-31,36,True,False,True,True
2022-03-31,2021-12-31,10,False,False,True,True
2022-06-30,2021-12-31,22,True,True,True,True
2022-09-30,2022-06-30,12,False,False,True,True
2023-03-31,2022-12-31,10,False,False,True,True
2023-06-30,2022-12-31,22,True,True,True,True
2023-09-30,2023-06-30,11,False,False,True,True
2024-03-31,2023-12-31,9,False,False,True,True
2024-06-30,2023-12-31,20,True,False,True,True
2024-09-30,2023-12-31,34,True,False,True,True
2025-03-31,2024-12-31,11,False,False,True,True
2025-06-30,2024-12-31,22,True,True,True,True
2025-09-30,2025-06-30,12,False,False,True,True
2026-03-31,2025-12-31,10,False,False,True,True
2026-06-30,2025-12-31,21,True,False,True,True
