row_index,date,joint_completed,cutoff,prediction_probability,frequency_probability,actual_up
2418,2021-01-08,2021-01-18,2020-12-31,0.5001109789678101,0.5577557755775577,0
2423,2021-01-15,2021-01-25,2020-12-31,0.35551204281105386,0.5577557755775577,1
2428,2021-01-22,2021-02-01,2020-12-31,0.3798623603077121,0.5577557755775577,0
2433,2021-01-29,2021-02-08,2020-12-31,0.4201105418958859,0.5577557755775577,1
2438,2021-02-05,2021-02-22,2020-12-31,0.504404005233663,0.5577557755775577,1
2443,2021-02-19,2021-03-01,2020-12-31,0.42599869993369827,0.5577557755775577,0
2448,2021-02-26,2021-03-08,2020-12-31,0.5082594510159223,0.5577557755775577,0
2453,2021-03-05,2021-03-15,2020-12-31,0.4347503669388922,0.5577557755775577,0
2458,2021-03-12,2021-03-22,2020-12-31,0.4053025953194051,0.5577557755775577,0
2463,2021-03-19,2021-03-29,2020-12-31,0.5402439465622171,0.5577557755775577,1
2468,2021-03-26,2021-04-06,2020-12-31,0.5450683950610348,0.5577557755775577,1
2473,2021-04-02,2021-04-12,2020-12-31,0.5939565973257132,0.5577557755775577,0
2477,2021-04-09,2021-04-19,2020-12-31,0.6399401089653198,0.5577557755775577,0
2482,2021-04-16,2021-04-26,2020-12-31,0.5667835261923418,0.5577557755775577,1
2487,2021-04-23,2021-05-06,2020-12-31,0.6460898518291928,0.5577557755775577,0
2492,2021-04-30,2021-05-12,2020-12-31,0.6264560679312086,0.5577557755775577,0
2494,2021-05-07,2021-05-17,2020-12-31,0.6880829136272375,0.5577557755775577,1
2499,2021-05-14,2021-05-24,2020-12-31,0.5431524131139366,0.5577557755775577,1
2504,2021-05-21,2021-05-31,2020-12-31,0.6195824746570046,0.5577557755775577,1
2509,2021-05-28,2021-06-07,2020-12-31,0.5496184120327744,0.5577557755775577,0
2514,2021-06-04,2021-06-15,2020-12-31,0.41165456928956967,0.5577557755775577,0
2519,2021-06-11,2021-06-21,2020-12-31,0.3253630552252414,0.5577557755775577,0
2523,2021-06-18,2021-06-28,2020-12-31,0.375090920981986,0.5577557755775577,1
2528,2021-06-25,2021-07-05,2020-12-31,0.36023257126899333,0.5577557755775577,0
2533,2021-07-02,2021-07-12,2020-12-31,0.4477770399740965,0.5577557755775577,1
2538,2021-07-09,2021-07-19,2020-12-31,0.4043511725914635,0.5577557755775577,0
2543,2021-07-16,2021-07-26,2020-12-31,0.3831343843139412,0.5577557755775577,0
2548,2021-07-23,2021-08-02,2020-12-31,0.47403532351160904,0.5577557755775577,0
2553,2021-07-30,2021-08-09,2020-12-31,0.5158397070401711,0.5577557755775577,1
2558,2021-08-06,2021-08-16,2020-12-31,0.5221641914912023,0.5577557755775577,1
2563,2021-08-13,2021-08-23,2020-12-31,0.6330592332697833,0.5577557755775577,0
2568,2021-08-20,2021-08-30,2020-12-31,0.5807600815768835,0.5577557755775577,1
2573,2021-08-27,2021-09-06,2020-12-31,0.6847816302781938,0.5577557755775577,0
2578,2021-09-03,2021-09-13,2020-12-31,0.6971831922611704,0.5577557755775577,1
2583,2021-09-10,2021-09-22,2020-12-31,0.6857683222036356,0.5577557755775577,0
2588,2021-09-17,2021-09-28,2020-12-31,0.6772407316852846,0.5577557755775577,1
2591,2021-09-24,2021-10-11,2020-12-31,0.6192024476302324,0.5577557755775577,1
2596,2021-10-08,2021-10-18,2020-12-31,0.7697902922974684,0.5577557755775577,0
2601,2021-10-15,2021-10-25,2020-12-31,0.7026027173450938,0.5577557755775577,1
2606,2021-10-22,2021-11-01,2020-12-31,0.5992765447887268,0.5577557755775577,0
2611,2021-10-29,2021-11-08,2020-12-31,0.6294976157556421,0.5577557755775577,0
2616,2021-11-05,2021-11-15,2020-12-31,0.6510774730141534,0.5577557755775577,1
2621,2021-11-12,2021-11-22,2020-12-31,0.7527293392289612,0.5577557755775577,1
2626,2021-11-19,2021-11-29,2020-12-31,0.7508342641035025,0.5577557755775577,0
2631,2021-11-26,2021-12-06,2020-12-31,0.6716157087116513,0.5577557755775577,1
2636,2021-12-03,2021-12-13,2020-12-31,0.5924329023825453,0.5577557755775577,1
2641,2021-12-10,2021-12-20,2020-12-31,0.635674033315865,0.5577557755775577,0
2646,2021-12-17,2021-12-27,2020-12-31,0.719597170505809,0.5577557755775577,0
2651,2021-12-24,2022-01-04,2020-12-31,0.6380429383106351,0.5577557755775577,1
2656,2021-12-31,2022-01-10,2020-12-31,0.7425169613653999,0.5577557755775577,0
2660,2022-01-07,2022-01-17,2021-12-31,0.6728733320806309,0.5458298926507019,0
2665,2022-01-14,2022-01-24,2021-12-31,0.6781941195014632,0.5458298926507019,1
2670,2022-01-21,2022-02-07,2021-12-31,0.6861351648378702,0.5458298926507019,0
2675,2022-01-28,2022-02-14,2021-12-31,0.5822491246602033,0.5458298926507019,0
2680,2022-02-11,2022-02-21,2021-12-31,0.6519325613953844,0.5458298926507019,1
2685,2022-02-18,2022-02-28,2021-12-31,0.6732751705299328,0.5458298926507019,0
2690,2022-02-25,2022-03-07,2021-12-31,0.6522358213996781,0.5458298926507019,0
2695,2022-03-04,2022-03-14,2021-12-31,0.6779393346784746,0.5458298926507019,0
2700,2022-03-11,2022-03-21,2021-12-31,0.6669752844056696,0.5458298926507019,1
2705,2022-03-18,2022-03-28,2021-12-31,0.6043313348469551,0.5458298926507019,0
2710,2022-03-25,2022-04-06,2021-12-31,0.6634389290620103,0.5458298926507019,1
2715,2022-04-01,2022-04-12,2021-12-31,0.6587294181439721,0.5458298926507019,0
2718,2022-04-08,2022-04-18,2021-12-31,0.6169974973061821,0.5458298926507019,0
2723,2022-04-15,2022-04-25,2021-12-31,0.6818312948333229,0.5458298926507019,0
2728,2022-04-22,2022-05-05,2021-12-31,0.6362220936613167,0.5458298926507019,1
2733,2022-04-29,2022-05-11,2021-12-31,0.5121820307195798,0.5458298926507019,0
2735,2022-05-06,2022-05-16,2021-12-31,0.50030474991922,0.5458298926507019,1
2740,2022-05-13,2022-05-23,2021-12-31,0.535805382880595,0.5458298926507019,1
2745,2022-05-20,2022-05-30,2021-12-31,0.5384519529464837,0.5458298926507019,0
2750,2022-05-27,2022-06-13,2021-12-31,0.5284656164969511,0.5458298926507019,1
2759,2022-06-10,2022-06-20,2021-12-31,0.39752583505672323,0.5458298926507019,1
2764,2022-06-17,2022-06-27,2021-12-31,0.3803556389167814,0.5458298926507019,1
2769,2022-06-24,2022-07-04,2021-12-31,0.4429226549304241,0.5458298926507019,1
2774,2022-07-01,2022-07-11,2022-06-30,0.5460945097208313,0.5318444995864351,0
2779,2022-07-08,2022-07-18,2022-06-30,0.5709285977233941,0.5318444995864351,0
2784,2022-07-15,2022-07-25,2022-06-30,0.5386729133705628,0.5318444995864351,0
2789,2022-07-22,2022-08-01,2022-06-30,0.6088672031103469,0.5318444995864351,0
2794,2022-07-29,2022-08-08,2022-06-30,0.6623682805517995,0.5318444995864351,0
2799,2022-08-05,2022-08-15,2022-06-30,0.7003925360605608,0.5318444995864351,1
2804,2022-08-12,2022-08-22,2022-06-30,0.6078133258932611,0.5318444995864351,0
2809,2022-08-19,2022-08-29,2022-06-30,0.5575820478301243,0.5318444995864351,0
2814,2022-08-26,2022-09-05,2022-06-30,0.5952444291631976,0.5318444995864351,0
2819,2022-09-02,2022-09-13,2022-06-30,0.5472561794817495,0.5318444995864351,1
2824,2022-09-09,2022-09-19,2022-06-30,0.5288012018136322,0.5318444995864351,0
2828,2022-09-16,2022-09-26,2022-06-30,0.46505450301372214,0.5318444995864351,0
2833,2022-09-23,2022-10-10,2022-06-30,0.6420706866443049,0.5318444995864351,0
2838,2022-09-30,2022-10-17,2022-06-30,0.5821490674475068,0.5318444995864351,1
2843,2022-10-14,2022-10-24,2022-06-30,0.4884189382054627,0.5318444995864351,0
2848,2022-10-21,2022-10-31,2022-06-30,0.5102163350579567,0.5318444995864351,0
2853,2022-10-28,2022-11-07,2022-06-30,0.41533647309488614,0.5318444995864351,1
2858,2022-11-04,2022-11-14,2022-06-30,0.4696272030619412,0.5318444995864351,1
2863,2022-11-11,2022-11-21,2022-06-30,0.4252059417185475,0.5318444995864351,0
2868,2022-11-18,2022-11-28,2022-06-30,0.4533368555312285,0.5318444995864351,0
2873,2022-11-25,2022-12-05,2022-06-30,0.5353465016777856,0.5318444995864351,1
2878,2022-12-02,2022-12-12,2022-06-30,0.5348269141891592,0.5318444995864351,1
2883,2022-12-09,2022-12-19,2022-06-30,0.5591139884365715,0.5318444995864351,0
2888,2022-12-16,2022-12-26,2022-06-30,0.507162462671649,0.5318444995864351,0
2893,2022-12-23,2023-01-03,2022-06-30,0.5727168006124574,0.5318444995864351,1
2898,2022-12-30,2023-01-09,2022-06-30,0.49126908338563186,0.5318444995864351,1
2902,2023-01-06,2023-01-16,2022-12-31,0.3190913186827381,0.5028949545078577,1
2907,2023-01-13,2023-01-30,2022-12-31,0.3588939660119362,0.5028949545078577,1
2912,2023-01-20,2023-02-06,2022-12-31,0.5635762667927361,0.5028949545078577,0
2917,2023-02-03,2023-02-13,2022-12-31,0.5915505782316033,0.5028949545078577,0
2922,2023-02-10,2023-02-20,2022-12-31,0.32292214880259335,0.5028949545078577,0
2927,2023-02-17,2023-02-27,2022-12-31,0.4103459167795615,0.5028949545078577,1
2932,2023-02-24,2023-03-06,2022-12-31,0.6634252350206752,0.5028949545078577,1
2937,2023-03-03,2023-03-13,2022-12-31,0.6933961398078564,0.5028949545078577,0
2942,2023-03-10,2023-03-20,2022-12-31,0.5334992083770789,0.5028949545078577,1
2947,2023-03-17,2023-03-27,2022-12-31,0.3823445370878824,0.5028949545078577,1
2952,2023-03-24,2023-04-03,2022-12-31,0.4635711751847505,0.5028949545078577,1
2957,2023-03-31,2023-04-10,2022-12-31,0.5255541720047177,0.5028949545078577,1
2961,2023-04-07,2023-04-17,2022-12-31,0.5889469621804369,0.5028949545078577,0
2966,2023-04-14,2023-04-24,2022-12-31,0.3947661281586383,0.5028949545078577,0
2971,2023-04-21,2023-05-04,2022-12-31,0.4046231162378143,0.5028949545078577,0
2976,2023-04-28,2023-05-10,2022-12-31,0.4035758863317542,0.5028949545078577,1
2978,2023-05-05,2023-05-15,2022-12-31,0.3762379461016056,0.5028949545078577,0
2983,2023-05-12,2023-05-22,2022-12-31,0.42362561899667894,0.5028949545078577,1
2988,2023-05-19,2023-05-29,2022-12-31,0.6565750929453238,0.5028949545078577,0
2993,2023-05-26,2023-06-05,2022-12-31,0.5053490521109308,0.5028949545078577,0
2998,2023-06-02,2023-06-12,2022-12-31,0.4223074804155141,0.5028949545078577,0
