ex_date,share_multiplier,cash_per_pre_action_share
2017-05-22,2.0,0.53
2018-05-21,1.4,0.393
2019-06-03,1.0,0.285
2020-05-07,1.4,0.38
2021-05-21,1.4,0.56
2022-06-02,1.0,1.06
2023-06-20,1.0,0.62
2025-07-03,1.0,0.34
2026-05-26,1.0,0.75
