history,cutoff,lower_anchor_date,training_rows,testing_union_rows,steps_per_seed,passes_per_retained_row,causal
rolling5,2020-12-31,2016-01-01,1212,50,200,20,True
rolling5,2021-03-31,2016-04-01,1211,13,200,20,True
rolling5,2021-06-30,2016-07-01,1210,13,200,20,True
rolling5,2021-09-30,2016-10-01,1210,13,200,20,True
rolling5,2021-12-31,2017-01-01,1211,49,200,20,True
rolling5,2022-03-31,2017-04-01,1210,12,200,20,True
rolling5,2022-06-30,2017-07-01,1209,14,200,20,True
rolling5,2022-09-30,2017-10-01,1209,12,200,20,True
rolling5,2022-12-31,2018-01-01,1209,48,200,20,True
rolling5,2023-03-31,2018-04-01,1209,12,200,20,True
rolling5,2023-06-30,2018-07-01,1208,12,200,20,True
rolling5,2023-09-30,2018-10-01,1208,12,200,20,True
rolling5,2023-12-31,2019-01-01,1208,47,200,20,True
rolling5,2024-03-31,2019-04-01,1208,11,200,20,True
rolling5,2024-06-30,2019-07-01,1207,13,200,20,True
rolling5,2024-09-30,2019-10-01,1206,12,200,20,True
rolling5,2024-12-31,2020-01-01,1206,48,200,20,True
rolling5,2025-03-31,2020-04-01,1205,11,200,20,True
rolling5,2025-06-30,2020-07-01,1206,13,200,20,True
rolling5,2025-09-30,2020-10-01,1206,12,200,20,True
rolling5,2025-12-31,2021-01-01,1206,30,200,20,True
rolling5,2026-03-31,2021-04-01,1204,11,200,20,True
rolling5,2026-06-30,2021-07-01,1204,8,200,20,True
rolling3,2020-12-31,2018-01-01,724,50,120,20,True
rolling3,2021-03-31,2018-04-01,723,13,120,20,True
rolling3,2021-06-30,2018-07-01,723,13,120,20,True
rolling3,2021-09-30,2018-10-01,723,13,120,20,True
rolling3,2021-12-31,2019-01-01,724,49,120,20,True
rolling3,2022-03-31,2019-04-01,724,12,120,20,True
rolling3,2022-06-30,2019-07-01,723,14,120,20,True
rolling3,2022-09-30,2019-10-01,723,12,120,20,True
rolling3,2022-12-31,2020-01-01,722,48,120,20,True
rolling3,2023-03-31,2020-04-01,723,12,120,20,True
rolling3,2023-06-30,2020-07-01,723,12,120,20,True
rolling3,2023-09-30,2020-10-01,721,12,120,20,True
rolling3,2023-12-31,2021-01-01,721,47,120,20,True
rolling3,2024-03-31,2021-04-01,721,11,120,20,True
rolling3,2024-06-30,2021-07-01,720,13,120,20,True
rolling3,2024-09-30,2021-10-01,720,12,120,20,True
rolling3,2024-12-31,2022-01-01,720,48,120,20,True
rolling3,2025-03-31,2022-04-01,719,11,120,20,True
rolling3,2025-06-30,2022-07-01,720,13,120,20,True
rolling3,2025-09-30,2022-10-01,721,12,120,20,True
rolling3,2025-12-31,2023-01-01,721,30,120,20,True
rolling3,2026-03-31,2023-04-01,718,11,120,20,True
rolling3,2026-06-30,2023-07-01,719,8,120,20,True
