job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
rolling5_learned_market_2020-12-31_20260910,L-BFGS-B,True,79,7.287635350738952e-08,1.7763568394002505e-15,1.37178477132259e-08,
rolling5_learned_vol_interaction_2020-12-31_20260910,L-BFGS-B,True,83,5.4492972800801454e-08,1.2212453270876722e-15,1.1187877448906244e-08,
rolling5_learned_order_extension_2020-12-31_20260910,L-BFGS-B,True,73,1.9044836185866387e-07,5.773159728050814e-15,8.71901221924723e-09,
rolling5_learned_order_offset_2020-12-31_20260910,brentq,True,10,,1.1102230246251565e-16,1.2002118049414534e-16,7.271960811294775e-15
rolling5_learned_market_2020-12-31_20260911,L-BFGS-B,True,82,7.01917418077791e-08,1.887379141862766e-15,7.676990265497938e-09,
rolling5_learned_vol_interaction_2020-12-31_20260911,L-BFGS-B,True,82,7.728178497146132e-08,1.4432899320127035e-15,1.312443142316086e-08,
rolling5_learned_order_extension_2020-12-31_20260911,L-BFGS-B,True,78,1.2187550690878624e-07,1.1546319456101628e-14,9.14765736011354e-09,
rolling5_learned_order_offset_2020-12-31_20260911,brentq,True,11,,0.0,1.489693784995083e-16,9.298117831235686e-16
rolling5_learned_market_2020-12-31_20260912,L-BFGS-B,True,76,6.662521329081628e-08,1.1102230246251565e-15,1.075348402495126e-08,
rolling5_learned_vol_interaction_2020-12-31_20260912,L-BFGS-B,True,72,6.425559279099602e-08,1.6653345369377348e-15,4.546642860732983e-09,
rolling5_learned_order_extension_2020-12-31_20260912,L-BFGS-B,True,74,4.7255507618082504e-08,1.1102230246251565e-15,6.554126511914421e-09,
rolling5_learned_order_offset_2020-12-31_20260912,brentq,True,10,,1.1102230246251565e-16,1.1736488517155585e-17,1.2155052311890735e-10
rolling5_learned_market_2021-03-31_20260910,L-BFGS-B,True,81,1.0153205898255635e-07,2.55351295663786e-15,1.002228033485271e-08,
rolling5_learned_vol_interaction_2021-03-31_20260910,L-BFGS-B,True,84,1.0180146631233455e-07,4.551914400963142e-15,1.2017297833059881e-08,
rolling5_learned_order_extension_2021-03-31_20260910,L-BFGS-B,True,84,3.8090418041925034e-08,6.661338147750939e-16,6.464657982324304e-09,
rolling5_learned_order_offset_2021-03-31_20260910,brentq,True,11,,1.1102230246251565e-16,3.86171129795887e-15,1.6958656701149266e-14
rolling5_learned_market_2021-03-31_20260911,L-BFGS-B,True,81,3.7377293760076924e-08,6.661338147750939e-16,1.9275550708526545e-09,
rolling5_learned_vol_interaction_2021-03-31_20260911,L-BFGS-B,True,76,7.295762088910251e-08,2.7755575615628914e-15,3.7288934762235765e-09,
rolling5_learned_order_extension_2021-03-31_20260911,L-BFGS-B,True,78,4.4076913141566365e-07,1.4432899320127035e-14,3.51660629925761e-08,
rolling5_learned_order_offset_2021-03-31_20260911,brentq,True,12,,0.0,1.2576745200831851e-17,2.120525977034049e-14
rolling5_learned_market_2021-03-31_20260912,L-BFGS-B,True,77,6.31094138059396e-08,1.3322676295501878e-15,1.572898650431878e-08,
rolling5_learned_vol_interaction_2021-03-31_20260912,L-BFGS-B,True,74,1.4784852397919934e-07,3.4416913763379853e-15,1.1224005707385735e-08,
rolling5_learned_order_extension_2021-03-31_20260912,L-BFGS-B,True,73,6.952110698232872e-08,1.7763568394002505e-15,7.022417143772407e-09,
rolling5_learned_order_offset_2021-03-31_20260912,brentq,True,11,,0.0,7.37257477290143e-18,1.6475709685437323e-13
