job,history,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
rolling5_learned_market_2020-12-31_20260910,rolling5,learned_market,2020-12-31,20260910,1212,4,0.6577369883713768,4.4289658746032856e-17,0.010188244053512275,
rolling5_learned_vol_interaction_2020-12-31_20260910,rolling5,learned_vol_interaction,2020-12-31,20260910,1212,4,0.6526196103515058,4.956972332603726e-16,0.010186029835509198,
rolling5_learned_order_extension_2020-12-31_20260910,rolling5,learned_order_extension,2020-12-31,20260910,1212,4,0.65229450884434,6.093216209368535e-16,0.010186234830260588,
rolling5_learned_order_offset_2020-12-31_20260910,rolling5,learned_order_offset,2020-12-31,20260910,1212,2,0.6522948763325843,1.5609258677273807e-15,0.23086411799616174,0.6497970546684738
rolling5_learned_market_2020-12-31_20260911,rolling5,learned_market,2020-12-31,20260911,1212,4,0.6358306555305762,6.139132171373296e-15,0.01013908899959109,
rolling5_learned_vol_interaction_2020-12-31_20260911,rolling5,learned_vol_interaction,2020-12-31,20260911,1212,4,0.6349796428438812,8.786439457952877e-14,0.010139244424820674,
rolling5_learned_order_extension_2020-12-31_20260911,rolling5,learned_order_extension,2020-12-31,20260911,1212,4,0.6335940959474097,2.412306465693348e-13,0.010137252477943462,
rolling5_learned_order_offset_2020-12-31_20260911,rolling5,learned_order_offset,2020-12-31,20260911,1212,3,0.6335982432205332,3.903127820947816e-17,0.20675391153345496,0.6290635571863601
rolling5_learned_market_2020-12-31_20260912,rolling5,learned_market,2020-12-31,20260912,1212,4,0.6414914445228637,1.327987199373215e-13,0.010784277269498361,
rolling5_learned_vol_interaction_2020-12-31_20260912,rolling5,learned_vol_interaction,2020-12-31,20260912,1212,4,0.6414486683795403,3.154020827064036e-13,0.01078412131548328,
rolling5_learned_order_extension_2020-12-31_20260912,rolling5,learned_order_extension,2020-12-31,20260912,1212,4,0.6414093411638585,3.329381041694557e-13,0.01078379713269841,
rolling5_learned_order_offset_2020-12-31_20260912,rolling5,learned_order_offset,2020-12-31,20260912,1212,2,0.6414095276483853,2.529088719590948e-11,0.2080688661817211,0.6395833256553075
rolling5_learned_market_2021-03-31_20260910,rolling5,learned_market,2021-03-31,20260910,1211,4,0.649810978992366,3.885780586188048e-16,0.010046470066162634,
rolling5_learned_vol_interaction_2021-03-31_20260910,rolling5,learned_vol_interaction,2021-03-31,20260910,1211,4,0.6497859959722406,3.922643460052555e-16,0.01004652967606965,
rolling5_learned_order_extension_2021-03-31_20260910,rolling5,learned_order_extension,2021-03-31,20260910,1211,4,0.6470393742980394,2.6703899508317974e-15,0.01004618186963346,
rolling5_learned_order_offset_2021-03-31_20260910,rolling5,learned_order_offset,2021-03-31,20260910,1211,3,0.6470441459287599,1.7564075194265172e-17,0.22877632801652278,0.6455595497417246
rolling5_learned_market_2021-03-31_20260911,rolling5,learned_market,2021-03-31,20260911,1211,4,0.6278213600744782,2.287473595957712e-13,0.010083871086899211,
rolling5_learned_vol_interaction_2021-03-31_20260911,rolling5,learned_vol_interaction,2021-03-31,20260911,1211,4,0.6270525806705947,3.838062680172616e-13,0.010083481813846254,
rolling5_learned_order_extension_2021-03-31_20260911,rolling5,learned_order_extension,2021-03-31,20260911,1211,4,0.6195212004031375,3.334222503127704e-10,0.010082060579045387,
rolling5_learned_order_offset_2021-03-31_20260911,rolling5,learned_order_offset,2021-03-31,20260911,1211,3,0.6197090999434822,4.010246995589384e-15,0.18897447254553637,0.6159483276623184
rolling5_learned_market_2021-03-31_20260912,rolling5,learned_market,2021-03-31,20260912,1211,4,0.6382431225554893,5.111603414847954e-13,0.010066517219759935,
rolling5_learned_vol_interaction_2021-03-31_20260912,rolling5,learned_vol_interaction,2021-03-31,20260912,1211,4,0.6379416782454664,4.114497371282555e-13,0.010066517562240314,
rolling5_learned_order_extension_2021-03-31_20260912,rolling5,learned_order_extension,2021-03-31,20260912,1211,4,0.633891865720727,5.185990959583053e-12,0.01006523479523257,
rolling5_learned_order_offset_2021-03-31_20260912,rolling5,learned_order_offset,2021-03-31,20260912,1211,3,0.6339123987825807,3.283224386807504e-14,0.1993081750978965,0.631567574386455
rolling5_learned_market_2021-06-30_20260910,rolling5,learned_market,2021-06-30,20260910,1210,4,0.6466991781673185,2.4724580022228437e-14,0.010203240052473998,
rolling5_learned_vol_interaction_2021-06-30_20260910,rolling5,learned_vol_interaction,2021-06-30,20260910,1210,4,0.6448785708941639,3.212165776422804e-14,0.010203498844173764,
rolling5_learned_order_extension_2021-06-30_20260910,rolling5,learned_order_extension,2021-06-30,20260910,1210,4,0.6420161362754486,6.6775350440057e-12,0.010202016330554717,
rolling5_learned_order_offset_2021-06-30_20260910,rolling5,learned_order_offset,2021-06-30,20260910,1210,3,0.6420564038473259,1.287598500043785e-15,0.2115716472079416,0.6388146669656415
rolling5_learned_market_2021-06-30_20260911,rolling5,learned_market,2021-06-30,20260911,1210,4,0.6245469277544445,1.3904133920605855e-13,0.010079249071320092,
rolling5_learned_vol_interaction_2021-06-30_20260911,rolling5,learned_vol_interaction,2021-06-30,20260911,1210,4,0.6230953327318499,1.4062132534797822e-12,0.010078411196353306,
rolling5_learned_order_extension_2021-06-30_20260911,rolling5,learned_order_extension,2021-06-30,20260911,1210,4,0.6205448253889997,3.1171214264283376e-11,0.010077498641415435,
rolling5_learned_order_offset_2021-06-30_20260911,rolling5,learned_order_offset,2021-06-30,20260911,1210,3,0.6205721090051248,3.881443777498106e-16,0.19310748883355167,0.616533452936411
rolling5_learned_market_2021-06-30_20260912,rolling5,learned_market,2021-06-30,20260912,1210,4,0.6595705281335654,2.3852447794681098e-17,0.010581611485883144,
rolling5_learned_vol_interaction_2021-06-30_20260912,rolling5,learned_vol_interaction,2021-06-30,20260912,1210,4,0.6595127394681706,3.7947076036992655e-17,0.0105817112106837,
rolling5_learned_order_extension_2021-06-30_20260912,rolling5,learned_order_extension,2021-06-30,20260912,1210,4,0.6566186830407597,1.6603472069443015e-15,0.010579447500369321,
rolling5_learned_order_offset_2021-06-30_20260912,rolling5,learned_order_offset,2021-06-30,20260912,1210,3,0.6566271009400081,1.3552527156068805e-15,0.22481472872159475,0.6521326132815969
rolling5_learned_market_2021-09-30_20260910,rolling5,learned_market,2021-09-30,20260910,1210,4,0.6436785692332364,1.4985842428094642e-15,0.010279772353990609,
rolling5_learned_vol_interaction_2021-09-30_20260910,rolling5,learned_vol_interaction,2021-09-30,20260910,1210,4,0.6411298685941382,1.2026837858947204e-14,0.01027900375575489,
rolling5_learned_order_extension_2021-09-30_20260910,rolling5,learned_order_extension,2021-09-30,20260910,1210,4,0.6402937537793165,3.5691176576702066e-14,0.010279029135338513,
rolling5_learned_order_offset_2021-09-30_20260910,rolling5,learned_order_offset,2021-09-30,20260910,1210,3,0.6402974754715784,9.86623976961809e-18,0.21381352376063742,0.6353191178159145
rolling5_learned_market_2021-09-30_20260911,rolling5,learned_market,2021-09-30,20260911,1210,4,0.6388224611231561,3.2133336790030054e-12,0.010072257382257163,
rolling5_learned_vol_interaction_2021-09-30_20260911,rolling5,learned_vol_interaction,2021-09-30,20260911,1210,4,0.6382732283474964,2.384624615825448e-12,0.010072339872146271,
rolling5_learned_order_extension_2021-09-30_20260911,rolling5,learned_order_extension,2021-09-30,20260911,1210,4,0.6367732005491855,1.1417516888531654e-10,0.010071891188871722,
rolling5_learned_order_offset_2021-09-30_20260911,rolling5,learned_order_offset,2021-09-30,20260911,1210,3,0.636807505716467,8.673617379884035e-19,0.2018718532194808,0.6335048404451034
rolling5_learned_market_2021-09-30_20260912,rolling5,learned_market,2021-09-30,20260912,1210,4,0.6332784243230946,5.168608596672897e-15,0.010802845690192932,
rolling5_learned_vol_interaction_2021-09-30_20260912,rolling5,learned_vol_interaction,2021-09-30,20260912,1210,4,0.6311481649986039,1.1529492638384653e-13,0.010798479386038739,
rolling5_learned_order_extension_2021-09-30_20260912,rolling5,learned_order_extension,2021-09-30,20260912,1210,4,0.6306821258255361,9.983629591439613e-13,0.010795817169854944,
rolling5_learned_order_offset_2021-09-30_20260912,rolling5,learned_order_offset,2021-09-30,20260912,1210,2,0.6306851683668436,2.4542640055663645e-13,0.19752275559777424,0.6250094541592445
rolling5_learned_market_2021-12-31_20260910,rolling5,learned_market,2021-12-31,20260910,1211,3,0.660466813481454,5.770655674228881e-10,0.010034089945578119,
rolling5_learned_vol_interaction_2021-12-31_20260910,rolling5,learned_vol_interaction,2021-12-31,20260910,1211,3,0.6602240439773294,4.744243258067871e-10,0.010034083590488463,
rolling5_learned_order_extension_2021-12-31_20260910,rolling5,learned_order_extension,2021-12-31,20260910,1211,3,0.6597753437881226,7.292260224215762e-10,0.0100341437630842,
rolling5_learned_order_offset_2021-12-31_20260910,rolling5,learned_order_offset,2021-12-31,20260910,1211,3,0.6597755346030348,1.734723475976807e-18,0.2337725688354059,0.6579541492202873
rolling5_learned_market_2021-12-31_20260911,rolling5,learned_market,2021-12-31,20260911,1211,4,0.6504678298854176,3.080760473117561e-16,0.01006299892324655,
