window,history,method,changed,wrong_to_correct,correct_to_wrong
extension_2021_2023,rolling5_annual20,learned_market,47,24,23
extension_2021_2023,rolling5_annual20,learned_vol_interaction,46,26,20
extension_2021_2023,rolling5_annual20,learned_order_extension,47,25,22
extension_2021_2023,rolling5_annual20,learned_order_offset,47,25,22
extension_2021_2023,rolling5_quarterly20,learned_market,54,30,24
extension_2021_2023,rolling5_quarterly20,learned_vol_interaction,55,32,23
extension_2021_2023,rolling5_quarterly20,learned_order_extension,53,31,22
extension_2021_2023,rolling5_quarterly20,learned_order_offset,52,31,21
extension_2021_2023,rolling3_annual20,learned_market,65,34,31
extension_2021_2023,rolling3_annual20,learned_vol_interaction,66,34,32
extension_2021_2023,rolling3_annual20,learned_order_extension,64,32,32
extension_2021_2023,rolling3_annual20,learned_order_offset,64,32,32
extension_2021_2023,rolling3_quarterly20,learned_market,56,26,30
extension_2021_2023,rolling3_quarterly20,learned_vol_interaction,59,27,32
extension_2021_2023,rolling3_quarterly20,learned_order_extension,62,28,34
extension_2021_2023,rolling3_quarterly20,learned_order_offset,62,28,34
recent_2024_2026,rolling5_annual20,learned_market,56,32,24
recent_2024_2026,rolling5_annual20,learned_vol_interaction,56,32,24
recent_2024_2026,rolling5_annual20,learned_order_extension,54,33,21
recent_2024_2026,rolling5_annual20,learned_order_offset,54,33,21
recent_2024_2026,rolling5_quarterly20,learned_market,46,24,22
recent_2024_2026,rolling5_quarterly20,learned_vol_interaction,47,25,22
recent_2024_2026,rolling5_quarterly20,learned_order_extension,47,25,22
recent_2024_2026,rolling5_quarterly20,learned_order_offset,48,26,22
recent_2024_2026,rolling3_annual20,learned_market,63,29,34
recent_2024_2026,rolling3_annual20,learned_vol_interaction,65,31,34
recent_2024_2026,rolling3_annual20,learned_order_extension,67,31,36
recent_2024_2026,rolling3_annual20,learned_order_offset,68,32,36
recent_2024_2026,rolling3_quarterly20,learned_market,60,27,33
recent_2024_2026,rolling3_quarterly20,learned_vol_interaction,62,29,33
recent_2024_2026,rolling3_quarterly20,learned_order_extension,59,28,31
recent_2024_2026,rolling3_quarterly20,learned_order_offset,60,29,31
