window,history,method,n,seed_accuracy_min,seed_accuracy_max,mean_seed_accuracy,ensemble_accuracy,ensemble_below_all_seeds,disagreeing_weeks,opposes_majority_weeks,opposes_majority_wrong,mean_seed_brier,ensemble_brier,variance_reduction
extension_2021_2023,full,learned_market,147,0.46258503401360546,0.46938775510204084,0.4671201814058957,0.4557823129251701,True,99,26,13,0.272648873846873,0.2659381572213168,0.006710716625556178
extension_2021_2023,full,learned_order_extension,147,0.4557823129251701,0.46258503401360546,0.4603174603174603,0.4421768707482993,True,99,29,16,0.27237694698099446,0.26607324363308177,0.006303703347912652
extension_2021_2023,full,learned_order_offset,147,0.4557823129251701,0.46258503401360546,0.4580498866213152,0.4421768707482993,True,98,29,16,0.2723124019493007,0.2660280352208219,0.006284366728478788
extension_2021_2023,full,learned_vol_interaction,147,0.4489795918367347,0.46258503401360546,0.4580498866213152,0.4421768707482993,True,99,26,13,0.2721987092790515,0.26578299644786296,0.006415712831188509
extension_2021_2023,rolling3_annual20,learned_market,147,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.47619047619047616,True,77,16,11,0.29749774987933864,0.28764527599343054,0.00985247388590811
extension_2021_2023,rolling3_annual20,learned_order_extension,147,0.47619047619047616,0.5034013605442177,0.4920634920634921,0.4421768707482993,True,79,19,13,0.30927113523937244,0.296165446488726,0.013105688750646431
extension_2021_2023,rolling3_annual20,learned_order_offset,147,0.47619047619047616,0.5102040816326531,0.48979591836734687,0.4421768707482993,True,79,20,13,0.30882114585398995,0.29589483571228503,0.012926310141704896
extension_2021_2023,rolling3_annual20,learned_vol_interaction,147,0.4897959183673469,0.5102040816326531,0.4988662131519274,0.4557823129251701,True,81,16,11,0.3020321212144148,0.2915853782509236,0.010446742963491162
extension_2021_2023,rolling3_matched,learned_market,147,0.4217687074829932,0.48299319727891155,0.4603174603174603,0.43537414965986393,False,77,12,6,0.3850954111843999,0.3488226415979213,0.03627276958647861
extension_2021_2023,rolling3_matched,learned_order_extension,147,0.42857142857142855,0.48299319727891155,0.4603174603174603,0.42857142857142855,False,79,9,5,0.38912020939034875,0.35095326833440527,0.03816694105594347
extension_2021_2023,rolling3_matched,learned_order_offset,147,0.42857142857142855,0.48299319727891155,0.4603174603174603,0.42857142857142855,False,79,9,5,0.38829830858326875,0.35026905260541374,0.03802925597785501
extension_2021_2023,rolling3_matched,learned_vol_interaction,147,0.43537414965986393,0.47619047619047616,0.4580498866213152,0.4217687074829932,True,78,8,5,0.3892797446336689,0.35164843434134113,0.0376313102923277
extension_2021_2023,rolling3_quarterly20,learned_market,147,0.4013605442176871,0.47619047619047616,0.43537414965986393,0.42857142857142855,False,83,14,9,0.2928119898174016,0.28306894271178046,0.009743047105621083
extension_2021_2023,rolling3_quarterly20,learned_order_extension,147,0.3877551020408163,0.47619047619047616,0.43990929705215415,0.4013605442176871,False,87,18,13,0.30067192901625445,0.2873159587726729,0.013355970243581481
extension_2021_2023,rolling3_quarterly20,learned_order_offset,147,0.3877551020408163,0.46938775510204084,0.43990929705215426,0.4013605442176871,False,87,18,13,0.3002180706703694,0.287021777978656,0.013196292691713355
extension_2021_2023,rolling3_quarterly20,learned_vol_interaction,147,0.40816326530612246,0.46258503401360546,0.43990929705215426,0.40816326530612246,False,85,21,14,0.29512079946156733,0.28376457817089407,0.011356221290673289
extension_2021_2023,rolling5_annual20,learned_market,147,0.43537414965986393,0.4557823129251701,0.4444444444444444,0.46258503401360546,False,69,11,5,0.2846331574465301,0.27734435271068364,0.007288804735846505
extension_2021_2023,rolling5_annual20,learned_order_extension,147,0.43537414965986393,0.4557823129251701,0.44671201814058953,0.46258503401360546,False,73,12,4,0.2838305955460388,0.27619463046064996,0.007635965085388809
extension_2021_2023,rolling5_annual20,learned_order_offset,147,0.43537414965986393,0.4557823129251701,0.44671201814058953,0.46258503401360546,False,73,12,4,0.28367132968716136,0.27610798228259453,0.007563347404566801
extension_2021_2023,rolling5_annual20,learned_vol_interaction,147,0.43537414965986393,0.4557823129251701,0.44671201814058953,0.48299319727891155,False,70,14,3,0.2856430587028973,0.27796696614179484,0.007676092561102507
extension_2021_2023,rolling5_matched,learned_market,147,0.3673469387755102,0.5034013605442177,0.4489795918367347,0.4421768707482993,False,88,13,5,0.3367998710802572,0.3098365239603293,0.026963347119927872
extension_2021_2023,rolling5_matched,learned_order_extension,147,0.3877551020408163,0.5034013605442177,0.46485260770975056,0.46258503401360546,False,89,18,7,0.3410804942129146,0.31137523681145174,0.029705257401462723
extension_2021_2023,rolling5_matched,learned_order_offset,147,0.38095238095238093,0.5034013605442177,0.46258503401360546,0.46938775510204084,False,89,16,5,0.3398351506630093,0.3104306651968132,0.029404485466196017
extension_2021_2023,rolling5_matched,learned_vol_interaction,147,0.3741496598639456,0.5034013605442177,0.4512471655328798,0.4557823129251701,False,88,14,5,0.3383362687084829,0.310966205964977,0.02737006274350584
extension_2021_2023,rolling5_quarterly20,learned_market,147,0.47619047619047616,0.5510204081632653,0.5011337868480725,0.4965986394557823,False,83,15,8,0.2711925805491702,0.26436401833268286,0.006828562216487344
extension_2021_2023,rolling5_quarterly20,learned_order_extension,147,0.4897959183673469,0.5034013605442177,0.4988662131519274,0.5034013605442177,False,87,9,4,0.2738570320875823,0.26564328655241093,0.008213745535171301
extension_2021_2023,rolling5_quarterly20,learned_order_offset,147,0.4897959183673469,0.4965986394557823,0.49433106575963714,0.5102040816326531,False,85,10,4,0.2734995647526877,0.26551762354746283,0.007981941205224882
extension_2021_2023,rolling5_quarterly20,learned_vol_interaction,147,0.46938775510204084,0.5170068027210885,0.4852607709750567,0.5034013605442177,False,84,8,4,0.2714541169641355,0.26460933628179345,0.006844780682342082
