date,open,high,low,close,volume,valid_ohlc
2014-10-17,6118.98,6140.12,5943.59,6058.67,97125862.0,True
2014-10-20,6068.78,6154.69,6068.52,6154.52,79024982.0,True
2014-10-21,6153.02,6176.07,6097.37,6103.01,79548408.0,True
2014-10-22,6102.46,6131.89,6024.4,6027.51,73558799.0,True
2014-10-23,6009.84,6032.61,5899.89,5930.48,74296958.0,True
2014-10-24,5930.57,5980.34,5917.56,5941.93,59431259.0,True
2014-10-27,5927.15,6007.16,5899.77,6006.84,61642426.0,True
2014-10-28,6021.65,6163.67,6021.64,6163.67,84583163.0,True
2014-10-29,6179.46,6269.96,6179.16,6246.7,111427173.0,True
2014-10-30,6248.47,6284.7,6222.81,6241.59,103958948.0,True
2014-10-31,6242.84,6261.71,6158.8,6208.61,92561304.0,True
2014-11-03,6217.1,6276.23,6216.88,6275.99,91731125.0,True
2014-11-04,6275.0,6280.83,6207.4,6231.82,89067834.0,True
2014-11-05,6222.94,6241.07,6188.34,6227.25,78088754.0,True
2014-11-06,6223.08,6289.83,6201.27,6289.19,76807817.0,True
2014-11-07,6297.35,6319.08,6204.81,6228.17,91712220.0,True
2014-11-10,6236.19,6247.72,6196.99,6246.61,77106878.0,True
2014-11-11,6252.39,6253.22,5973.74,6023.0,101830341.0,True
2014-11-12,6005.86,6120.25,5992.9,6120.06,66379154.0,True
2014-11-13,6116.98,6117.1,5987.0,6023.78,83136020.0,True
2014-11-14,6002.05,6024.37,5965.81,6009.45,61066376.0,True
2014-11-17,6016.54,6118.01,5992.8,6100.83,64869968.0,True
2014-11-18,6095.87,6139.76,6094.6,6139.52,63801908.0,True
2014-11-19,6134.37,6206.81,6134.05,6193.56,71495027.0,True
2014-11-20,6174.89,6189.44,6158.34,6185.92,65048454.0,True
2014-11-21,6183.47,6240.78,6183.33,6240.77,71436627.0,True
2014-11-24,6281.56,6304.45,6253.74,6293.02,96363989.0,True
2014-11-25,6295.68,6392.8,6290.37,6392.44,101629030.0,True
2014-11-26,6400.59,6435.33,6381.89,6435.14,108408198.0,True
2014-11-27,6450.51,6472.79,6420.73,6472.59,113636694.0,True
2014-11-28,6476.57,6499.2,6419.2,6478.11,118216945.0,True
2014-12-01,6478.0,6478.0,6360.93,6392.46,106276380.0,True
2014-12-02,6385.95,6466.69,6382.65,6457.56,97590434.0,True
2014-12-03,6465.46,6514.31,6393.73,6513.96,131922968.0,True
2014-12-04,6517.68,6608.23,6515.23,6605.32,135021971.0,True
2014-12-05,6612.19,6612.19,6294.19,6462.09,149610293.0,True
2014-12-08,6445.51,6494.32,6390.9,6457.51,129043526.0,True
2014-12-09,6435.57,6435.67,6153.78,6161.37,158101979.0,True
2014-12-10,6137.27,6367.07,6111.76,6366.81,102951530.0,True
2014-12-11,6361.34,6463.72,6335.85,6463.32,111619808.0,True
2014-12-12,6469.27,6549.42,6455.97,6545.19,104460717.0,True
2014-12-15,6528.87,6664.25,6510.36,6658.15,114471533.0,True
2014-12-16,6663.47,6678.41,6590.84,6635.25,106863793.0,True
2014-12-17,6613.97,6613.97,6494.31,6551.12,110482238.0,True
2014-12-18,6538.88,6581.06,6529.34,6540.88,88667391.0,True
2014-12-19,6524.55,6524.76,6346.3,6438.04,100389366.0,True
2014-12-22,6406.51,6406.55,6097.91,6120.58,116794188.0,True
2014-12-23,6087.27,6153.65,6012.57,6023.37,74189417.0,True
2014-12-24,6045.09,6155.29,6045.09,6154.88,68493930.0,True
2014-12-25,6166.47,6222.65,6159.04,6222.51,68349427.0,True
2014-12-26,6218.91,6233.96,6196.22,6233.94,78209171.0,True
2014-12-29,6222.94,6222.94,6068.54,6098.98,91938614.0,True
2014-12-30,6083.96,6088.87,5967.82,5982.64,79477247.0,True
2014-12-31,5981.12,6027.52,5945.72,6027.52,70597816.0,True
2015-01-05,6025.75,6052.44,5948.27,6049.79,94805191.0,True
2015-01-06,6021.45,6172.64,5986.4,6172.39,93992033.0,True
2015-01-07,6161.48,6171.15,6118.14,6166.77,80620124.0,True
2015-01-08,6161.55,6211.46,6126.97,6164.11,81315646.0,True
2015-01-09,6148.11,6214.29,6128.01,6128.01,73267839.0,True
2015-01-12,6098.81,6102.44,6033.71,6062.28,66088789.0,True
2015-01-13,6059.38,6167.35,6058.6,6167.12,60714313.0,True
2015-01-14,6167.75,6170.91,6114.24,6139.29,58690608.0,True
2015-01-15,6136.56,6177.05,6136.1,6168.66,54697305.0,True
2015-01-16,6172.96,6252.14,6169.05,6252.08,68559022.0,True
2015-01-19,6133.54,6296.61,6033.88,6109.29,93416976.0,True
2015-01-20,6135.61,6336.71,6135.61,6336.63,86835549.0,True
2015-01-21,6358.02,6465.83,6357.68,6465.73,103809604.0,True
2015-01-22,6472.17,6569.9,6466.65,6568.64,103663936.0,True
2015-01-23,6576.98,6577.38,6481.21,6502.07,104475111.0,True
2015-01-26,6508.73,6642.72,6508.09,6642.61,98178613.0,True
2015-01-27,6652.21,6694.82,6582.44,6693.81,109774966.0,True
2015-01-28,6680.08,6725.67,6649.19,6666.26,93994268.0,True
2015-01-29,6620.23,6661.73,6594.44,6625.0,76681462.0,True
2015-01-30,6629.28,6655.6,6546.14,6546.6,82176298.0,True
2015-02-02,6485.15,6567.4,6449.57,6535.9,68269625.0,True
2015-02-03,6547.75,6661.89,6547.62,6654.55,76220862.0,True
2015-02-04,6665.88,6692.31,6645.19,6653.34,79437504.0,True
2015-02-05,6685.76,6729.51,6649.22,6654.08,90406834.0,True
2015-02-06,6637.54,6658.95,6503.59,6526.95,79270860.0,True
2015-02-09,6508.38,6541.72,6458.18,6474.82,57602370.0,True
2015-02-10,6468.52,6556.07,6458.43,6555.82,51108336.0,True
2015-02-11,6563.87,6645.98,6563.73,6645.51,60970632.0,True
2015-02-12,6652.56,6707.65,6652.47,6703.81,67541873.0,True
2015-02-13,6732.3,6824.59,6731.72,6815.85,87051568.0,True
2015-02-16,6831.26,6965.46,6831.08,6965.3,87515654.0,True
2015-02-17,6987.39,7020.2,6948.22,7020.05,82909248.0,True
2015-02-25,7037.96,7060.07,6984.17,7004.67,84447188.0,True
2015-02-26,7001.18,7045.53,6967.94,7045.27,90364869.0,True
2015-02-27,7045.79,7142.26,7042.14,7141.89,100041339.0,True
2015-03-02,7187.53,7317.87,7172.75,7317.68,130745604.0,True
2015-03-03,7306.44,7386.82,7272.46,7282.11,141157279.0,True
2015-03-04,7277.54,7411.27,7277.54,7411.03,120372109.0,True
2015-03-05,7417.53,7451.24,7375.11,7450.91,125691364.0,True
2015-03-06,7454.92,7467.43,7330.45,7338.4,114322835.0,True
2015-03-09,7314.93,7450.82,7284.73,7450.82,100410773.0,True
2015-03-10,7460.61,7577.37,7458.68,7566.48,109149118.0,True
2015-03-11,7573.26,7573.75,7538.49,7566.31,109467191.0,True
2015-03-12,7566.49,7592.53,7455.08,7514.44,110024337.0,True
2015-03-13,7530.21,7649.76,7530.21,7649.35,97658951.0,True
2015-03-16,7707.4,7903.62,7706.95,7903.36,144325531.0,True
2015-03-17,7946.13,8031.47,7896.75,7993.24,171200489.0,True
2015-03-18,7992.92,8150.96,7968.12,8150.95,164707604.0,True
2015-03-19,8149.48,8217.38,8103.79,8216.62,168089569.0,True
2015-03-20,8216.3,8336.83,8213.72,8318.83,153792550.0,True
2015-03-23,8360.92,8560.76,8360.92,8560.44,178375850.0,True
2015-03-24,8593.78,8665.25,8319.36,8655.38,211379800.0,True
2015-03-25,8662.77,8834.25,8604.24,8784.91,182163305.0,True
2015-03-26,8730.36,8786.74,8523.36,8611.86,172182140.0,True
2015-03-27,8586.403,8715.285,8715.285,8710.291,131913472.0,False
2015-03-30,8721.21,8758.75,8663.83,8719.22,156089903.0,True
2015-03-31,8734.95,8859.42,8676.63,8780.74,156648225.0,True
2015-04-01,8785.12,9015.01,8782.13,9008.2,149793978.0,True
2015-04-02,9061.5,9238.35,9061.5,9238.05,178430172.0,True
2015-04-03,9204.84,9422.84,9159.57,9419.2,176106329.0,True
2015-04-07,9457.74,9600.83,9457.65,9600.72,180856036.0,True
2015-04-08,9625.21,9628.23,9264.54,9455.59,187491504.0,True
2015-04-09,9446.68,9446.68,8988.71,9369.66,174096974.0,True
2015-04-10,9325.42,9621.5,9276.95,9600.4,147301783.0,True
2015-04-13,9652.53,9838.88,9616.39,9813.6,171137997.0,True
2015-04-14,9830.53,9926.39,9741.7,9830.06,175412073.0,True
2015-04-15,9800.64,9800.64,9434.62,9441.19,157667548.0,True
2015-04-16,9319.96,9654.16,9209.41,9541.77,135211844.0,True
2015-04-17,9612.73,9663.93,9526.09,9567.7,161823147.0,True
2015-04-20,9541.26,9591.21,9317.3,9353.61,175439660.0,True
2015-04-21,9364.31,9716.61,9362.87,9716.35,151818225.0,True
2015-04-22,9798.16,9995.6,9798.16,9995.26,180965492.0,True
2015-04-23,10035.43,10157.04,9977.37,10105.27,188557277.0,True
2015-04-24,9990.33,10153.96,9909.48,10123.91,174194274.0,True
2015-04-27,10202.03,10297.1,10093.25,10174.9,172488850.0,True
2015-04-28,10184.26,10184.26,9744.38,9847.89,169266059.0,True
2015-04-29,9817.45,10111.91,9792.64,10107.4,134623435.0,True
2015-04-30,10156.36,10298.49,10155.19,10180.49,140745122.0,True
2015-05-04,10206.21,10281.71,10085.33,10270.13,132156751.0,True
2015-05-05,10273.57,10286.56,9950.57,10007.27,148578165.0,True
2015-05-06,10032.05,10264.64,9913.61,9973.99,133198975.0,True
2015-05-07,9934.93,9989.86,9789.18,9806.51,113428136.0,True
2015-05-08,9913.85,10274.58,9913.85,10274.38,127807094.0,True
2015-05-11,10424.97,10772.06,10386.63,10771.62,160409623.0,True
2015-05-12,10871.48,11051.87,10782.2,11051.43,178092914.0,True
2015-05-13,10969.33,11259.27,10834.98,11137.3,176980538.0,True
2015-05-14,11158.42,11272.84,11093.57,11211.1,169815190.0,True
2015-05-15,11165.97,11316.89,11000.63,11217.93,160382705.0,True
2015-05-18,11234.72,11557.17,11222.2,11542.28,152855850.0,True
2015-05-19,11624.3,11837.65,11525.34,11831.36,162963109.0,True
2015-05-20,11912.38,12321.41,11909.24,12132.37,198115217.0,True
2015-05-21,12214.48,12586.64,12213.73,12586.05,191956135.0,True
2015-05-22,12782.05,12848.23,12386.94,12687.29,228746994.0,True
2015-05-25,12513.18,12894.44,12408.1,12877.87,222812989.0,True
2015-05-26,12962.67,13402.18,12960.29,13401.31,228034571.0,True
2015-05-27,13484.77,13642.14,13174.12,13582.55,230412223.0,True
2015-05-28,13610.78,13806.21,12816.46,12818.99,256655917.0,True
2015-05-29,12775.09,13250.95,12237.6,13027.21,210025558.0,True
2015-06-01,13146.12,13691.6,13146.07,13691.17,188014377.0,True
2015-06-02,13805.72,14277.33,13763.64,14276.32,212235506.0,True
2015-06-03,14381.02,14461.29,13928.16,14356.6,216560312.0,True
2015-06-04,14366.78,14424.36,13459.88,14308.65,203077082.0,True
2015-06-05,14513.11,14656.25,14174.18,14465.75,228745894.0,True
2015-06-08,14445.11,14445.11,13967.37,14099.73,213782197.0,True
2015-06-09,14018.54,14217.84,13899.36,14106.23,169875376.0,True
2015-06-10,14047.11,14596.06,13918.59,14461.81,179123587.0,True
2015-06-11,14486.94,14769.59,14478.84,14768.88,185505153.0,True
2015-06-12,14844.62,15086.44,14825.28,15006.34,205350949.0,True
2015-06-15,15050.58,15076.49,14675.21,14707.78,222763962.0,True
2015-06-16,14514.85,14514.85,13981.68,14102.22,192589672.0,True
2015-06-17,14061.98,14446.51,13603.85,14407.31,180359316.0,True
2015-06-18,14392.32,14499.87,13894.26,13934.21,169696188.0,True
2015-06-19,13564.22,13688.94,12999.07,13024.72,150201723.0,True
2015-06-23,12955.75,13131.65,12168.35,13047.02,156528854.0,True
2015-06-24,13176.06,13382.76,12935.57,13313.79,165156313.0,True
2015-06-25,13357.21,13361.77,12585.36,12760.48,172863828.0,True
2015-06-26,12309.8,12311.04,11710.78,11730.75,147403220.0,True
2015-06-29,11923.42,11933.72,10787.16,10906.04,182273836.0,True
2015-06-30,10543.23,11389.19,10110.66,11381.47,216880947.0,True
2015-07-01,11264.87,11641.03,10685.37,10734.01,190361495.0,True
2015-07-02,10626.73,10696.42,9959.56,10002.36,169217315.0,True
2015-07-03,9545.27,10055.57,9282.59,9358.73,164507669.0,True
2015-07-06,9943.96,9943.96,8755.04,8858.91,202661177.0,True
2015-07-07,8517.29,8528.5,8352.94,8356.13,78383269.0,True
2015-07-08,8057.11,8128.54,8056.46,8114.6,78507679.0,True
2015-07-09,7951.43,8349.73,7951.43,8348.88,134135907.0,True
2015-07-10,8488.35,8621.39,8478.26,8620.27,82269987.0,True
2015-07-13,8930.79,9034.35,8879.57,9032.56,132737568.0,True
2015-07-14,9311.51,9501.08,9236.84,9338.17,186540095.0,True
2015-07-15,9424.22,9424.22,8918.93,8942.91,214098523.0,True
2015-07-16,8615.93,9241.73,8470.13,9041.23,202674478.0,True
2015-07-17,9087.16,9588.17,9078.86,9541.26,187982797.0,True
2015-07-20,9657.62,9940.92,9579.16,9839.92,230396091.0,True
2015-07-21,9762.6,10139.15,9652.93,10062.89,208161377.0,True
2015-07-22,10082.96,10270.11,9923.16,10228.86,220861144.0,True
2015-07-23,10251.56,10585.68,10197.66,10553.22,235207444.0,True
2015-07-24,10579.16,10782.59,10351.93,10449.75,258806921.0,True
2015-07-27,10235.63,10556.48,9716.97,9719.55,227179702.0,True
2015-07-28,9125.96,9769.62,9036.62,9284.54,219787329.0,True
2015-07-29,9435.39,9727.53,9019.91,9727.23,186331068.0,True
2015-07-30,9679.1,9910.54,9422.04,9460.73,201168533.0,True
2015-07-31,9283.38,9512.49,9081.72,9223.64,149505420.0,True
2015-08-03,9076.07,9109.28,8656.51,8723.59,146175146.0,True
2015-08-04,8720.24,9265.35,8720.24,9265.22,166394678.0,True
2015-08-05,9285.29,9465.78,9131.8,9240.88,188591006.0,True
2015-08-06,9025.67,9331.65,8996.41,9229.35,143823184.0,True
2015-08-07,9321.99,9585.51,9319.25,9585.14,185532771.0,True
2015-08-10,9704.08,10133.76,9680.44,10077.94,224007088.0,True
2015-08-11,10093.88,10300.82,10050.24,10153.71,242343252.0,True
2015-08-12,10053.47,10227.34,10003.36,10005.93,202560432.0,True
2015-08-13,9946.41,10309.77,9893.16,10308.79,204653227.0,True
2015-08-14,10400.5,10505.92,10295.33,10377.98,234011253.0,True
2015-08-17,10339.26,10563.51,10267.23,10563.13,223077746.0,True
2015-08-18,10582.23,10603.36,9781.75,9806.7,257015167.0,True
2015-08-19,9442.91,10118.27,9224.17,10057.84,229399080.0,True
2015-08-20,9947.82,10149.46,9734.62,9739.92,198712421.0,True
2015-08-21,9531.92,9661.6,9159.43,9208.15,168873775.0,True
2015-08-24,8782.49,8833.71,8505.74,8506.72,109304976.0,True
2015-08-25,7889.78,8073.07,7878.48,7882.11,112860368.0,True
2015-08-26,7836.28,8103.1,7457.89,7543.78,201157358.0,True
2015-08-27,7666.5,7794.85,7370.21,7793.54,165206427.0,True
2015-08-28,7912.79,8271.6,7861.96,8270.96,188872573.0,True
2015-08-31,8222.53,8222.53,7950.1,7950.46,161855872.0,True
2015-09-01,7848.66,7848.66,7433.89,7441.34,135520184.0,True
2015-09-02,7072.79,7619.51,7057.55,7129.97,142113580.0,True
2015-09-07,7243.44,7465.77,7219.47,7291.47,130831510.0,True
2015-09-08,7247.57,7660.61,7204.36,7651.5,127749654.0,True
2015-09-09,7716.55,7980.59,7697.81,7956.73,189523444.0,True
2015-09-10,7831.5,7999.54,7798.75,7843.0,146584420.0,True
2015-09-11,7826.74,7975.51,7808.48,7952.14,129061754.0,True
2015-09-14,7997.34,8022.06,7391.9,7412.3,157164423.0,True
2015-09-15,7183.33,7352.0,7008.99,7034.9,128426049.0,True
2015-09-16,7062.84,7517.62,7049.42,7500.61,145459062.0,True
2015-09-17,7516.36,7771.46,7428.57,7428.64,179202581.0,True
2015-09-18,7484.28,7599.36,7386.12,7556.2,127467527.0,True
2015-09-21,7453.17,7850.81,7430.94,7847.88,146572488.0,True
2015-09-22,7868.64,7974.88,7765.78,7880.84,168127746.0,True
2015-09-23,7734.28,7924.52,7716.13,7824.07,146837149.0,True
2015-09-24,7856.02,7951.79,7814.34,7928.83,143692058.0,True
2015-09-25,7877.92,7934.52,7585.15,7640.17,146334824.0,True
2015-09-28,7643.16,7841.22,7536.82,7839.62,108647169.0,True
2015-09-29,7702.65,7824.23,7658.2,7720.68,111153312.0,True
2015-09-30,7753.35,7794.64,7642.7,7727.51,95677235.0,True
2015-10-08,7961.0,8099.15,7902.55,8056.28,140742785.0,True
2015-10-09,8045.77,8213.56,8028.61,8180.4,155003131.0,True
2015-10-12,8226.55,8590.91,8225.24,8522.63,209461900.0,True
2015-10-13,8447.74,8672.87,8420.64,8651.05,189675916.0,True
