job,method,cutoff,seed,coordinate,coefficient,solver_coefficient,penalty,block
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,0,-0.007308079894233102,-0.007308079894233102,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1,-0.10560090833825883,-0.10560090833825883,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,2,-0.0603089694376613,-0.0603089694376613,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,3,0.0628333274440621,0.0628333274440621,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,4,0.05212257180301227,0.05212257180301227,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,5,-0.005797975843371051,-0.005797975843371051,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,6,0.1719741621681149,0.1719741621681149,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,7,0.09475945127094272,0.09475945127094272,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,8,0.05274325639208045,0.05274325639208045,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,9,0.08260163732483532,0.08260163732483532,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,10,-0.06113719948388908,-0.06113719948388908,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,11,0.05282378519952702,0.05282378519952702,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,12,0.0040807506888211,0.0040807506888211,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,13,0.09528045983935943,0.09528045983935943,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,14,-0.025260298694243434,-0.025260298694243434,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,15,-0.09597241791614897,-0.09597241791614897,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,16,-0.002673722180596538,-0.002673722180596538,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,17,0.4384411651779727,0.4384411651779727,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,18,0.06590324546310815,0.06590324546310815,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,19,-0.027259715897646492,-0.027259715897646492,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,20,0.08554493696284285,0.08554493696284285,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,21,0.27768720706052563,0.27768720706052563,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,22,-0.5351004247886278,-0.5351004247886278,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,23,-0.04451476805153276,-0.04451476805153276,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,24,0.2688329365253347,0.2688329365253347,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,25,-0.2859080183837274,-0.2859080183837274,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,26,0.22439857232148458,0.22439857232148458,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,27,0.040948142467162364,0.040948142467162364,0.01,parent
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,28,0.23693773967275586,0.23693773967275586,0.01,parent
