job,method,cutoff,seed,train_n,objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std
learned_order_shrink4_2014-12-31_20260910,learned_order_shrink4,2014-12-31,20260910,1077,0.6363830728706809,0.6316539816143418,0.22067726848871952,0.649025069637883,0.6971128971059984,0.4921077065926041,0.15761529768468238
learned_order_shrink4_2014-12-31_20260911,learned_order_shrink4,2014-12-31,20260911,1077,0.6325288594851716,0.628568672619314,0.21973126443299582,0.637883008356546,0.6979200441516332,0.4921077065923801,0.1644382927010607
learned_order_shrink4_2014-12-31_20260912,learned_order_shrink4,2014-12-31,20260912,1077,0.6343304274483085,0.6297553372416147,0.220237529132091,0.6248839368616528,0.6959263219619882,0.492107706592372,0.1608505900470158
learned_order_shrink4_2015-12-31_20260910,learned_order_shrink4,2015-12-31,20260910,1190,0.6270048771578653,0.6230496899927047,0.21708994615216642,0.6445378151260505,0.7069029318463654,0.5033613445378415,0.17189729535014375
learned_order_shrink4_2015-12-31_20260911,learned_order_shrink4,2015-12-31,20260911,1190,0.6433459042774169,0.6382061147032312,0.22434918869076312,0.619327731092437,0.6775901177653676,0.5033613445378173,0.14627867949977255
learned_order_shrink4_2015-12-31_20260912,learned_order_shrink4,2015-12-31,20260912,1190,0.6374840278058512,0.6317173530050615,0.22101933414179503,0.6394957983193277,0.6947224505591666,0.5033613445378861,0.15432096116918417
learned_order_shrink4_2016-12-31_20260910,learned_order_shrink4,2016-12-31,20260910,1434,0.6386662949771591,0.6360242860779289,0.22337239403310213,0.6269177126917713,0.6830107259104767,0.5069735006968409,0.15707072195532937
learned_order_shrink4_2016-12-31_20260911,learned_order_shrink4,2016-12-31,20260911,1434,0.6527603120610818,0.6501548926188213,0.22969829244056333,0.603905160390516,0.6567027699036361,0.506973500697343,0.13422649831846678
learned_order_shrink4_2016-12-31_20260912,learned_order_shrink4,2016-12-31,20260912,1434,0.6640949538642349,0.6618128645580377,0.2345891850256451,0.6115760111576011,0.6445507588683804,0.5069735010185563,0.1141343109729842
learned_order_shrink4_2017-12-31_20260910,learned_order_shrink4,2017-12-31,20260910,1678,0.6495415322468747,0.6469343603709488,0.22836768808497918,0.6090584028605482,0.6614373225758254,0.5202622169258478,0.13855327709186965
learned_order_shrink4_2017-12-31_20260911,learned_order_shrink4,2017-12-31,20260911,1678,0.6493628809123748,0.6465791218994825,0.22794457541100308,0.6168057210965435,0.6667079322390842,0.520262216924908,0.13887411965045748
learned_order_shrink4_2017-12-31_20260912,learned_order_shrink4,2017-12-31,20260912,1678,0.640416368034663,0.6375976614324619,0.22341180631649546,0.6293206197854588,0.6865481348672743,0.5202622169237603,0.15277330029664016
learned_order_shrink4_2018-12-31_20260910,learned_order_shrink4,2018-12-31,20260910,1921,0.6303852949490282,0.6283774133600939,0.21975234013313671,0.6324830817282665,0.6967968697470334,0.511192087454258,0.16932721486907035
learned_order_shrink4_2018-12-31_20260911,learned_order_shrink4,2018-12-31,20260911,1921,0.6446933985233065,0.6431646886781461,0.22589231279132285,0.6288391462779802,0.6778704649614249,0.5111920874544454,0.14965910096041404
learned_order_shrink4_2018-12-31_20260912,learned_order_shrink4,2018-12-31,20260912,1921,0.648075593288113,0.6453432048079818,0.22694319081800612,0.629359708485164,0.675022611479474,0.5111920874544503,0.14233098200417174
learned_order_shrink4_2019-12-31_20260910,learned_order_shrink4,2019-12-31,20260910,2165,0.6507534142459037,0.6491224538449962,0.22883733273260823,0.6272517321016167,0.6656948610004412,0.5214780600461891,0.13871984214545627
learned_order_shrink4_2019-12-31_20260911,learned_order_shrink4,2019-12-31,20260911,2165,0.638812811123575,0.6370866227822489,0.22315896467678534,0.6360277136258661,0.6875493739975582,0.5214780600461227,0.15716968671848106
learned_order_shrink4_2019-12-31_20260912,learned_order_shrink4,2019-12-31,20260912,2165,0.655977854482205,0.6543905530132229,0.23127953140550178,0.6152424942263279,0.6562535267141113,0.5214780600461844,0.12911009467532797
learned_order_shrink16_2014-12-31_20260910,learned_order_shrink16,2014-12-31,20260910,1077,0.6365682957270588,0.6317659425642635,0.22067142339080514,0.6471680594243269,0.6973405539650236,0.49210770659260594,0.1572484302344143
learned_order_shrink16_2014-12-31_20260911,learned_order_shrink16,2014-12-31,20260911,1077,0.6332087687137075,0.6290027046640174,0.21985336893389143,0.6341689879294337,0.6982925735573109,0.49210770659238406,0.16330734007640557
learned_order_shrink16_2014-12-31_20260912,learned_order_shrink16,2014-12-31,20260912,1077,0.6347910851420261,0.6300619912052023,0.22033904591756592,0.627669452181987,0.695519299092822,0.49210770659236935,0.16005044518815836
learned_order_shrink16_2015-12-31_20260910,learned_order_shrink16,2015-12-31,20260910,1190,0.628534633059134,0.6240177415545012,0.2174505002933107,0.6453781512605042,0.7062560556370036,0.5033613445378283,0.16937647359384841
learned_order_shrink16_2015-12-31_20260911,learned_order_shrink16,2015-12-31,20260911,1190,0.6450132329063721,0.6392306935860115,0.22461366999308982,0.6159663865546219,0.6784658017169055,0.5033613445378152,0.14279518596368918
learned_order_shrink16_2015-12-31_20260912,learned_order_shrink16,2015-12-31,20260912,1190,0.6384071276052073,0.6323197525656918,0.2212159682830291,0.6394957983193277,0.6948806386278314,0.5033613445378338,0.1526170536426945
learned_order_shrink16_2016-12-31_20260910,learned_order_shrink16,2016-12-31,20260910,1434,0.6386773208487797,0.636029707637218,0.2233695280348107,0.6276150627615062,0.6830554739498316,0.5069735006968522,0.15704202806898526
learned_order_shrink16_2016-12-31_20260911,learned_order_shrink16,2016-12-31,20260911,1434,0.6540542297895662,0.6509701619604311,0.23006809101819783,0.6115760111576011,0.6553194718174903,0.5069735006973461,0.13138788903378368
learned_order_shrink16_2016-12-31_20260912,learned_order_shrink16,2016-12-31,20260912,1434,0.6642114451735304,0.6618796980900352,0.2346149010511421,0.6115760111576011,0.6449534912225748,0.506973500911094,0.11380176255963463
