cutoff,split,gate,n,correlation_volatility20,correlation_abs_trend60,correlation_efficiency60,correlation_relativevol
2014-12-31,training,excess_order,1077,0.132182769780102,-0.07390885484283154,-0.056228358547703375,-0.030194537443287518
2014-12-31,validation,excess_order,22,0.054402658932236475,0.5754679546772942,0.57134155848022,0.7080482647924818
2015-12-31,training,excess_order,1190,0.1302346436436931,0.023765345896553682,0.037592351289215786,0.08307245081715231
2015-12-31,validation,excess_order,48,-0.7178980481922435,-0.25420854803713,-0.24750694571598644,-0.21626496469759102
2016-12-31,training,excess_order,1434,-0.0965100254192098,0.036116985259778994,0.041655534515174314,0.0849628035957475
2016-12-31,validation,excess_order,50,-0.006543196185288785,0.38045171852106885,0.4280559836156712,0.043867208206803336
2017-12-31,training,excess_order,1678,-0.14122810120964635,0.09534573918409314,0.10490749195117699,0.08654988089039364
2017-12-31,validation,excess_order,49,-0.17666524055702795,0.1351814075430916,0.14237958124989147,-0.1541366731551539
2018-12-31,training,excess_order,1921,-0.14385936115290598,0.09498947055512624,0.1044061364909234,0.07119911167559136
2018-12-31,validation,excess_order,46,-0.5488881960815752,-0.4474561609347151,-0.45438066905709884,-0.7531280792710472
2019-12-31,training,excess_order,2165,-0.17325080212759203,0.04733004444270952,0.053024535655609446,0.016271348445722512
2019-12-31,validation,excess_order,46,0.08987276694940811,0.20731157453399507,0.23383837651633652,0.03543486445289129
