history,prediction_year,cutoff,window_start,available_weeks,available_signal_years,three_signal_years_available,status,calibration_fits
full,2021,2020-12-31,2018-01-01,141,3,True,frozen_existing_forecasts,0
rolling5,2021,2020-12-31,2018-01-01,0,0,False,planned_forecasts_from_current_fixed_folds,0
rolling3,2021,2020-12-31,2018-01-01,0,0,False,planned_forecasts_from_current_fixed_folds,0
full,2022,2021-12-31,2019-01-01,140,3,True,frozen_existing_forecasts,0
rolling5,2022,2021-12-31,2019-01-01,48,1,False,planned_forecasts_from_current_fixed_folds,0
rolling3,2022,2021-12-31,2019-01-01,48,1,False,planned_forecasts_from_current_fixed_folds,0
full,2023,2022-12-31,2020-01-01,143,3,True,frozen_existing_forecasts,0
rolling5,2023,2022-12-31,2020-01-01,97,2,False,planned_forecasts_from_current_fixed_folds,0
rolling3,2023,2022-12-31,2020-01-01,97,2,False,planned_forecasts_from_current_fixed_folds,0
full,2024,2023-12-31,2021-01-01,145,3,True,frozen_existing_forecasts,0
rolling5,2024,2023-12-31,2021-01-01,145,3,True,planned_forecasts_from_current_fixed_folds,0
rolling3,2024,2023-12-31,2021-01-01,145,3,True,planned_forecasts_from_current_fixed_folds,0
full,2025,2024-12-31,2022-01-01,143,3,True,frozen_existing_forecasts,0
rolling5,2025,2024-12-31,2022-01-01,143,3,True,planned_forecasts_from_current_fixed_folds,0
rolling3,2025,2024-12-31,2022-01-01,143,3,True,planned_forecasts_from_current_fixed_folds,0
full,2026,2025-12-31,2023-01-01,142,3,True,frozen_existing_forecasts,0
rolling5,2026,2025-12-31,2023-01-01,142,3,True,planned_forecasts_from_current_fixed_folds,0
rolling3,2026,2025-12-31,2023-01-01,142,3,True,planned_forecasts_from_current_fixed_folds,0
