window,history,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
extension_2021_2023,full,learned_market,147,0.4557823129251701,0.54421768707483,67,0.47485768500948766,0.6258503401360545,0.4217687074829932,37,30,55,25,0.4538899430740038,0.2659381572213168,0.7262646101265459,0.524049015277645,0.07940270660448237,0.1022803077946518,0.0
extension_2021_2023,full,learned_order_extension,147,0.4421768707482993,0.5578231292517006,65,0.46309297912713476,0.6394557823129252,0.4217687074829932,37,28,57,25,0.45445920303605314,0.26607324363308177,0.7264672877370262,0.5241523112751016,0.07562939556669258,0.10238360379210842,0.0
extension_2021_2023,full,learned_order_offset,147,0.4421768707482993,0.5578231292517006,65,0.46309297912713476,0.6394557823129252,0.4217687074829932,37,28,57,25,0.45426944971537003,0.2660280352208219,0.7263704221296597,0.524125827568217,0.07549534445496732,0.1023571200852238,0.0
extension_2021_2023,full,learned_vol_interaction,147,0.4421768707482993,0.5578231292517006,65,0.46309297912713476,0.6394557823129252,0.4217687074829932,37,28,57,25,0.45597722960151804,0.26578299644786296,0.7260362085917854,0.5236813942832398,0.07822806156971976,0.10191268680024657,0.0
extension_2021_2023,full,native_mse,147,0.46258503401360546,0.5374149659863946,68,0.48946869070208726,0.673469387755102,0.4217687074829932,41,27,58,21,0.45920303605313095,,,,,,
extension_2021_2023,full,training_frequency,147,0.4217687074829932,0.5782312925170068,62,0.5,1.0,0.4217687074829932,62,0,85,0,0.5294117647058824,0.2538922646549057,0.70093852846223,0.5231003641162889,0.00674579305592304,0.10133165663329569,0.0
extension_2021_2023,rolling3,learned_market,147,0.43537414965986393,0.564625850340136,64,0.45939278937381406,0.6598639455782312,0.4217687074829932,38,26,59,24,0.43795066413662237,0.3488226415979213,1.0022942072107255,0.574609714845772,0.24215099459467343,0.15284100736277872,0.0
extension_2021_2023,rolling3,learned_order_extension,147,0.42857142857142855,0.5714285714285714,63,0.449146110056926,0.6394557823129252,0.4217687074829932,36,27,58,26,0.4411764705882353,0.35095326833440527,1.0059162881977302,0.5745723270594894,0.2464823927481249,0.15280361957649613,0.0
extension_2021_2023,rolling3,learned_order_offset,147,0.42857142857142855,0.5714285714285714,63,0.449146110056926,0.6394557823129252,0.4217687074829932,36,27,58,26,0.43870967741935485,0.35026905260541374,0.9999395427744977,0.5740440539120165,0.2454651979183342,0.1522753464290233,0.0
extension_2021_2023,rolling3,learned_vol_interaction,147,0.4217687074829932,0.5782312925170068,62,0.44326375711574956,0.6462585034013606,0.4217687074829932,36,26,59,26,0.43605313092979125,0.35164843434134113,1.0018189724616569,0.5753158744272925,0.24522341596381445,0.15354716694429926,0.0
extension_2021_2023,rolling3,native_mse,147,0.42857142857142855,0.5714285714285714,63,0.43605313092979125,0.5578231292517006,0.4217687074829932,30,33,52,32,0.43377609108159393,,,,,,
extension_2021_2023,rolling3,training_frequency,147,0.4897959183673469,0.5102040816326531,72,0.5173624288425047,0.673469387755102,0.4217687074829932,43,29,56,19,0.5053130929791272,0.2564663340424125,0.7061593857104734,0.5330990938485249,0.03328050615246062,0.11133038636553172,0.0
extension_2021_2023,rolling5,learned_market,147,0.4421768707482993,0.5578231292517006,65,0.46091081593927896,0.6258503401360545,0.4217687074829932,36,29,56,26,0.4480075901328273,0.3098365239603293,0.8345634930350215,0.5535064456845936,0.18505989004939372,0.1317377382016004,0.0
extension_2021_2023,rolling5,learned_order_extension,147,0.46258503401360546,0.5374149659863946,68,0.47855787476280837,0.6054421768707483,0.4217687074829932,36,32,53,26,0.45370018975332066,0.31137523681145174,0.8453810947065897,0.55427275949056,0.19141963179594104,0.13250405200756676,0.0
extension_2021_2023,rolling5,learned_order_offset,147,0.46938775510204084,0.5306122448979592,69,0.4866223908918406,0.6122448979591837,0.4217687074829932,37,32,53,25,0.45370018975332066,0.3104306651968132,0.8419513163047168,0.5547538128663045,0.18944664061636543,0.13298510538331132,0.0
extension_2021_2023,rolling5,learned_vol_interaction,147,0.4557823129251701,0.54421768707483,67,0.47485768500948766,0.6258503401360545,0.4217687074829932,37,30,55,25,0.4489563567362429,0.310966205964977,0.8383368284127383,0.5536174467294925,0.18818419875228118,0.1318487392464993,0.0
