history,cutoff,unique_rows,presentations_per_nominal_epoch,nominal_epochs,steps_per_seed,total_presentations_per_seed,equivalent_retained_passes,test_n,reused
full,2020-12-31,2408,2408,20,380,48160,20.0,50,True
full,2021-12-31,2651,2651,20,420,53020,20.0,49,True
full,2022-12-31,2893,2893,20,460,57860,20.0,48,True
full,2023-12-31,3135,3135,20,500,62700,20.0,47,True
full,2024-12-31,3377,3377,20,540,67540,20.0,48,True
full,2025-12-31,3620,3620,20,580,72400,20.0,30,True
rolling5,2020-12-31,1212,2408,20,380,48160,39.73597359735974,50,False
rolling5,2021-12-31,1211,2651,20,420,53020,43.781998348472335,49,False
rolling5,2022-12-31,1209,2893,20,460,57860,47.857733664185275,48,False
rolling5,2023-12-31,1208,3135,20,500,62700,51.90397350993378,47,False
rolling5,2024-12-31,1206,3377,20,540,67540,56.00331674958541,48,False
rolling5,2025-12-31,1206,3620,20,580,72400,60.033167495854066,30,False
rolling3,2020-12-31,724,2408,20,380,48160,66.51933701657458,50,False
rolling3,2021-12-31,724,2651,20,420,53020,73.23204419889503,49,False
rolling3,2022-12-31,722,2893,20,460,57860,80.13850415512465,48,False
rolling3,2023-12-31,721,3135,20,500,62700,86.9625520110957,47,False
rolling3,2024-12-31,720,3377,20,540,67540,93.80555555555556,48,False
rolling3,2025-12-31,721,3620,20,580,72400,100.41608876560333,30,False
