job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
rolling5_learned_market_2020-12-31_20260910,L-BFGS-B,True,61,4.007799919714117e-08,1.3322676295501878e-15,6.589861439084549e-09,
rolling5_learned_vol_interaction_2020-12-31_20260910,L-BFGS-B,True,63,3.3006927857570645e-08,6.661338147750939e-16,2.4299469858143907e-09,
rolling5_learned_order_extension_2020-12-31_20260910,L-BFGS-B,True,68,5.4790744274946235e-08,1.4432899320127035e-15,5.497976439785071e-09,
rolling5_learned_order_offset_2020-12-31_20260910,brentq,True,9,,0.0,3.469446951953614e-18,1.3877787807814457e-17
rolling5_learned_market_2020-12-31_20260911,L-BFGS-B,True,68,1.08311948299189e-07,4.3298697960381105e-15,1.170808418450445e-08,
rolling5_learned_vol_interaction_2020-12-31_20260911,L-BFGS-B,True,67,9.672472156552203e-08,2.3314683517128287e-15,5.393881035315471e-09,
rolling5_learned_order_extension_2020-12-31_20260911,L-BFGS-B,True,65,5.13764036869091e-08,1.9984014443252818e-15,4.571026721847046e-09,
rolling5_learned_order_offset_2020-12-31_20260911,brentq,True,10,,1.1102230246251565e-16,2.372668034267278e-15,2.2353094375482385e-10
rolling5_learned_market_2020-12-31_20260912,L-BFGS-B,True,68,1.0108609649339684e-07,2.3314683517128287e-15,1.3555169617405355e-08,
rolling5_learned_vol_interaction_2020-12-31_20260912,L-BFGS-B,True,72,6.201704527697416e-08,1.887379141862766e-15,1.0476206745689293e-08,
rolling5_learned_order_extension_2020-12-31_20260912,L-BFGS-B,True,67,1.2375187274926702e-07,5.10702591327572e-15,2.25559228289509e-08,
rolling5_learned_order_offset_2020-12-31_20260912,brentq,True,10,,0.0,8.023096076392733e-18,8.326672684688674e-17
rolling5_learned_market_2021-12-31_20260910,L-BFGS-B,True,73,5.2494860569574087e-08,9.992007221626409e-16,9.04644934939143e-09,
rolling5_learned_vol_interaction_2021-12-31_20260910,L-BFGS-B,True,71,7.447987104836074e-08,1.1102230246251565e-15,1.1794319248353315e-08,
rolling5_learned_order_extension_2021-12-31_20260910,L-BFGS-B,True,72,1.3456325692606796e-07,2.55351295663786e-15,1.833788173947245e-08,
rolling5_learned_order_offset_2021-12-31_20260910,brentq,True,10,,1.1102230246251565e-16,5.854691731421724e-18,1.3877787807814457e-17
rolling5_learned_market_2021-12-31_20260911,L-BFGS-B,True,68,7.531251855485976e-08,1.1102230246251565e-15,5.842375531820744e-09,
rolling5_learned_vol_interaction_2021-12-31_20260911,L-BFGS-B,True,63,5.920141044057914e-08,3.3306690738754696e-16,3.030544459912271e-09,
rolling5_learned_order_extension_2021-12-31_20260911,L-BFGS-B,True,64,5.846770190220951e-08,1.4432899320127035e-15,5.393150318260681e-09,
rolling5_learned_order_offset_2021-12-31_20260911,brentq,True,9,,0.0,1.2576745200831851e-17,6.938893903907228e-17
rolling5_learned_market_2021-12-31_20260912,L-BFGS-B,True,70,6.356814252761467e-08,2.220446049250313e-15,5.7813061378941735e-09,
rolling5_learned_vol_interaction_2021-12-31_20260912,L-BFGS-B,True,66,5.4289564177523175e-08,9.992007221626409e-16,7.8103005332706e-09,
rolling5_learned_order_extension_2021-12-31_20260912,L-BFGS-B,True,65,8.981813615083212e-08,3.9968028886505635e-15,6.628786756752037e-09,
rolling5_learned_order_offset_2021-12-31_20260912,brentq,True,10,,1.1102230246251565e-16,2.8189256484623115e-18,8.187894806610529e-16
rolling5_learned_market_2022-12-31_20260910,L-BFGS-B,True,70,2.405956685547217e-07,1.3988810110276972e-14,3.675724023744463e-08,
rolling5_learned_vol_interaction_2022-12-31_20260910,L-BFGS-B,True,72,6.950992914589449e-08,1.887379141862766e-15,9.45093094826795e-09,
rolling5_learned_order_extension_2022-12-31_20260910,L-BFGS-B,True,73,9.887742624670182e-08,2.1094237467877974e-15,1.3911090484836769e-08,
rolling5_learned_order_offset_2022-12-31_20260910,brentq,True,10,,0.0,1.1926223897340549e-18,1.5265566588595902e-16
rolling5_learned_market_2022-12-31_20260911,L-BFGS-B,True,62,2.1458710142141513e-08,1.1102230246251565e-16,3.0103245794547984e-09,
rolling5_learned_vol_interaction_2022-12-31_20260911,L-BFGS-B,True,61,5.0594508915757785e-08,1.1102230246251565e-15,1.0587053230891753e-08,
rolling5_learned_order_extension_2022-12-31_20260911,L-BFGS-B,True,63,4.529404717956709e-08,6.661338147750939e-16,4.569011080829237e-09,
rolling5_learned_order_offset_2022-12-31_20260911,brentq,True,8,,1.1102230246251565e-16,3.1035287187397564e-18,3.4493640582722307e-12
rolling5_learned_market_2022-12-31_20260912,L-BFGS-B,True,73,6.148936332328603e-08,1.1102230246251565e-15,6.7178476232353235e-09,
rolling5_learned_vol_interaction_2022-12-31_20260912,L-BFGS-B,True,71,1.0091434121672904e-07,2.3314683517128287e-15,1.2967482213611665e-08,
rolling5_learned_order_extension_2022-12-31_20260912,L-BFGS-B,True,71,7.729315731896946e-08,1.5543122344752192e-15,6.806314438705802e-09,
rolling5_learned_order_offset_2022-12-31_20260912,brentq,True,10,,1.1102230246251565e-16,1.3010426069826053e-18,7.24723059342125e-10
rolling5_learned_market_2023-12-31_20260910,L-BFGS-B,True,69,7.642333876844987e-08,1.9984014443252818e-15,8.375264745293966e-09,
rolling5_learned_vol_interaction_2023-12-31_20260910,L-BFGS-B,True,67,1.244235958708373e-07,4.773959005888173e-15,8.960552482594784e-09,
rolling5_learned_order_extension_2023-12-31_20260910,L-BFGS-B,True,62,1.1836822588762175e-07,4.107825191113079e-15,1.5908906093203314e-08,
rolling5_learned_order_offset_2023-12-31_20260910,brentq,True,10,,0.0,5.637851296924623e-18,2.7755575615628914e-17
rolling5_learned_market_2023-12-31_20260911,L-BFGS-B,True,62,6.045725475800623e-08,1.3322676295501878e-15,5.554673728792869e-09,
rolling5_learned_vol_interaction_2023-12-31_20260911,L-BFGS-B,True,58,8.312899191231793e-08,2.9976021664879227e-15,5.28143261676467e-09,
rolling5_learned_order_extension_2023-12-31_20260911,L-BFGS-B,True,63,4.187381463793827e-08,3.3306690738754696e-16,3.0209633158743976e-09,
rolling5_learned_order_offset_2023-12-31_20260911,brentq,True,10,,0.0,4.336808689942018e-19,3.635980405647388e-15
rolling5_learned_market_2023-12-31_20260912,L-BFGS-B,True,60,5.0549695429502606e-08,4.440892098500626e-16,3.0868650895230377e-09,
rolling5_learned_vol_interaction_2023-12-31_20260912,L-BFGS-B,True,60,6.923942530434601e-08,1.6653345369377348e-15,1.0039977962721103e-08,
rolling5_learned_order_extension_2023-12-31_20260912,L-BFGS-B,True,60,9.119012112090985e-08,2.7755575615628914e-15,5.17093094254753e-09,
rolling5_learned_order_offset_2023-12-31_20260912,brentq,True,8,,0.0,3.903127820947816e-18,5.551115123125783e-17
rolling5_learned_market_2024-12-31_20260910,L-BFGS-B,True,62,9.91368191427533e-08,3.9968028886505635e-15,7.603725023859649e-09,
rolling5_learned_vol_interaction_2024-12-31_20260910,L-BFGS-B,True,65,6.182118089670396e-08,3.3306690738754696e-16,5.233998027088377e-09,
rolling5_learned_order_extension_2024-12-31_20260910,L-BFGS-B,True,62,5.334817065882902e-08,1.1102230246251565e-15,5.6056011726954985e-09,
rolling5_learned_order_offset_2024-12-31_20260910,brentq,True,9,,0.0,4.336808689942018e-19,1.3877787807814457e-17
rolling5_learned_market_2024-12-31_20260911,L-BFGS-B,True,54,4.525548835676574e-08,1.5543122344752192e-15,5.939902336920405e-09,
rolling5_learned_vol_interaction_2024-12-31_20260911,L-BFGS-B,True,54,5.563033333988443e-08,1.1102230246251565e-15,4.293553422627001e-09,
rolling5_learned_order_extension_2024-12-31_20260911,L-BFGS-B,True,60,3.214341326440717e-08,3.3306690738754696e-16,3.642884323406051e-09,
rolling5_learned_order_offset_2024-12-31_20260911,brentq,True,10,,0.0,1.1275702593849246e-17,5.551115123125783e-17
rolling5_learned_market_2024-12-31_20260912,L-BFGS-B,True,67,9.147035084922095e-08,7.771561172376096e-16,3.130601764367996e-09,
rolling5_learned_vol_interaction_2024-12-31_20260912,L-BFGS-B,True,63,6.534076046893489e-08,2.55351295663786e-15,1.2301041533904072e-08,
rolling5_learned_order_extension_2024-12-31_20260912,L-BFGS-B,True,67,8.035954213170271e-08,1.7763568394002505e-15,7.202785665865255e-09,
rolling5_learned_order_offset_2024-12-31_20260912,brentq,True,10,,0.0,1.0842021724855044e-18,0.0
rolling5_learned_market_2025-12-31_20260910,L-BFGS-B,True,60,1.3695774320199305e-07,6.994405055138486e-15,2.9681859521450693e-08,
