job,history,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
rolling5_learned_market_2022-12-31_20260912,rolling5,learned_market,2022-12-31,20260912,1209,5,0.5289041176898969,8.656660457906362e-14,0.010190013077914914,
rolling5_learned_vol_interaction_2022-12-31_20260912,rolling5,learned_vol_interaction,2022-12-31,20260912,1209,5,0.5277936550303316,1.9304826834320998e-13,0.010188465328485025,
rolling5_learned_order_extension_2022-12-31_20260912,rolling5,learned_order_extension,2022-12-31,20260912,1209,5,0.5218646443234658,8.874299385619455e-11,0.010182865188702464,
rolling5_learned_order_offset_2022-12-31_20260912,rolling5,learned_order_offset,2022-12-31,20260912,1209,2,0.522325234935258,8.712437021829444e-11,0.12021747371091843,0.5174819988748569
rolling5_learned_market_2023-12-31_20260910,rolling5,learned_market,2023-12-31,20260910,1208,5,0.5300594287589748,1.6942502088779232e-13,0.010216535626289368,
rolling5_learned_vol_interaction_2023-12-31_20260910,rolling5,learned_vol_interaction,2023-12-31,20260910,1208,5,0.5300593642403323,1.8404711348701808e-13,0.010216037421784412,
rolling5_learned_order_extension_2023-12-31_20260910,rolling5,learned_order_extension,2023-12-31,20260910,1208,5,0.5275566538716682,7.0097200613461474e-12,0.010213179546001802,
rolling5_learned_order_offset_2023-12-31_20260910,rolling5,learned_order_offset,2023-12-31,20260910,1208,3,0.5276731485662218,4.336808689942018e-19,0.12411742903798123,0.5232894002897397
rolling5_learned_market_2023-12-31_20260911,rolling5,learned_market,2023-12-31,20260911,1208,5,0.5131760502884694,4.256768548760448e-13,0.010224844564823919,
rolling5_learned_vol_interaction_2023-12-31_20260911,rolling5,learned_vol_interaction,2023-12-31,20260911,1208,5,0.5128769135852164,4.642054969583587e-13,0.01022319408288683,
rolling5_learned_order_extension_2023-12-31_20260911,rolling5,learned_order_extension,2023-12-31,20260911,1208,5,0.5102546488868794,2.549728440534582e-11,0.01021887275783979,
rolling5_learned_order_offset_2023-12-31_20260911,rolling5,learned_order_offset,2023-12-31,20260911,1208,3,0.510403518273242,3.9942008034365983e-16,0.11107827403694229,0.5043298542413167
rolling5_learned_market_2023-12-31_20260912,rolling5,learned_market,2023-12-31,20260912,1208,5,0.53259877105349,1.0825368379485667e-13,0.010277602803967617,
rolling5_learned_vol_interaction_2023-12-31_20260912,rolling5,learned_vol_interaction,2023-12-31,20260912,1208,5,0.5323398119653124,2.0303127668680476e-13,0.010277420800058428,
rolling5_learned_order_extension_2023-12-31_20260912,rolling5,learned_order_extension,2023-12-31,20260912,1208,5,0.5317947456784458,4.860139200812963e-12,0.010277732436707052,
rolling5_learned_order_offset_2023-12-31_20260912,rolling5,learned_order_offset,2023-12-31,20260912,1208,3,0.5318161846391022,5.204170427930421e-18,0.10929325912124963,0.5260795954113973
rolling5_learned_market_2024-12-31_20260910,rolling5,learned_market,2024-12-31,20260910,1206,5,0.5500730667191408,8.888151889832607e-11,0.010296033844635039,
rolling5_learned_vol_interaction_2024-12-31_20260910,rolling5,learned_vol_interaction,2024-12-31,20260910,1206,5,0.5497676079243162,8.326762911993468e-11,0.010294164328961044,
rolling5_learned_order_extension_2024-12-31_20260910,rolling5,learned_order_extension,2024-12-31,20260910,1206,5,0.5495140723434722,8.250348950029907e-11,0.010294650182913236,
rolling5_learned_order_offset_2024-12-31_20260910,rolling5,learned_order_offset,2024-12-31,20260910,1206,3,0.549520632385432,7.589415207398531e-19,0.09018287242045947,0.5455853343444477
rolling5_learned_market_2024-12-31_20260911,rolling5,learned_market,2024-12-31,20260911,1206,6,0.5737768549300346,3.4903746060944985e-10,0.010178784273858502,
rolling5_learned_vol_interaction_2024-12-31_20260911,rolling5,learned_vol_interaction,2024-12-31,20260911,1206,7,0.5730779679921534,2.224782857940255e-16,0.010175265687562583,
rolling5_learned_order_extension_2024-12-31_20260911,rolling5,learned_order_extension,2024-12-31,20260911,1206,7,0.5696509989925732,3.3176586478056436e-16,0.010174107401068843,
rolling5_learned_order_offset_2024-12-31_20260911,rolling5,learned_order_offset,2024-12-31,20260911,1206,3,0.5701159693543564,1.734723475976807e-18,0.0642292199061744,0.5657860030363423
rolling5_learned_market_2024-12-31_20260912,rolling5,learned_market,2024-12-31,20260912,1206,5,0.5484352073077559,3.4537531255068865e-11,0.010281894841907875,
rolling5_learned_vol_interaction_2024-12-31_20260912,rolling5,learned_vol_interaction,2024-12-31,20260912,1206,5,0.5482591712651789,5.2309569436442827e-11,0.010281431124815613,
rolling5_learned_order_extension_2024-12-31_20260912,rolling5,learned_order_extension,2024-12-31,20260912,1206,5,0.5472941867388235,9.264389385851834e-11,0.010278573048879943,
