window,history,method,n,seed_accuracy_min,seed_accuracy_max,mean_seed_accuracy,ensemble_accuracy,ensemble_below_all_seeds,disagreeing_weeks,opposes_majority_weeks,opposes_majority_wrong,mean_seed_brier,ensemble_brier,variance_reduction
extension_2021_2023,full,learned_market,147,0.46258503401360546,0.46938775510204084,0.4671201814058957,0.4557823129251701,True,99,26,13,0.272648873846873,0.2659381572213168,0.006710716625556178
extension_2021_2023,full,learned_order_extension,147,0.4557823129251701,0.46258503401360546,0.4603174603174603,0.4421768707482993,True,99,29,16,0.27237694698099446,0.26607324363308177,0.006303703347912652
extension_2021_2023,full,learned_order_offset,147,0.4557823129251701,0.46258503401360546,0.4580498866213152,0.4421768707482993,True,98,29,16,0.2723124019493007,0.2660280352208219,0.006284366728478788
extension_2021_2023,full,learned_vol_interaction,147,0.4489795918367347,0.46258503401360546,0.4580498866213152,0.4421768707482993,True,99,26,13,0.2721987092790515,0.26578299644786296,0.006415712831188509
extension_2021_2023,rolling3,learned_market,147,0.4217687074829932,0.48299319727891155,0.4603174603174603,0.43537414965986393,False,77,12,6,0.3850954111843999,0.3488226415979213,0.03627276958647861
extension_2021_2023,rolling3,learned_order_extension,147,0.42857142857142855,0.48299319727891155,0.4603174603174603,0.42857142857142855,False,79,9,5,0.38912020939034875,0.35095326833440527,0.03816694105594347
extension_2021_2023,rolling3,learned_order_offset,147,0.42857142857142855,0.48299319727891155,0.4603174603174603,0.42857142857142855,False,79,9,5,0.38829830858326875,0.35026905260541374,0.03802925597785501
extension_2021_2023,rolling3,learned_vol_interaction,147,0.43537414965986393,0.47619047619047616,0.4580498866213152,0.4217687074829932,True,78,8,5,0.3892797446336689,0.35164843434134113,0.0376313102923277
extension_2021_2023,rolling5,learned_market,147,0.3673469387755102,0.5034013605442177,0.4489795918367347,0.4421768707482993,False,88,13,5,0.3367998710802572,0.3098365239603293,0.026963347119927872
extension_2021_2023,rolling5,learned_order_extension,147,0.3877551020408163,0.5034013605442177,0.46485260770975056,0.46258503401360546,False,89,18,7,0.3410804942129146,0.31137523681145174,0.029705257401462723
extension_2021_2023,rolling5,learned_order_offset,147,0.38095238095238093,0.5034013605442177,0.46258503401360546,0.46938775510204084,False,89,16,5,0.3398351506630093,0.3104306651968132,0.029404485466196017
extension_2021_2023,rolling5,learned_vol_interaction,147,0.3741496598639456,0.5034013605442177,0.4512471655328798,0.4557823129251701,False,88,14,5,0.3383362687084829,0.310966205964977,0.02737006274350584
recent_2024_2026,full,learned_market,125,0.504,0.544,0.5253333333333333,0.488,True,68,10,7,0.2609558096102632,0.25581800569347823,0.005137803916784988
recent_2024_2026,full,learned_order_extension,125,0.512,0.544,0.528,0.48,True,68,12,9,0.2617723709699067,0.25646160711561333,0.005310763854293376
recent_2024_2026,full,learned_order_offset,125,0.512,0.544,0.528,0.472,True,68,11,9,0.261772506765623,0.2564697487598113,0.005302758005811722
recent_2024_2026,full,learned_vol_interaction,125,0.504,0.544,0.528,0.48,True,68,10,8,0.2624357597911239,0.25696472403903914,0.005471035752084736
recent_2024_2026,rolling3,learned_market,125,0.432,0.52,0.472,0.488,False,70,8,1,0.3438509545645151,0.3041959977156036,0.03965495684891146
recent_2024_2026,rolling3,learned_order_extension,125,0.424,0.512,0.472,0.48,False,68,9,2,0.3473329582480415,0.3088060898859349,0.03852686836210664
recent_2024_2026,rolling3,learned_order_offset,125,0.424,0.512,0.472,0.464,False,67,6,1,0.3476175050996436,0.30907412195372613,0.03854338314591744
recent_2024_2026,rolling3,learned_vol_interaction,125,0.432,0.512,0.472,0.472,False,68,6,1,0.34578903593588145,0.3063290538171226,0.039459982118758834
recent_2024_2026,rolling5,learned_market,125,0.52,0.56,0.536,0.568,False,73,13,6,0.2869661456628596,0.25569460053466986,0.031271545128189714
recent_2024_2026,rolling5,learned_order_extension,125,0.512,0.544,0.5306666666666667,0.576,False,74,11,4,0.2905163445773573,0.25750889942048993,0.03300744515686739
recent_2024_2026,rolling5,learned_order_offset,125,0.52,0.552,0.536,0.584,False,73,9,3,0.29008465173089304,0.2576259467469286,0.032458704983964436
recent_2024_2026,rolling5,learned_vol_interaction,125,0.512,0.56,0.536,0.56,False,75,12,6,0.2869074241761797,0.25538531208871956,0.031522112087460114
pooled_2021_2026,full,learned_market,272,0.48161764705882354,0.5036764705882353,0.49387254901960786,0.47058823529411764,True,167,36,20,0.26727522300284273,0.26128735229124395,0.00598787071159883
pooled_2021_2026,full,learned_order_extension,272,0.4852941176470588,0.5,0.491421568627451,0.45955882352941174,True,167,41,25,0.26750352050531073,0.2616561312629216,0.005847389242389086
pooled_2021_2026,full,learned_order_offset,272,0.48161764705882354,0.5,0.4901960784313726,0.45588235294117646,True,166,40,25,0.2674687001185665,0.26163544033984276,0.005833259778723702
pooled_2021_2026,full,learned_vol_interaction,272,0.4742647058823529,0.5,0.4901960784313726,0.45955882352941174,True,167,36,21,0.26771205969820233,0.261730481554102,0.005981578144100378
pooled_2021_2026,rolling3,learned_market,272,0.4411764705882353,0.4963235294117647,0.4656862745098039,0.45955882352941174,False,147,20,7,0.36614115722305585,0.32831407363729737,0.03782708358575842
pooled_2021_2026,rolling3,learned_order_extension,272,0.4522058823529412,0.4889705882352941,0.4656862745098039,0.4522058823529412,False,147,18,7,0.369916509416862,0.33158416059154205,0.03833234882531993
pooled_2021_2026,rolling3,learned_order_offset,272,0.4522058823529412,0.4889705882352941,0.4656862745098039,0.44485294117647056,True,146,15,6,0.36960308639410283,0.3313375587397485,0.03826552765435429
pooled_2021_2026,rolling3,learned_vol_interaction,272,0.4522058823529412,0.4852941176470588,0.46446078431372545,0.44485294117647056,True,146,14,6,0.3692932057100533,0.33082151314454955,0.03847169256550377
