window,history,method,bin_index,n,mean_probability,observed_up
extension_2021_2023,full,learned_market,0,0,,
extension_2021_2023,full,learned_market,1,8,0.35773654595772414,0.375
extension_2021_2023,full,learned_market,2,118,0.5119962179919451,0.4322033898305085
extension_2021_2023,full,learned_market,3,21,0.655131388338215,0.38095238095238093
extension_2021_2023,full,learned_market,4,0,,
extension_2021_2023,full,learned_order_extension,0,0,,
extension_2021_2023,full,learned_order_extension,1,7,0.3541481945600862,0.42857142857142855
extension_2021_2023,full,learned_order_extension,2,119,0.5120267057009934,0.42857142857142855
extension_2021_2023,full,learned_order_extension,3,21,0.6495321151000539,0.38095238095238093
extension_2021_2023,full,learned_order_extension,4,0,,
extension_2021_2023,full,learned_order_offset,0,0,,
extension_2021_2023,full,learned_order_offset,1,7,0.35440797682911546,0.42857142857142855
extension_2021_2023,full,learned_order_offset,2,120,0.5127610171394719,0.425
extension_2021_2023,full,learned_order_offset,3,20,0.6517159378993737,0.4
extension_2021_2023,full,learned_order_offset,4,0,,
extension_2021_2023,full,learned_vol_interaction,0,0,,
extension_2021_2023,full,learned_vol_interaction,1,7,0.3541955431281795,0.42857142857142855
extension_2021_2023,full,learned_vol_interaction,2,117,0.5090635441396001,0.42735042735042733
extension_2021_2023,full,learned_vol_interaction,3,23,0.6496244127567724,0.391304347826087
extension_2021_2023,full,learned_vol_interaction,4,0,,
extension_2021_2023,full,training_frequency,0,0,,
extension_2021_2023,full,training_frequency,1,0,,
extension_2021_2023,full,training_frequency,2,147,0.5231003641162889,0.4217687074829932
extension_2021_2023,full,training_frequency,3,0,,
extension_2021_2023,full,training_frequency,4,0,,
extension_2021_2023,rolling3,learned_market,0,13,0.1451125837029326,0.46153846153846156
extension_2021_2023,rolling3,learned_market,1,27,0.30266791961107203,0.4074074074074074
extension_2021_2023,rolling3,learned_market,2,32,0.5152623801371667,0.5625
extension_2021_2023,rolling3,learned_market,3,46,0.6948128724715599,0.3695652173913043
