history,cutoff,lower_anchor_date,training_rows,testing_rows,matched_updates,causal
full,2020-12-31,2010-01-01,2408,50,380,True
full,2021-12-31,2010-01-01,2651,49,420,True
full,2022-12-31,2010-01-01,2893,48,460,True
full,2023-12-31,2010-01-01,3135,47,500,True
full,2024-12-31,2010-01-01,3377,48,540,True
full,2025-12-31,2010-01-01,3620,30,580,True
rolling5,2020-12-31,2016-01-01,1212,50,380,True
rolling5,2021-12-31,2017-01-01,1211,49,420,True
rolling5,2022-12-31,2018-01-01,1209,48,460,True
rolling5,2023-12-31,2019-01-01,1208,47,500,True
rolling5,2024-12-31,2020-01-01,1206,48,540,True
rolling5,2025-12-31,2021-01-01,1206,30,580,True
rolling3,2020-12-31,2018-01-01,724,50,380,True
rolling3,2021-12-31,2019-01-01,724,49,420,True
rolling3,2022-12-31,2020-01-01,722,48,460,True
rolling3,2023-12-31,2021-01-01,721,47,500,True
rolling3,2024-12-31,2022-01-01,720,48,540,True
rolling3,2025-12-31,2023-01-01,721,30,580,True
