window,method,seed,n,accuracy,balanced_accuracy,actual_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,mean_forecast,forecast_std,mean_actual,mean_return_held,mean_return_unheld,cost_bps,start,end,total_return,cagr,sharpe_zero_cash,max_drawdown,exposure,one_way_turnover,observations
common,kronos_adaptive,20260910,103,0.5436893203883495,0.5,0.5436893203883495,1.0,0.027527249806174395,0.004761093824193208,-0.15761211636208405,0.0017032383986053206,0.0004628441522770567,0.003152720366304803,0.003152720366304803,,10,2024-07-08,2026-08-31,0.3309373778034359,0.14246410937337428,0.7255753607264145,-0.1915301424375958,1.0,2,522
common,kronos_adaptive,20260911,103,0.42718446601941745,0.4236322188449848,0.5436893203883495,0.5339805825242718,0.02756663861824545,0.0019108763035927678,-0.011710335174395112,0.0009673749215627737,0.0016314434931186926,0.003152720366304803,0.0015148199485712896,0.0050294812616244544,10,2024-07-08,2026-08-31,0.05155725102676345,0.023697220526981644,0.2185802572066882,-0.21326234888354878,0.5287356321839081,4,522
common,kronos_adaptive,20260912,103,0.4563106796116505,0.4709346504559271,0.5436893203883495,0.3300970873786408,0.028109664971893492,-0.03779849382372724,-0.10770899399748327,0.0018638827688311304,0.0038131638353522583,0.003152720366304803,0.0005339981469487326,0.004443105228016491,10,2024-07-08,2026-08-31,0.003627909595064649,0.0016885363686207633,0.06865572640026169,-0.10019552181742242,0.3314176245210728,8,522
common,kronos_fixed,20260910,103,0.5436893203883495,0.5,0.5436893203883495,1.0,0.027533263652461584,0.004326188947442189,-0.09629321878977681,0.001283970650386769,0.0005417577716209531,0.003152720366304803,0.003152720366304803,,10,2024-07-08,2026-08-31,0.3309373778034359,0.14246410937337428,0.7255753607264145,-0.1915301424375958,1.0,2,522
common,kronos_fixed,20260911,103,0.42718446601941745,0.4236322188449848,0.5436893203883495,0.5339805825242718,0.027592699271412138,2.2858705669537294e-05,-0.02463017212419597,0.0009781233194758301,0.0017016396411778433,0.003152720366304803,0.0015148199485712896,0.0050294812616244544,10,2024-07-08,2026-08-31,0.05155725102676345,0.023697220526981644,0.2185802572066882,-0.21326234888354878,0.5287356321839081,4,522
common,kronos_fixed,20260912,103,0.4368932038834951,0.45478723404255317,0.5436893203883495,0.2912621359223301,0.027985117535648064,-0.028622376497028368,-0.10223115087820321,0.0004935518302388719,0.002899731720060589,0.003152720366304803,-0.001290096319502013,0.004978535442663769,10,2024-07-08,2026-08-31,-0.04544975375761362,-0.02143729456787158,-0.18367043303790706,-0.10019552181742197,0.2950191570881226,2,522
common,kronos_permuted,20260910,103,0.5436893203883495,0.5,0.5436893203883495,1.0,0.027456657029430124,0.009859067132189425,-0.007580099500864867,0.0016331787580294607,0.00020132440177311875,0.003152720366304803,0.003152720366304803,,10,2024-07-08,2026-08-31,0.3309373778034359,0.14246410937337428,0.7255753607264145,-0.1915301424375958,1.0,2,522
common,kronos_permuted,20260911,103,0.42718446601941745,0.4236322188449848,0.5436893203883495,0.5339805825242718,0.027558629625990885,0.0024907458306984154,-0.007001441902497067,0.0008514020297393333,0.0014766140288113181,0.003152720366304803,0.0015148199485712896,0.0050294812616244544,10,2024-07-08,2026-08-31,0.05155725102676345,0.023697220526981644,0.2185802572066882,-0.21326234888354878,0.5287356321839081,4,522
common,kronos_permuted,20260912,103,0.4854368932038835,0.4823328267477204,0.5436893203883495,0.5339805825242718,0.027986727045353776,-0.028740698337559767,-0.10670510924705143,0.001949855613375351,0.003314438874851237,0.003152720366304803,0.0009970494266832732,0.00562275998462114,10,2024-07-08,2026-08-31,0.019230005259107896,0.008913314925122151,0.13582188926045008,-0.10512008038521259,0.5402298850574713,26,522
common,random_tokenizer_adaptive,20260910,103,0.5436893203883495,0.5,0.5436893203883495,1.0,0.027514180318334257,0.005705915777427406,-0.10058256033599389,0.0014142139028696912,0.0004326360306473447,0.003152720366304803,0.003152720366304803,,10,2024-07-08,2026-08-31,0.3309373778034359,0.14246410937337428,0.7255753607264145,-0.1915301424375958,1.0,2,522
common,random_tokenizer_adaptive,20260911,103,0.4368932038834951,0.4325607902735562,0.5436893203883495,0.5436893203883495,0.027554798130996233,0.0027680953275392994,0.004864112305728104,0.000810214121262149,0.0016703895075658752,0.003152720366304803,0.0017723140531401668,0.004797459803266924,10,2024-07-08,2026-08-31,0.06617772107665831,0.030303697484755032,0.2523205280464831,-0.20232383435755308,0.5363984674329502,6,522
common,random_tokenizer_adaptive,20260912,103,0.4368932038834951,0.45478723404255317,0.5436893203883495,0.2912621359223301,0.028037215849646933,-0.03245579786856667,-0.10243688558022619,0.00019187531798632525,0.0030030868872040184,0.003152720366304803,-0.001290096319502013,0.004978535442663769,10,2024-07-08,2026-08-31,-0.04544975375761362,-0.02143729456787158,-0.18367043303790706,-0.10019552181742197,0.2950191570881226,2,522
common,raw_adaptive,20260910,103,0.5533980582524272,0.5243161094224924,0.5436893203883495,0.8349514563106796,0.027601890616267003,-0.000643452732858929,-0.08806312685675056,0.001080085105213809,0.0010444829519445857,0.003152720366304803,0.0018870338179784122,0.009555605257838315,10,2024-07-08,2026-08-31,0.15268167752151895,0.0684376337739816,0.5233619381750383,-0.12116608248555893,0.8409961685823755,4,522
common,raw_adaptive,20260911,103,0.47572815533980584,0.4648556231003039,0.5436893203883495,0.6213592233009708,0.02781710345675197,-0.01630838477750962,-0.023054523764413932,0.0008853795654748435,0.0035650443671453196,0.003152720366304803,0.0016368633890649863,0.005640280534082964,10,2024-07-08,2026-08-31,0.060123076430976585,0.027573723302239728,0.23904209180992758,-0.1897731675859532,0.6111111111111112,18,522
