phase,method,cutoff,seed,epoch,train_mse_standardized,elapsed_seconds,evaluation_rmse
validation,raw_fixed,2017-12-31,20260910,1,1.0026576179729922,4.820546627044678,
validation,raw_fixed,2017-12-31,20260910,2,1.0016355061736477,6.17431902885437,0.031127940318152955
validation,raw_fixed,2017-12-31,20260910,3,1.0005761134220743,7.3650147914886475,
validation,raw_fixed,2017-12-31,20260910,4,1.000139203672953,8.488846778869629,
validation,raw_fixed,2017-12-31,20260910,5,1.0000300262205246,9.489398717880249,0.031211762541455
validation,raw_fixed,2017-12-31,20260910,6,0.9987831697248661,10.664223670959473,
validation,raw_fixed,2017-12-31,20260910,7,0.9898834267295831,12.016545534133911,
validation,raw_fixed,2017-12-31,20260910,8,0.9704504192619188,13.356931447982788,
validation,raw_fixed,2017-12-31,20260910,9,0.9395906148180675,14.705680131912231,
validation,raw_fixed,2017-12-31,20260910,10,0.9523551022801028,15.772084712982178,0.03009044209700248
validation,raw_fixed,2017-12-31,20260911,1,1.001040550476727,1.0352904796600342,
validation,raw_fixed,2017-12-31,20260911,2,1.0003984344905144,2.12369441986084,0.031199542385660767
validation,raw_fixed,2017-12-31,20260911,3,0.9995779043425426,3.186738967895508,
validation,raw_fixed,2017-12-31,20260911,4,0.9993943720790367,4.239943981170654,
validation,raw_fixed,2017-12-31,20260911,5,0.9830713920202272,5.35646390914917,0.030246417941456966
validation,raw_fixed,2017-12-31,20260911,6,0.9590687706792064,6.374718904495239,
validation,raw_fixed,2017-12-31,20260911,7,0.9402851306180903,7.398787498474121,
validation,raw_fixed,2017-12-31,20260911,8,0.9271662707705619,8.49858546257019,
validation,raw_fixed,2017-12-31,20260911,9,0.8863761484516708,9.57625412940979,
validation,raw_fixed,2017-12-31,20260911,10,0.8688247192139719,10.694007635116577,0.03196722355786314
validation,raw_fixed,2017-12-31,20260912,1,1.0018176729666357,1.1619513034820557,
validation,raw_fixed,2017-12-31,20260912,2,1.0009062061760303,2.2505998611450195,0.031186452510590598
validation,raw_fixed,2017-12-31,20260912,3,1.0006712221065166,3.320967435836792,
validation,raw_fixed,2017-12-31,20260912,4,0.9997022527353578,4.324367046356201,
validation,raw_fixed,2017-12-31,20260912,5,1.000134831018839,5.279219388961792,0.03113117071258578
validation,raw_fixed,2017-12-31,20260912,6,0.9980248552096861,6.28908371925354,
validation,raw_fixed,2017-12-31,20260912,7,0.9775361698154035,7.313499450683594,
validation,raw_fixed,2017-12-31,20260912,8,0.9425343119241054,8.702183723449707,
validation,raw_fixed,2017-12-31,20260912,9,0.9260528564311462,10.328822374343872,
validation,raw_fixed,2017-12-31,20260912,10,0.8709349992795141,12.001494646072388,0.03535817109643426
validation,raw_fixed,2018-12-31,20260910,1,1.0022935729903224,2.206953763961792,
validation,raw_fixed,2018-12-31,20260910,2,1.0025990599164833,4.149639129638672,0.02619603631655547
validation,raw_fixed,2018-12-31,20260910,3,1.0002277065784142,6.044077634811401,
validation,raw_fixed,2018-12-31,20260910,4,1.0014290936206112,8.038395404815674,
validation,raw_fixed,2018-12-31,20260910,5,1.0006027038471226,9.970236539840698,0.026421816442758296
validation,raw_fixed,2018-12-31,20260910,6,1.0005270515027942,11.716790914535522,
validation,raw_fixed,2018-12-31,20260910,7,1.0004851746286807,13.602850675582886,
validation,raw_fixed,2018-12-31,20260910,8,0.9999357370015617,15.568447828292847,
validation,raw_fixed,2018-12-31,20260910,9,1.0003923598448683,17.553250074386597,
validation,raw_fixed,2018-12-31,20260910,10,0.9992971070582746,19.38546895980835,0.026583657909897734
validation,raw_fixed,2018-12-31,20260911,1,1.0028117624646282,1.825113296508789,
validation,raw_fixed,2018-12-31,20260911,2,1.0002153429936769,3.5860941410064697,0.026481135115002715
validation,raw_fixed,2018-12-31,20260911,3,1.0002075935078558,5.30550217628479,
validation,raw_fixed,2018-12-31,20260911,4,1.0010170359725397,7.306336164474487,
validation,raw_fixed,2018-12-31,20260911,5,1.0007870204723512,9.154349088668823,0.026538459230053196
validation,raw_fixed,2018-12-31,20260911,6,0.9999521653847778,11.15656566619873,
validation,raw_fixed,2018-12-31,20260911,7,0.9894641993077992,13.058002948760986,
validation,raw_fixed,2018-12-31,20260911,8,0.9761801409696617,15.027580738067627,
validation,raw_fixed,2018-12-31,20260911,9,0.9798120849476673,16.90448760986328,
validation,raw_fixed,2018-12-31,20260911,10,0.9519269040564263,18.886898040771484,0.02739509920114519
validation,raw_fixed,2018-12-31,20260912,1,1.0047522905831026,1.8820698261260986,
validation,raw_fixed,2018-12-31,20260912,2,1.000660548576561,3.9502336978912354,0.026542537307714192
validation,raw_fixed,2018-12-31,20260912,3,1.0015771965866644,5.7066240310668945,
validation,raw_fixed,2018-12-31,20260912,4,1.0003761936632891,7.545626401901245,
validation,raw_fixed,2018-12-31,20260912,5,1.0014142288225834,9.100683450698853,0.026503394989734648
validation,raw_fixed,2018-12-31,20260912,6,1.0000656125206318,10.850318670272827,
validation,raw_fixed,2018-12-31,20260912,7,1.0002101218155734,12.805419921875,
validation,raw_fixed,2018-12-31,20260912,8,0.9991572475136254,14.355767488479614,
validation,raw_fixed,2018-12-31,20260912,9,0.9925292831219864,15.9992356300354,
validation,raw_fixed,2018-12-31,20260912,10,0.9809672985987995,17.622831344604492,0.026610453281311248
validation,raw_fixed,2019-12-31,20260910,1,1.002945908807939,1.972912311553955,
validation,raw_fixed,2019-12-31,20260910,2,1.0009229795174666,3.7559335231781006,0.03345283602827393
