window,method,n,accuracy,balanced_accuracy,actual_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,mean_forecast,forecast_std,mean_actual,mean_return_held,mean_return_unheld
common,raw_fixed,103,0.5533980582524272,0.5174772036474165,0.5436893203883495,0.912621359223301,0.02749590568768903,0.007026276598735559,0.010410303811491032,0.0010173091743498554,0.0006192470146272005,0.003152720366304803,0.0033403507475079706,0.001193025273738378
common,raw_adaptive,103,0.49514563106796117,0.47758358662613987,0.5436893203883495,0.6990291262135923,0.02772679833593599,-0.009720432272547486,-0.10358172082007144,0.0010792168560142894,0.0017544284314596193,0.003152720366304803,0.0033530996512846295,0.002687323317319402
common,raw_permuted,103,0.42718446601941745,0.4048252279635258,0.5436893203883495,0.7475728155339806,0.02764975543093658,-0.004116920713715055,-0.11132367736467008,0.0006112417389446369,0.0009392945236946081,0.003152720366304803,0.0004602591318552852,0.011126547868328377
common,kronos_fixed,103,0.42718446601941745,0.4236322188449848,0.5436893203883495,0.5339805825242718,0.027671712328355774,-0.005712308871691052,-0.08856025074994633,0.0009185486000338281,0.0014698926608800525,0.003152720366304803,0.0015148199485712896,0.0050294812616244544
common,kronos_adaptive,103,0.46601941747572817,0.44566869300911854,0.5436893203883495,0.7281553398058253,0.02767146115806592,-0.005694051678011514,-0.10832843998229622,0.0015114986963330487,0.0015470441472379174,0.003152720366304803,0.0019441418254836106,0.006389984314932997
common,kronos_permuted,103,0.5436893203883495,0.5,0.5436893203883495,1.0,0.02760856770036064,-0.0011276361324756845,-0.1062956488462536,0.0014781454670480245,0.0011462747300688928,0.003152720366304803,0.003152720366304803,
common,random_tokenizer_adaptive,103,0.4368932038834951,0.42914133738601823,0.5436893203883495,0.5825242718446602,0.027655726841903403,-0.0045506780591084706,-0.0896657366243694,0.0008054344473727292,0.001275171387505492,0.003152720366304803,0.0018176561049760868,0.005015600730949523
common,ridge_matched_schedule,103,0.5533980582524272,0.5362841945288753,0.5436893203883495,0.6990291262135923,0.02758521673113829,0.0005651292991423196,0.0029197306689836555,0.0014793520618348608,0.0026714869445517825,0.003152720366304803,0.004187387655331277,0.0007496221466304136
common,training_mean,103,0.5436893203883495,0.5,0.5436893203883495,1.0,0.027483250433728432,0.007940117582960537,-0.07527902550765182,0.0013220397447759361,0.0001275877007191039,0.003152720366304803,0.003152720366304803,
common,buy_hold,103,0.5436893203883495,0.5,0.5436893203883495,1.0,0.027593014529256634,8.281653807173939e-09,,1e-09,0.0,0.003152720366304803,0.003152720366304803,
common,zero_return_cash,103,0.4563106796116505,0.5,0.5436893203883495,0.0,0.027593014643514532,0.0,,0.0,0.0,0.003152720366304803,,0.003152720366304803
common,round3_quarterly_ridge,103,0.5533980582524272,0.5362841945288753,0.5436893203883495,0.6990291262135923,0.02757780277971235,0.0011022841029827424,0.004744131525898438,0.0014928596746384426,0.002652381769914466,0.003152720366304803,0.004263380281792845,0.0005731231432358039
common,round3_direct_kronos,103,0.5339805825242718,0.5492021276595744,0.5436893203883495,0.3300970873786408,0.032964446580547514,-0.42722773032887407,0.013531353280597026,-0.005690408734217262,0.01640702807895376,0.003152720366304803,0.004362097944917565,0.0025567951826405448
post_release_sensitivity,raw_fixed,48,0.5416666666666666,0.528695652173913,0.5208333333333334,0.8125,0.01867005980662831,0.002651932101574106,0.0308735652221622,0.001000856010696025,0.0009047398517345833,0.0008511736882373192,0.000772284860813998,0.001193025273738378
post_release_sensitivity,raw_adaptive,48,0.5416666666666666,0.5304347826086957,0.5208333333333334,0.7708333333333334,0.019050007544626733,-0.03835446898135819,-0.1090942909962367,0.001625907462941992,0.0021673763542798944,0.0008511736882373192,0.00203438040098343,-0.003128703436454146
post_release_sensitivity,raw_permuted,48,0.4375,0.4217391304347826,0.5208333333333334,0.875,0.01874904123564279,-0.0058042371984659,-0.05436726121076253,0.0008406886813727386,0.0009298801019891729,0.0008511736882373192,-0.0012112166845150664,0.015287906297504017
post_release_sensitivity,kronos_fixed,48,0.4375,0.4321739130434783,0.5208333333333334,0.625,0.019004008907596938,-0.03334604833218968,-0.14804195407869697,0.0015762670424502793,0.0016507840804887836,0.0008511736882373192,-0.001290096319502013,0.00441995703446954
post_release_sensitivity,kronos_adaptive,48,0.4791666666666667,0.46695652173913044,0.5208333333333334,0.7916666666666666,0.019070720816333625,-0.040613723837477744,-0.14574605622075873,0.0024107844109725243,0.0017385197135031056,0.0008511736882373192,-0.0001414906846758688,0.004623298305307431
post_release_sensitivity,kronos_permuted,48,0.5208333333333334,0.5,0.5208333333333334,1.0,0.018952804860848677,-0.027785093509982817,-0.14588864855159075,0.0021909212608775355,0.001283392714215777,0.0008511736882373192,0.0008511736882373192,
post_release_sensitivity,random_tokenizer_adaptive,48,0.4375,0.42869565217391303,0.5208333333333334,0.7083333333333334,0.018913923023828022,-0.023572399776642383,-0.1391320627184891,0.0013519020286287793,0.0013340380509023184,0.0008511736882373192,-0.0008497973606571901,0.0049821033784097
post_release_sensitivity,ridge_matched_schedule,48,0.5,0.48695652173913045,0.5208333333333334,0.8125,0.01884639685432361,-0.01627676454990068,-0.033737837144508134,0.0017641949229007935,0.0018146329500146516,0.0008511736882373192,8.460044068943885e-05,0.004172991094278133
post_release_sensitivity,training_mean,48,0.5208333333333334,0.5,0.5208333333333334,1.0,0.01869379048306755,0.00011495192620070149,-0.14802125448599057,0.0014189114528905002,6.47176281631696e-05,0.0008511736882373192,0.0008511736882373192,
post_release_sensitivity,buy_hold,48,0.5208333333333334,0.5,0.5208333333333334,1.0,0.018694864973790668,4.870833403280983e-09,,1e-09,0.0,0.0008511736882373192,0.0008511736882373192,
post_release_sensitivity,zero_return_cash,48,0.4791666666666667,0.5,0.5208333333333334,0.0,0.018694865019320456,0.0,,0.0,0.0,0.0008511736882373192,,0.0008511736882373192
post_release_sensitivity,round3_quarterly_ridge,48,0.5,0.48695652173913045,0.5208333333333334,0.8125,0.018836311590533086,-0.01518937612755833,-0.029214906188960044,0.0018014881355414229,0.001784148130961817,0.0008511736882373192,0.0002248945203107954,0.003565050082585589
post_release_sensitivity,round3_direct_kronos,48,0.5416666666666666,0.5478260869565217,0.5208333333333334,0.3541666666666667,0.027803534063422567,-1.2118482934842039,-0.031037856730251064,-0.0056046391384822125,0.018988733195287148,0.0008511736882373192,0.0019418505325282068,0.0002530605800778
