forecast_date,open,high,low,close,volume,amount
2025-03-31,3920.953,3944.4133,3908.1755,3921.1152,1.4650304e+08,-7.284058e-07
2025-04-01,3925.4155,3960.4658,3914.3289,3936.626,1.7145518e+08,-4.453267e-07
2025-04-02,3933.6665,3995.415,3921.2405,3958.0967,1.8158547e+08,-3.7192032e-07
2025-04-03,3959.6914,3997.8652,3937.0076,3975.1646,1.6697507e+08,-5.579839e-07
2025-04-07,3974.8396,4000.8018,3944.3674,3968.8896,1.621655e+08,-6.6958734e-07
2025-04-08,3971.442,4019.2117,3947.1658,3980.644,1.7898229e+08,-4.2781423e-07
2025-04-09,3979.0667,4006.7495,3958.457,3985.8464,1.6948037e+08,-5.685861e-07
2025-04-10,3987.2688,4064.234,3960.6719,4017.4097,2.2160122e+08,1.0389407e-06
2025-04-11,4028.957,4073.831,4000.089,4038.2249,2.0445477e+08,-1.5319259e-08
2025-04-14,4041.5796,4051.8875,3986.7266,4001.379,1.7996147e+08,-2.880422e-07
