forecast_date,open,high,low,close,volume,amount
2026-06-15,4813.676,4853.5044,4792.6987,4826.0605,9.291179e-08,-1.04730795e-07
2026-06-16,4826.498,4864.266,4804.046,4836.115,1.5002443e-07,-8.458342e-08
2026-06-17,4833.858,4873.757,4811.2246,4841.59,2.8306542e-07,1.3875961e-09
2026-06-18,4826.7324,4865.7017,4800.9917,4835.8813,9.010547e-08,-7.585181e-08
2026-06-22,4840.1304,4875.4277,4810.011,4844.617,2.7260765e-07,-1.7230995e-08
2026-06-23,4835.0493,4876.872,4809.371,4847.5757,2.8968668e-07,7.5481495e-08
2026-06-24,4836.23,4860.6367,4807.074,4834.034,2.5837514e-07,2.0025073e-08
2026-06-25,4821.6206,4867.425,4795.9697,4832.682,2.9775785e-07,1.899017e-08
2026-06-26,4821.156,4864.096,4796.2886,4831.986,3.5833452e-07,1.00516154e-07
2026-06-29,4819.336,4840.5854,4787.5034,4810.3193,1.2826594e-07,-2.7924402e-08
