forecast_date,open,high,low,close,volume,amount
2025-07-07,3992.3918,4023.5137,3975.1445,4000.3367,1.7094264e+08,1.6090607e-06
2025-07-08,4003.5369,4025.6257,3985.0369,4000.93,1.633635e+08,8.8056595e-07
2025-07-09,4001.8945,4027.6184,3982.9236,4003.1777,1.6850469e+08,7.4862055e-07
2025-07-10,3998.5781,4020.3523,3977.961,3996.743,1.553168e+08,3.4752375e-07
2025-07-11,3992.368,4013.1348,3974.532,3990.909,1.5896846e+08,3.8430366e-07
2025-07-14,3984.5227,4006.1152,3957.3958,3974.1536,1.7277294e+08,2.916617e-06
