forecast_date,open,high,low,close,volume,amount
2025-09-15,4503.6333,4555.566,4469.8755,4521.0293,-9.802058e-09,-2.3673512e-07
2025-09-16,4511.08,4549.158,4475.8296,4514.248,-9.713806e-08,-2.7146896e-07
2025-09-17,4501.863,4540.1133,4461.919,4502.5615,-5.056359e-08,-2.3257583e-07
2025-09-18,4494.961,4534.6646,4454.996,4492.2153,-6.018579e-08,-2.1770313e-07
2025-09-19,4477.495,4514.9233,4440.636,4479.3574,8.212626e-09,-1.7343491e-07
2025-09-22,4465.469,4502.171,4428.4233,4466.0654,2.5945454e-08,-1.6959599e-07
