forecast_date,open,high,low,close,volume,amount
2025-03-31,3917.9163,3947.6687,3899.2913,3921.3232,1.5343221e+08,-5.571539e-07
2025-04-01,3926.3098,3969.235,3915.864,3941.754,1.6442394e+08,-5.5009224e-07
2025-04-02,3943.0781,3982.8801,3925.1243,3950.821,1.6889854e+08,-5.219633e-07
2025-04-03,3957.7244,3990.6995,3924.8357,3956.3723,1.6828672e+08,-2.8434786e-07
2025-04-07,3952.1707,3980.4434,3925.084,3948.0828,1.6204654e+08,-7.66152e-07
2025-04-08,3947.6523,4001.1387,3918.5693,3962.3313,1.8155443e+08,-4.957673e-07
2025-04-09,3966.2969,4008.9082,3946.2146,3980.077,1.7747781e+08,-6.559885e-07
2025-04-10,3983.2542,4042.0664,3959.157,4006.9268,2.1448934e+08,3.4866574e-07
2025-04-11,4015.306,4062.5051,3981.2507,4021.7273,2.1031278e+08,-1.363416e-07
2025-04-14,4028.735,4050.7234,3976.3916,4005.4543,2.0683227e+08,1.14646944e-07
