forecast_date,open,high,low,close,volume,amount
2026-03-16,4677.1333,4698.394,4661.302,4680.9688,-5.7399635e-08,-1.2251779e-07
2026-03-17,4683.281,4716.1123,4670.823,4696.969,1.3854624e-07,-2.9447115e-08
2026-03-18,4699.412,4728.822,4683.0723,4705.9487,8.4906404e-08,-1.6472377e-08
2026-03-19,4703.6685,4731.0596,4686.495,4709.9746,2.2692437e-07,1.96735e-08
2026-03-20,4704.179,4737.1123,4684.2197,4708.7305,9.6233634e-08,-5.0738507e-08
2026-03-23,4709.876,4733.793,4692.659,4716.3354,1.4824066e-07,-6.6124514e-08
