forecast_date,open,high,low,close,volume,amount
2025-02-24,3966.1562,4007.3022,3934.661,3973.9346,2.180822e+08,6.1050963e-07
2025-02-25,3967.0508,4014.707,3927.2861,3980.4397,2.0799811e+08,9.379814e-07
2025-02-26,3964.99,4041.669,3932.6587,3998.9924,2.012396e+08,5.279166e-07
2025-02-27,4013.171,4077.3213,3970.2915,4023.1523,2.3474163e+08,6.3050675e-06
2025-02-28,3989.2766,4048.9014,3945.5872,3995.8955,2.4882093e+08,6.395018e-06
2025-03-03,3996.3806,4054.9583,3882.8975,3935.1216,2.4470445e+08,7.503878e-06
