forecast_date,open,high,low,close,volume,amount
2025-04-28,3797.596,3815.9202,3777.1104,3792.7937,1.383156e+08,-1.0780212e-06
2025-04-29,3789.166,3807.3308,3760.6282,3777.5928,1.4228462e+08,-9.3591206e-07
2025-04-30,3778.0957,3799.451,3754.9512,3780.2258,1.3835381e+08,-1.1474519e-06
2025-05-06,3776.219,3806.0647,3760.568,3784.0605,1.3939114e+08,-1.1926887e-06
2025-05-07,3781.343,3808.7644,3766.2283,3790.1472,1.3572582e+08,-1.1777498e-06
2025-05-08,3784.6946,3807.5647,3769.8816,3789.5667,1.3695122e+08,-1.142239e-06
2025-05-09,3788.4307,3811.8523,3767.2852,3791.1934,1.4064922e+08,-1.0130483e-06
2025-05-12,3785.7725,3813.6787,3760.8928,3791.9622,1.4878318e+08,-8.5740686e-07
