forecast_date,open,high,low,close,volume,amount
2024-07-22,3537.222,3556.2869,3524.589,3540.2268,-9.94581e-08,-1.3002048e-07
2024-07-23,3535.4434,3552.0723,3521.1797,3536.8813,-7.255199e-08,-7.98607e-08
2024-07-24,3533.6982,3549.3025,3521.815,3535.5017,-1.6629414e-07,-1.5369147e-07
2024-07-25,3534.0615,3549.743,3525.3376,3535.627,-1.621896e-07,-1.490429e-07
2024-07-26,3528.5537,3546.6162,3516.8645,3531.8726,-3.107664e-08,1.8329639e-09
2024-07-29,3521.802,3537.2434,3511.7456,3523.764,-6.965768e-08,1.5585004e-08
