forecast_date,open,high,low,close,volume,amount
2026-06-01,4918.0728,4965.8657,4896.2437,4945.0903,8.841884e-08,-1.4249595e-07
2026-06-02,4951.7524,4996.4565,4921.9785,4965.0894,-7.064635e-08,-2.6479597e-07
2026-06-03,4965.8535,5001.4297,4934.1665,4974.003,-4.2168054e-08,-2.7229362e-07
2026-06-04,4970.8823,4995.602,4931.5884,4963.594,3.7579113e-08,-2.2076195e-07
2026-06-05,4956.0244,4981.7026,4918.914,4952.438,6.520887e-08,-1.860091e-07
2026-06-08,4942.6777,4969.027,4907.8267,4938.0195,1.3977767e-07,-9.779367e-08
