forecast_date,open,high,low,close,volume,amount
2025-03-31,3916.3975,3935.447,3904.7202,3919.7444,5.2397354e-08,1.5526219e-08
2025-04-01,3911.784,3929.343,3900.4336,3918.0361,1.0379485e-07,1.0994775e-07
2025-04-02,3917.409,3958.996,3902.2148,3944.0383,-1.7457269e-09,-2.0609628e-08
2025-04-03,3947.4026,3976.823,3932.8833,3946.8965,1.967769e-08,1.8498003e-08
2025-04-07,3952.519,3976.2444,3930.0527,3949.6262,-9.592343e-09,-2.081816e-08
2025-04-08,3950.0964,3979.4302,3932.2026,3957.9192,4.5224017e-08,-1.4334125e-08
2025-04-09,3961.7112,3986.9292,3942.6729,3964.9897,-4.3625327e-08,-1.2980462e-07
2025-04-10,3972.2288,4007.0662,3955.0469,3985.0476,1.4053879e-07,-1.7137285e-08
2025-04-11,3993.0676,4011.17,3972.418,3987.7183,5.2492506e-08,-1.0753842e-07
2025-04-14,3992.1624,4019.8054,3966.2625,3992.5593,1.4199851e-07,9.5319e-09
