forecast_date,open,high,low,close,volume,amount
2026-06-15,4809.749,4845.0444,4787.213,4821.4473,1.091542e-07,-1.208154e-07
2026-06-16,4824.2505,4863.031,4801.24,4832.5347,1.4053607e-07,-6.502541e-08
2026-06-17,4831.778,4865.192,4806.1226,4836.194,1.4891403e-07,-7.536355e-08
2026-06-18,4834.4624,4866.9976,4807.6323,4840.7925,1.3133048e-07,-4.462751e-08
2026-06-22,4839.1484,4868.199,4811.0474,4842.01,3.1328784e-07,3.629667e-08
2026-06-23,4829.463,4866.963,4803.6187,4836.6743,3.0716174e-07,7.859074e-08
2026-06-24,4829.7866,4861.2773,4802.7944,4833.707,1.8134256e-07,-2.5393183e-08
2026-06-25,4832.298,4871.43,4807.1177,4844.377,1.7250893e-07,-4.123076e-08
2026-06-26,4834.52,4873.0723,4807.1855,4838.953,2.8889795e-07,5.3085845e-08
2026-06-29,4824.6284,4850.2817,4795.6694,4821.114,2.0036106e-07,3.5355136e-08
