forecast_date,open,high,low,close,volume,amount
2025-03-31,3915.3328,3951.414,3885.7083,3916.5703,1.6581294e+08,-1.7678524e-07
2025-04-01,3920.9702,3964.6602,3911.8516,3939.7952,1.5635808e+08,-7.549298e-07
2025-04-02,3941.4185,3973.357,3924.5322,3948.0396,1.6134989e+08,-5.341256e-07
2025-04-03,3959.0586,3994.0505,3918.6284,3951.8186,1.8112682e+08,4.513147e-07
2025-04-07,3956.9297,3987.0845,3930.0146,3954.738,1.6176307e+08,-6.0190627e-07
2025-04-08,3959.5825,3997.8389,3938.2375,3963.733,1.7692334e+08,-4.897244e-07
2025-04-09,3962.9714,3999.7761,3940.7827,3972.5935,1.7433994e+08,-1.2446117e-06
2025-04-10,3976.6658,4027.2668,3949.3518,3994.9026,2.0282539e+08,2.4974003e-07
2025-04-11,3997.23,4027.6682,3956.5935,3990.1462,2.035107e+08,-3.9312067e-07
2025-04-14,3998.1536,4027.8953,3974.988,4004.6973,1.9651274e+08,-4.7893815e-07
