forecast_date,open,high,low,close,volume,amount
2024-08-12,3347.0366,3375.1917,3326.7954,3353.3335,1.1073229e+08,-1.8832508e-06
2024-08-13,3340.596,3369.4885,3319.9683,3340.283,1.1063146e+08,-1.6749707e-06
2024-08-14,3333.42,3359.4324,3315.8474,3338.4373,1.1114824e+08,-1.9552185e-06
2024-08-15,3333.0422,3373.2305,3318.288,3356.4478,1.13147704e+08,-1.6080136e-06
2024-08-16,3347.189,3375.3486,3327.2341,3353.3232,1.166956e+08,-1.5264204e-06
2024-08-19,3347.5679,3385.0027,3331.6292,3367.1274,1.22327944e+08,-1.5227355e-06
