forecast_date,open,high,low,close,volume,amount
2025-11-17,4630.8237,4692.259,4604.6523,4654.803,2.0193374e-07,1.0056626e-07
2025-11-18,4652.117,4702.4756,4621.901,4674.491,1.2037643e-07,7.2308104e-08
2025-11-19,4671.661,4730.85,4638.836,4683.362,2.5731515e-07,1.4920153e-07
2025-11-20,4680.308,4719.595,4646.322,4689.157,1.16881765e-07,4.5072472e-08
2025-11-21,4680.3457,4724.4727,4637.1763,4676.475,1.12493446e-07,8.182861e-09
2025-11-24,4675.481,4721.9897,4622.75,4667.441,5.5207646e-08,-8.826255e-09
