forecast_date,open,high,low,close,volume,amount
2024-10-14,3913.2004,3958.0437,3836.8325,3897.0022,-5.0341782e-08,-2.1462499e-07
2024-10-15,3905.6724,3955.734,3816.278,3881.07,-2.0962208e-08,-1.2295611e-07
2024-10-16,3906.2195,3958.7212,3807.0137,3865.8538,3.1073913e-08,-9.1226916e-08
2024-10-17,3867.9976,3919.0095,3783.079,3840.802,5.116589e-08,-1.1393357e-07
2024-10-18,3850.551,3911.4973,3745.0916,3808.1396,8.581525e-07,5.2798885e-07
2024-10-21,3816.0425,3859.353,3718.8574,3773.9238,1.8940332e-07,-1.1615455e-09
