forecast_date,open,high,low,close,volume,amount
2025-08-11,4110.5503,4127.832,4099.6353,4112.765,1.8682067e-07,7.1752315e-09
2025-08-12,4111.9956,4128.1885,4095.621,4109.1953,2.0413016e-07,1.1352175e-08
2025-08-13,4107.107,4124.5474,4088.0977,4103.012,9.70305e-08,-7.691162e-08
2025-08-14,4099.0933,4111.9033,4080.614,4092.2883,1.3682588e-07,-4.477045e-08
2025-08-15,4088.3333,4105.8994,4069.961,4082.3176,1.7756145e-07,1.1503319e-09
2025-08-18,4081.037,4099.6587,4065.909,4077.46,1.8114072e-07,2.5445482e-08
