forecast_date,open,high,low,close,volume,amount
2026-05-25,4838.676,4900.003,4813.725,4849.88,2.7292982e+08,5.5693913e-06
2026-05-26,4862.4946,4899.105,4833.1304,4870.0063,2.619989e+08,1.1992306e-06
2026-05-27,4865.858,4906.376,4845.746,4886.5977,2.5679173e+08,1.828832e-06
2026-05-28,4851.282,4894.712,4803.6157,4850.462,2.8357776e+08,5.105718e-06
2026-05-29,4781.8057,4843.3525,4741.9634,4797.585,3.0494032e+08,7.4706213e-06
2026-06-01,4789.647,4839.392,4757.1323,4797.4277,2.4126426e+08,8.9223425e-07
