forecast_date,open,high,low,close,volume,amount
2026-01-26,4707.8823,4763.3657,4688.36,4740.1787,3.131634e+08,2.051925e-06
2026-01-27,4728.1055,4776.8276,4701.067,4748.0547,3.2624493e+08,1.912462e-06
2026-01-28,4723.9316,4775.19,4680.063,4735.9326,3.4794234e+08,2.0084792e-06
2026-01-29,4700.507,4766.423,4644.6636,4717.689,3.930027e+08,1.7003267e-05
2026-01-30,4705.759,4757.5225,4613.8335,4681.622,3.9189997e+08,1.7164606e-05
2026-02-02,4677.4487,4741.4688,4617.8237,4697.771,3.577102e+08,1.0528591e-05
