forecast_date,open,high,low,close,volume,amount
2025-03-31,3918.7344,3953.4426,3904.684,3933.751,5.003899e-08,1.8474394e-08
2025-04-01,3928.7642,3952.5188,3910.9475,3937.0154,-6.122826e-08,-8.001899e-08
2025-04-02,3936.4954,3965.0134,3920.7214,3941.232,1.5556152e-07,4.3377476e-08
2025-04-03,3947.8933,3976.714,3937.8328,3956.8442,1.4192892e-07,4.1520938e-08
2025-04-07,3957.3618,3973.8909,3937.459,3953.9314,4.29946e-08,2.45333e-08
2025-04-08,3958.3613,3982.0056,3939.6965,3960.2922,-6.4397137e-09,-4.211106e-08
2025-04-09,3965.236,3994.9019,3949.1255,3971.2295,1.04098056e-07,2.9798075e-08
2025-04-10,3974.3347,3997.7446,3955.3318,3974.1362,4.6856755e-08,-5.719958e-08
2025-04-11,3980.1936,4006.7466,3959.6926,3982.7595,4.7692822e-08,-7.511085e-08
2025-04-14,3985.9868,4008.7578,3962.8623,3983.5737,-4.1704253e-09,-1.0445875e-07
