forecast_date,open,high,low,close,volume,amount
2025-07-07,3993.4773,4019.6409,3981.8704,4000.3254,-1.1849388e-07,-1.5888182e-07
2025-07-08,4001.8318,4017.409,3983.3054,3996.258,-4.3556394e-08,-1.9104364e-07
2025-07-09,3997.9004,4013.593,3980.203,3992.9207,4.0504876e-08,-1.1083731e-07
2025-07-10,3996.824,4012.6086,3983.1716,3994.7656,-7.0024506e-09,-1.10507905e-07
2025-07-11,3994.511,4010.7273,3981.0586,3992.9277,2.5588198e-08,-9.020255e-08
2025-07-14,3991.1462,4004.8152,3978.135,3987.5168,9.825148e-08,-6.0423055e-08
