forecast_date,open,high,low,close,volume,amount
2026-03-23,4580.2544,4623.9897,4553.142,4595.9043,2.6029883e+08,1.4226692e-06
2026-03-24,4605.6045,4650.6685,4586.4663,4626.051,2.5340485e+08,7.4905864e-07
2026-03-25,4632.9634,4673.05,4599.023,4632.5923,2.6139726e+08,8.347819e-07
2026-03-26,4638.743,4676.233,4609.64,4645.4907,2.8001974e+08,1.260668e-06
2026-03-27,4638.1636,4682.5635,4607.09,4650.3633,3.337067e+08,3.3112406e-06
2026-03-30,4639.8027,4684.721,4613.405,4654.918,3.484716e+08,1.2401635e-05
