forecast_date,open,high,low,close,volume,amount
2025-02-24,3987.011,4014.47,3956.934,3983.307,-3.4912862e-08,-1.3491298e-07
2025-02-25,3983.954,4011.4119,3944.7744,3970.593,-8.737758e-08,-1.8024032e-07
2025-02-26,3966.1692,4012.8398,3939.5813,3974.71,8.1388336e-08,-3.471365e-08
2025-02-27,3985.8726,4020.385,3961.4653,3989.6572,-1.282994e-07,-2.51013e-07
2025-02-28,3992.681,4029.4797,3958.8335,3985.802,-9.0118235e-08,-1.5899445e-07
2025-03-03,3985.4583,4021.6287,3953.5146,3988.4175,9.140428e-08,-5.058486e-08
