forecast_date,open,high,low,close,volume,amount
2026-06-15,4828.064,4863.1514,4798.0537,4823.331,1.8767243e+08,-1.0515272e-06
2026-06-16,4840.9033,4909.616,4811.1694,4868.904,2.416833e+08,9.724475e-07
2026-06-17,4869.473,4895.47,4830.9937,4859.3945,2.3433014e+08,6.576835e-07
2026-06-18,4855.329,4894.2437,4816.638,4845.998,2.366811e+08,4.99013e-07
2026-06-22,4808.993,4835.5786,4744.107,4799.6587,2.919136e+08,6.520503e-06
2026-06-23,4782.785,4837.7207,4754.651,4790.1064,2.6101192e+08,1.9323932e-06
2026-06-24,4754.9414,4802.345,4722.2856,4764.5146,2.7248368e+08,6.2387317e-06
2026-06-25,4747.188,4784.6997,4689.9253,4749.571,2.676128e+08,-2.718481e-07
2026-06-26,4754.0664,4797.037,4715.3174,4758.5024,2.5923754e+08,2.292234e-07
2026-06-29,4755.7007,4799.4995,4711.1235,4767.3076,2.3099382e+08,-1.1800928e-06
