forecast_date,open,high,low,close,volume,amount
2026-03-30,4476.351,4513.716,4417.001,4465.1113,2.392812e+08,-4.005869e-07
2026-03-31,4474.2407,4522.157,4448.1055,4488.5747,2.4707638e+08,-9.316986e-08
2026-04-01,4485.885,4519.526,4449.1543,4483.4424,2.138261e+08,-5.636275e-07
2026-04-02,4487.7046,4518.472,4453.73,4483.714,2.0018493e+08,-1.0349787e-06
2026-04-03,4486.5347,4513.3535,4452.426,4475.664,1.9411208e+08,-1.4978575e-06
2026-04-07,4484.9385,4522.8145,4457.021,4489.7134,1.8432533e+08,-1.4652429e-06
