forecast_date,open,high,low,close,volume,amount
2026-06-08,4836.474,4908.3896,4822.3228,4878.337,3.0978704e+08,1.6732183e-06
2026-06-09,4872.7764,4927.2695,4847.553,4887.636,3.13106e+08,1.8167804e-06
2026-06-10,4870.0703,4917.164,4846.3965,4889.31,2.9533462e+08,1.462251e-06
2026-06-11,4863.916,4913.1616,4812.954,4866.955,3.4642634e+08,6.1825344e-06
2026-06-12,4860.2686,4899.3403,4816.9033,4854.9497,3.2153056e+08,8.5948415e-07
2026-06-15,4836.358,4943.2725,4785.1836,4879.1147,3.2575683e+08,9.539991e-06
