forecast_date,open,high,low,close,volume,amount
2026-06-15,4811.921,4847.947,4791.251,4826.7617,1.0325454e-07,-1.2739993e-07
2026-06-16,4827.9985,4864.298,4801.2637,4828.1304,1.05735175e-07,-8.309684e-08
2026-06-17,4827.8403,4849.8145,4799.22,4821.2764,5.252378e-08,-1.2726187e-07
2026-06-18,4835.2754,4865.9116,4812.2266,4843.128,1.3863563e-07,-9.994395e-09
2026-06-22,4836.5483,4861.4663,4810.0254,4838.1377,3.3341675e-07,6.978076e-08
2026-06-23,4821.152,4863.781,4802.309,4835.169,3.5716707e-07,1.3991308e-07
2026-06-24,4828.617,4853.4556,4801.486,4828.108,1.6539681e-07,-3.444068e-08
2026-06-25,4826.923,4860.865,4803.6,4840.0513,7.752676e-08,-7.913757e-08
2026-06-26,4828.1655,4874.4204,4801.156,4829.9175,2.8059117e-07,6.454855e-08
2026-06-29,4814.9385,4837.377,4788.735,4812.654,1.5405233e-07,1.3780612e-08
