forecast_date,open,high,low,close,volume,amount
2026-06-15,4821.7524,4870.2046,4799.101,4840.6753,1.8855067e+08,-9.800059e-07
2026-06-16,4852.425,4902.1387,4825.236,4870.0923,2.5813368e+08,1.1028347e-06
2026-06-17,4862.104,4896.5083,4819.6777,4857.2363,2.798538e+08,5.7216785e-06
2026-06-18,4853.4116,4897.026,4803.5845,4832.884,2.6211227e+08,1.0810778e-06
2026-06-22,4804.9136,4844.218,4752.8545,4799.3647,2.9559597e+08,8.476621e-06
2026-06-23,4789.278,4838.2417,4749.1147,4789.6396,2.6145237e+08,2.803856e-06
2026-06-24,4769.9204,4819.2944,4721.941,4771.832,2.739418e+08,4.060366e-06
2026-06-25,4756.263,4788.771,4697.0317,4742.52,2.938011e+08,4.741361e-06
2026-06-26,4745.8457,4788.0293,4704.926,4740.902,2.71162e+08,1.1559238e-06
2026-06-29,4735.3403,4773.2505,4687.639,4730.849,2.4621323e+08,9.914071e-07
