forecast_date,open,high,low,close,volume,amount
2026-06-15,4803.651,4833.6816,4777.689,4811.52,1.3129628e-07,-1.303155e-07
2026-06-16,4818.2563,4860.529,4798.4106,4833.3584,1.6584862e-07,-2.739597e-08
2026-06-17,4833.6367,4872.005,4807.923,4845.715,1.11152865e-07,-1.00216376e-07
2026-06-18,4841.38,4869.3794,4809.6787,4843.369,1.6525034e-07,-4.8036313e-08
2026-06-22,4840.766,4867.7036,4813.105,4843.2744,3.3383915e-07,5.6340244e-08
2026-06-23,4832.1875,4860.235,4799.176,4827.278,2.7463145e-07,2.0377636e-08
2026-06-24,4824.5127,4869.74,4799.8223,4838.9795,1.2025572e-07,-6.1763934e-08
2026-06-25,4848.3506,4886.0,4821.7847,4860.3984,1.4224223e-07,-6.354488e-08
2026-06-26,4854.2397,4880.7007,4824.112,4854.9556,2.2776823e-07,-5.8071685e-09
2026-06-29,4839.6104,4872.884,4810.769,4840.3687,3.1876493e-07,1.202092e-07
