forecast_date,open,high,low,close,volume,amount
2026-03-09,4635.761,4660.6875,4601.0933,4634.1665,1.8203197e-07,1.1597938e-07
2026-03-10,4635.826,4671.145,4619.6953,4651.4897,2.2705335e-07,1.1118073e-07
2026-03-11,4654.5737,4685.325,4636.6353,4662.6406,1.5033437e-07,-1.247962e-08
2026-03-12,4654.3413,4684.215,4627.3774,4658.2905,2.6551345e-07,1.73643e-07
2026-03-13,4665.0044,4700.5264,4644.611,4681.9116,1.4074855e-07,-3.4042284e-08
2026-03-16,4679.2065,4704.14,4654.397,4677.8184,2.5121744e-07,3.0091034e-08
