forecast_date,open,high,low,close,volume,amount
2025-03-31,3917.463,3947.1782,3903.9905,3926.284,1.4798064e+08,-7.662706e-07
2025-04-01,3932.5444,3982.5793,3921.4111,3948.8403,1.6545856e+08,-4.500202e-07
2025-04-02,3954.1494,3979.869,3929.6006,3946.3271,1.6376029e+08,-6.598438e-07
2025-04-03,3954.4226,3980.1826,3918.8708,3942.1333,1.5675827e+08,-7.463743e-07
2025-04-07,3924.7422,3953.444,3900.8696,3920.62,1.6221104e+08,-1.0269627e-06
2025-04-08,3911.9329,3986.365,3870.3044,3942.6177,1.8875766e+08,-5.697633e-07
2025-04-09,3956.8525,4020.1985,3939.404,3981.7905,1.886131e+08,-1.5476775e-07
2025-04-10,3985.8284,4034.6978,3967.4468,4008.468,2.1904146e+08,-2.4268348e-07
2025-04-11,4019.7307,4086.0164,3987.0698,4036.8105,2.229729e+08,-5.8487054e-10
2025-04-14,4046.4722,4072.3875,3967.4604,4010.2866,2.4402262e+08,1.1109212e-06
